2019-05-29 14:17:33.408954: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 14:17:33.418137: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600015000 Hz
2019-05-29 14:17:33.418309: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6fbd0f0 executing computations on platform Host. Devices:
2019-05-29 14:17:33.418332: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 14:17:33.418557: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 580 of [580, 590)
attack: step 1/30, xent loss = 0.0861273, l2 loss = 0 (max 14.95), (true 956, predicted [956])
attack: step 2/30, xent loss = 0.867519, l2 loss = 0.164288 (max 14.95), (true 956, predicted [956])
attack: step 3/30, xent loss = 6.76889, l2 loss = 1.26036 (max 14.95), (true 956, predicted [37])
attack: step 4/30, xent loss = 8.81285, l2 loss = 1.83811 (max 14.95), (true 956, predicted [942])
attack: step 5/30, xent loss = 10.3192, l2 loss = 2.37892 (max 14.95), (true 956, predicted [942])
attack: step 6/30, xent loss = 9.27234, l2 loss = 5.0388 (max 14.95), (true 956, predicted [942])
attack: step 7/30, xent loss = 17.2158, l2 loss = 5.46674 (max 14.95), (true 956, predicted [942])
attack: step 8/30, xent loss = 11.2249, l2 loss = 6.3166 (max 14.95), (true 956, predicted [942])
attack: step 9/30, xent loss = 19.3164, l2 loss = 6.76509 (max 14.95), (true 956, predicted [942])
attack: step 10/30, xent loss = 8.98096, l2 loss = 7.57291 (max 14.95), (true 956, predicted [942])
attack: step 11/30, xent loss = 15.984, l2 loss = 7.85735 (max 14.95), (true 956, predicted [942])
attack: step 12/30, xent loss = 17.8568, l2 loss = 8.80604 (max 14.95), (true 956, predicted [942])
attack: step 13/30, xent loss = 19.9893, l2 loss = 9.63056 (max 14.95), (true 956, predicted [942])
attack: step 14/30, xent loss = 25.5841, l2 loss = 10.0352 (max 14.95), (true 956, predicted [942])
attack: step 15/30, xent loss = 22.8693, l2 loss = 10.546 (max 14.95), (true 956, predicted [942])
attack: step 16/30, xent loss = 22.5579, l2 loss = 11.4848 (max 14.95), (true 956, predicted [942])
attack: step 17/30, xent loss = 27.8565, l2 loss = 11.8785 (max 14.95), (true 956, predicted [942])
attack: step 18/30, xent loss = 27.7709, l2 loss = 12.561 (max 14.95), (true 956, predicted [942])
attack: step 19/30, xent loss = 34.9753, l2 loss = 12.9457 (max 14.95), (true 956, predicted [942])
attack: step 20/30, xent loss = 37.5079, l2 loss = 13.4155 (max 14.95), (true 956, predicted [942])
attack: step 21/30, xent loss = 34.156, l2 loss = 13.8774 (max 14.95), (true 956, predicted [942])
