2019-05-29 14:18:36.059335: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 14:18:36.345787: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600190000 Hz
2019-05-29 14:18:36.352437: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6d4afb0 executing computations on platform Host. Devices:
2019-05-29 14:18:36.352745: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 14:18:36.356866: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 680 of [680, 690)
attack: step 1/30, xent loss = 3.00915, l2 loss = 0 (max 14.95), (true 623, predicted [696])
attack: step 2/30, xent loss = 7.69122, l2 loss = 2.20175 (max 14.95), (true 623, predicted [784])
attack: step 3/30, xent loss = 11.0346, l2 loss = 2.72235 (max 14.95), (true 623, predicted [696])
attack: step 4/30, xent loss = 8.4844, l2 loss = 3.44136 (max 14.95), (true 623, predicted [696])
attack: step 5/30, xent loss = 10.1337, l2 loss = 4.94784 (max 14.95), (true 623, predicted [696])
attack: step 6/30, xent loss = 13.1465, l2 loss = 5.73312 (max 14.95), (true 623, predicted [696])
attack: step 7/30, xent loss = 19.4985, l2 loss = 6.40791 (max 14.95), (true 623, predicted [696])
attack: step 8/30, xent loss = 20.1199, l2 loss = 7.31028 (max 14.95), (true 623, predicted [696])
attack: step 9/30, xent loss = 29.6632, l2 loss = 7.90851 (max 14.95), (true 623, predicted [696])
attack: step 10/30, xent loss = 26.3653, l2 loss = 8.79399 (max 14.95), (true 623, predicted [696])
attack: step 11/30, xent loss = 30.2044, l2 loss = 10.4141 (max 14.95), (true 623, predicted [696])
attack: step 12/30, xent loss = 32.0573, l2 loss = 11.9516 (max 14.95), (true 623, predicted [696])
attack: step 13/30, xent loss = 40.9422, l2 loss = 12.7687 (max 14.95), (true 623, predicted [696])
attack: step 14/30, xent loss = 29.2749, l2 loss = 13.9657 (max 14.95), (true 623, predicted [696])
attack: step 15/30, xent loss = 35.6561, l2 loss = 15.0173 (max 14.95), (true 623, predicted [696])
attack: step 16/30, xent loss = 47.837, l2 loss = 15.8937 (max 14.95), (true 623, predicted [696])
attack: step 17/30, xent loss = 30.6882, l2 loss = 16.9661 (max 14.95), (true 623, predicted [696])
attack: step 18/30, xent loss = 34.7824, l2 loss = 18.2999 (max 14.95), (true 623, predicted [696])
attack: step 19/30, xent loss = 39.9107, l2 loss = 18.9199 (max 14.95), (true 623, predicted [696])
attack: step 20/30, xent loss = 46.4362, l2 loss = 19.6645 (max 14.95), (true 623, predicted [696])
attack: step 21/30, xent loss = 41.9656, l2 loss = 20.568 (max 14.95), (true 623, predicted [696])
attack: step 22/30, xent loss = 36.3002, l2 loss = 20.9999 (max 14.95), (true 623, predicted [696])
attack: step 23/30, xent loss = 54.3755, l2 loss = 21.4149 (max 14.95), (true 623, predicted [696])
attack: step 24/30, xent loss = 59.5457, l2 loss = 21.8869 (max 14.95), (true 623, predicted [696])
attack: step 25/30, xent loss = 59.8422, l2 loss = 22.4731 (max 14.95), (true 623, predicted [696])
attack: step 26/30, xent loss = 53.4024, l2 loss = 23.1748 (max 14.95), (true 623, predicted [696])
attack: step 27/30, xent loss = 56.9198, l2 loss = 23.7016 (max 14.95), (true 623, predicted [696])
attack: step 28/30, xent loss = 43.5456, l2 loss = 24.2969 (max 14.95), (true 623, predicted [696])
attack: step 29/30, xent loss = 65.4423, l2 loss = 24.672 (max 14.95), (true 623, predicted [696])
attack: step 30/30, xent loss = 75.2501, l2 loss = 25.1063 (max 14.95), (true 623, predicted [696])
check failed
true = 623, adv = 728
evaluating 681 of [680, 690)
attack: step 1/30, xent loss = 2.63005, l2 loss = 0 (max 14.95), (true 980, predicted [977])
attack: step 2/30, xent loss = 11.5304, l2 loss = 3.39761 (max 14.95), (true 980, predicted [977])
attack: step 3/30, xent loss = 19.2577, l2 loss = 4.2595 (max 14.95), (true 980, predicted [977])
attack: step 4/30, xent loss = 15.2479, l2 loss = 5.34631 (max 14.95), (true 980, predicted [977])
attack: step 5/30, xent loss = 20.4603, l2 loss = 7.68465 (max 14.95), (true 980, predicted [977])
attack: step 6/30, xent loss = 12.3146, l2 loss = 8.42083 (max 14.95), (true 980, predicted [977])
attack: step 7/30, xent loss = 21.1642, l2 loss = 9.18753 (max 14.95), (true 980, predicted [977])
