2019-05-29 14:18:27.125882: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 14:18:27.134402: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600105000 Hz
2019-05-29 14:18:27.134594: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6d4b730 executing computations on platform Host. Devices:
2019-05-29 14:18:27.134621: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 14:18:27.134940: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 880 of [880, 890)
attack: step 1/30, xent loss = 0.0968403, l2 loss = 0 (max 14.95), (true 962, predicted [962])
attack: step 2/30, xent loss = 1.87298, l2 loss = 0.225789 (max 14.95), (true 962, predicted [935])
attack: step 3/30, xent loss = 7.94953, l2 loss = 1.58489 (max 14.95), (true 962, predicted [935])
attack: step 4/30, xent loss = 10.9896, l2 loss = 2.04774 (max 14.95), (true 962, predicted [935])
attack: step 5/30, xent loss = 13.5957, l2 loss = 2.80383 (max 14.95), (true 962, predicted [935])
attack: step 6/30, xent loss = 14.2219, l2 loss = 3.2068 (max 14.95), (true 962, predicted [935])
attack: step 7/30, xent loss = 15.3532, l2 loss = 4.07755 (max 14.95), (true 962, predicted [935])
attack: step 8/30, xent loss = 20.1578, l2 loss = 4.48958 (max 14.95), (true 962, predicted [935])
attack: step 9/30, xent loss = 23.6242, l2 loss = 4.85022 (max 14.95), (true 962, predicted [935])
attack: step 10/30, xent loss = 23.1529, l2 loss = 5.21277 (max 14.95), (true 962, predicted [935])
attack: step 11/30, xent loss = 24.9215, l2 loss = 5.72608 (max 14.95), (true 962, predicted [935])
attack: step 12/30, xent loss = 27.5932, l2 loss = 6.11643 (max 14.95), (true 962, predicted [935])
attack: step 13/30, xent loss = 27.4643, l2 loss = 6.3729 (max 14.95), (true 962, predicted [935])
attack: step 14/30, xent loss = 28.5654, l2 loss = 6.67771 (max 14.95), (true 962, predicted [935])
attack: step 15/30, xent loss = 26.4362, l2 loss = 7.02242 (max 14.95), (true 962, predicted [935])
attack: step 16/30, xent loss = 30.228, l2 loss = 7.48576 (max 14.95), (true 962, predicted [935])
attack: step 17/30, xent loss = 32.5228, l2 loss = 7.69755 (max 14.95), (true 962, predicted [935])
attack: step 18/30, xent loss = 32.6436, l2 loss = 7.98977 (max 14.95), (true 962, predicted [935])
attack: step 19/30, xent loss = 35.6685, l2 loss = 8.21993 (max 14.95), (true 962, predicted [935])
attack: step 20/30, xent loss = 34.1449, l2 loss = 8.43885 (max 14.95), (true 962, predicted [935])
attack: step 21/30, xent loss = 35.0963, l2 loss = 8.73084 (max 14.95), (true 962, predicted [935])
attack: step 22/30, xent loss = 39.089, l2 loss = 8.93437 (max 14.95), (true 962, predicted [935])
attack: step 23/30, xent loss = 39.0463, l2 loss = 9.13662 (max 14.95), (true 962, predicted [935])
attack: step 24/30, xent loss = 38.171, l2 loss = 9.42834 (max 14.95), (true 962, predicted [935])
attack: step 25/30, xent loss = 37.9935, l2 loss = 9.66035 (max 14.95), (true 962, predicted [935])
attack: step 26/30, xent loss = 41.6607, l2 loss = 9.83641 (max 14.95), (true 962, predicted [935])
attack: step 27/30, xent loss = 42.2683, l2 loss = 10.0149 (max 14.95), (true 962, predicted [935])
attack: step 28/30, xent loss = 43.4735, l2 loss = 10.221 (max 14.95), (true 962, predicted [935])
attack: step 29/30, xent loss = 41.0491, l2 loss = 10.4681 (max 14.95), (true 962, predicted [935])
attack: step 30/30, xent loss = 42.8601, l2 loss = 10.6669 (max 14.95), (true 962, predicted [935])
true = 962, adv = 723
evaluating 881 of [880, 890)
attack: step 1/30, xent loss = 0.286432, l2 loss = 0 (max 14.95), (true 875, predicted [875])
attack: step 2/30, xent loss = 3.94711, l2 loss = 0.54476 (max 14.95), (true 875, predicted [513])
attack: step 3/30, xent loss = 9.18937, l2 loss = 1.91099 (max 14.95), (true 875, predicted [699])
attack: step 4/30, xent loss = 23.3287, l2 loss = 3.16147 (max 14.95), (true 875, predicted [699])
attack: step 5/30, xent loss = 11.6165, l2 loss = 6.38533 (max 14.95), (true 875, predicted [699])
attack: step 6/30, xent loss = 19.2939, l2 loss = 7.7537 (max 14.95), (true 875, predicted [699])
attack: step 7/30, xent loss = 30.0745, l2 loss = 8.94939 (max 14.95), (true 875, predicted [699])
attack: step 8/30, xent loss = 33.4005, l2 loss = 9.92035 (max 14.95), (true 875, predicted [699])
attack: step 9/30, xent loss = 26.0965, l2 loss = 11.4083 (max 14.95), (true 875, predicted [699])
attack: step 10/30, xent loss = 45.8097, l2 loss = 11.9451 (max 14.95), (true 875, predicted [699])
attack: step 11/30, xent loss = 47.6798, l2 loss = 12.4142 (max 14.95), (true 875, predicted [699])
attack: step 12/30, xent loss = 48.382, l2 loss = 13.233 (max 14.95), (true 875, predicted [699])
attack: step 13/30, xent loss = 47.5964, l2 loss = 14.529 (max 14.95), (true 875, predicted [699])
attack: step 14/30, xent loss = 52.2038, l2 loss = 15.1081 (max 14.95), (true 875, predicted [699])
attack: step 15/30, xent loss = 42.2414, l2 loss = 15.9575 (max 14.95), (true 875, predicted [699])
attack: step 16/30, xent loss = 62.6692, l2 loss = 17.0905 (max 14.95), (true 875, predicted [699])
attack: step 17/30, xent loss = 56.9134, l2 loss = 17.7612 (max 14.95), (true 875, predicted [699])
attack: step 18/30, xent loss = 75.9041, l2 loss = 18.1802 (max 14.95), (true 875, predicted [699])
attack: step 19/30, xent loss = 49.9136, l2 loss = 19.3161 (max 14.95), (true 875, predicted [699])
attack: step 20/30, xent loss = 66.6231, l2 loss = 20.1283 (max 14.95), (true 875, predicted [699])
attack: step 21/30, xent loss = 73.0809, l2 loss = 20.8846 (max 14.95), (true 875, predicted [699])
attack: step 22/30, xent loss = 70.9588, l2 loss = 21.6482 (max 14.95), (true 875, predicted [699])
attack: step 23/30, xent loss = 63.1927, l2 loss = 22.8435 (max 14.95), (true 875, predicted [699])
attack: step 24/30, xent loss = 78.9728, l2 loss = 23.8934 (max 14.95), (true 875, predicted [699])
attack: step 25/30, xent loss = 94.3546, l2 loss = 24.3118 (max 14.95), (true 875, predicted [699])
attack: step 26/30, xent loss = 90.2165, l2 loss = 24.7993 (max 14.95), (true 875, predicted [699])
attack: step 27/30, xent loss = 88.7305, l2 loss = 25.7267 (max 14.95), (true 875, predicted [699])
attack: step 28/30, xent loss = 95.5339, l2 loss = 26.3654 (max 14.95), (true 875, predicted [699])
attack: step 29/30, xent loss = 94.5443, l2 loss = 27.0224 (max 14.95), (true 875, predicted [699])
