2019-05-29 17:52:27.569477: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 17:52:27.707138: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600015000 Hz
2019-05-29 17:52:27.707234: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae70bd1e0 executing computations on platform Host. Devices:
2019-05-29 17:52:27.707247: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 17:52:27.707394: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 290 of [290, 300)
attack: step 1/30, xent loss = 0.276227, l2 loss = 0 (max 14.95), (true 382, predicted [382])
attack: step 2/30, xent loss = 1.04748, l2 loss = 0.30174 (max 14.95), (true 382, predicted [382])
attack: step 3/30, xent loss = 2.19661, l2 loss = 0.939742 (max 14.95), (true 382, predicted [381])
attack: step 4/30, xent loss = 3.77326, l2 loss = 1.56409 (max 14.95), (true 382, predicted [381])
attack: step 5/30, xent loss = 3.90466, l2 loss = 2.2416 (max 14.95), (true 382, predicted [380])
attack: step 6/30, xent loss = 4.95412, l2 loss = 2.75079 (max 14.95), (true 382, predicted [381])
attack: step 7/30, xent loss = 7.2976, l2 loss = 3.05609 (max 14.95), (true 382, predicted [381])
attack: step 8/30, xent loss = 11.7609, l2 loss = 3.45063 (max 14.95), (true 382, predicted [381])
attack: step 9/30, xent loss = 14.6393, l2 loss = 4.082 (max 14.95), (true 382, predicted [381])
attack: step 10/30, xent loss = 8.68446, l2 loss = 4.96135 (max 14.95), (true 382, predicted [381])
attack: step 11/30, xent loss = 10.809, l2 loss = 5.62413 (max 14.95), (true 382, predicted [381])
attack: step 12/30, xent loss = 16.6636, l2 loss = 6.13269 (max 14.95), (true 382, predicted [381])
attack: step 13/30, xent loss = 20.0442, l2 loss = 6.4521 (max 14.95), (true 382, predicted [381])
attack: step 14/30, xent loss = 23.3895, l2 loss = 6.76082 (max 14.95), (true 382, predicted [381])
attack: step 15/30, xent loss = 20.7621, l2 loss = 7.11929 (max 14.95), (true 382, predicted [381])
attack: step 16/30, xent loss = 18.2161, l2 loss = 7.80329 (max 14.95), (true 382, predicted [381])
attack: step 17/30, xent loss = 23.6878, l2 loss = 8.15352 (max 14.95), (true 382, predicted [381])
attack: step 18/30, xent loss = 25.2701, l2 loss = 8.46256 (max 14.95), (true 382, predicted [381])
attack: step 19/30, xent loss = 22.2782, l2 loss = 8.925 (max 14.95), (true 382, predicted [381])
attack: step 20/30, xent loss = 23.5519, l2 loss = 9.2192 (max 14.95), (true 382, predicted [381])
attack: step 21/30, xent loss = 18.7061, l2 loss = 9.84294 (max 14.95), (true 382, predicted [381])
attack: step 22/30, xent loss = 28.8496, l2 loss = 10.0694 (max 14.95), (true 382, predicted [381])
attack: step 23/30, xent loss = 28.7087, l2 loss = 10.3855 (max 14.95), (true 382, predicted [381])
attack: step 24/30, xent loss = 20.9834, l2 loss = 10.8641 (max 14.95), (true 382, predicted [381])
attack: step 25/30, xent loss = 30.4499, l2 loss = 11.1751 (max 14.95), (true 382, predicted [381])
attack: step 26/30, xent loss = 27.5516, l2 loss = 11.4323 (max 14.95), (true 382, predicted [381])
attack: step 27/30, xent loss = 29.1804, l2 loss = 11.8437 (max 14.95), (true 382, predicted [381])
attack: step 28/30, xent loss = 27.4417, l2 loss = 12.1457 (max 14.95), (true 382, predicted [381])
attack: step 29/30, xent loss = 29.5306, l2 loss = 12.5563 (max 14.95), (true 382, predicted [381])
attack: step 30/30, xent loss = 32.4251, l2 loss = 12.8441 (max 14.95), (true 382, predicted [381])
true = 382, adv = 616
evaluating 291 of [290, 300)
attack: step 1/30, xent loss = 0.296224, l2 loss = 0 (max 14.95), (true 120, predicted [120])
attack: step 2/30, xent loss = 3.7145, l2 loss = 0.51751 (max 14.95), (true 120, predicted [121])
attack: step 3/30, xent loss = 6.99741, l2 loss = 1.56684 (max 14.95), (true 120, predicted [121])
attack: step 4/30, xent loss = 11.7077, l2 loss = 2.58143 (max 14.95), (true 120, predicted [112])
attack: step 5/30, xent loss = 12.2232, l2 loss = 5.0872 (max 14.95), (true 120, predicted [112])
attack: step 6/30, xent loss = 14.2529, l2 loss = 9.12458 (max 14.95), (true 120, predicted [112])
attack: step 7/30, xent loss = 28.2102, l2 loss = 10.0772 (max 14.95), (true 120, predicted [112])
attack: step 8/30, xent loss = 28.454, l2 loss = 10.9989 (max 14.95), (true 120, predicted [112])
attack: step 9/30, xent loss = 36.0556, l2 loss = 11.789 (max 14.95), (true 120, predicted [112])
attack: step 10/30, xent loss = 41.6762, l2 loss = 12.4965 (max 14.95), (true 120, predicted [112])
attack: step 11/30, xent loss = 47.748, l2 loss = 13.3157 (max 14.95), (true 120, predicted [112])
attack: step 12/30, xent loss = 40.7997, l2 loss = 14.2339 (max 14.95), (true 120, predicted [112])
attack: step 13/30, xent loss = 49.7272, l2 loss = 15.0007 (max 14.95), (true 120, predicted [112])
attack: step 14/30, xent loss = 50.1173, l2 loss = 15.9295 (max 14.95), (true 120, predicted [112])
attack: step 15/30, xent loss = 57.7453, l2 loss = 16.6261 (max 14.95), (true 120, predicted [112])
attack: step 16/30, xent loss = 63.3961, l2 loss = 17.2721 (max 14.95), (true 120, predicted [112])
attack: step 17/30, xent loss = 54.4273, l2 loss = 18.0383 (max 14.95), (true 120, predicted [112])
attack: step 18/30, xent loss = 49.5163, l2 loss = 18.7976 (max 14.95), (true 120, predicted [112])
attack: step 19/30, xent loss = 53.8243, l2 loss = 19.704 (max 14.95), (true 120, predicted [112])
attack: step 20/30, xent loss = 62.7703, l2 loss = 20.5639 (max 14.95), (true 120, predicted [112])
attack: step 21/30, xent loss = 64.9187, l2 loss = 21.2586 (max 14.95), (true 120, predicted [112])
attack: step 22/30, xent loss = 57.3745, l2 loss = 22.1118 (max 14.95), (true 120, predicted [112])
attack: step 23/30, xent loss = 81.4077, l2 loss = 22.6242 (max 14.95), (true 120, predicted [112])
attack: step 24/30, xent loss = 69.1026, l2 loss = 23.076 (max 14.95), (true 120, predicted [112])
attack: step 25/30, xent loss = 71.1813, l2 loss = 23.7879 (max 14.95), (true 120, predicted [112])
attack: step 26/30, xent loss = 99.6853, l2 loss = 24.1969 (max 14.95), (true 120, predicted [112])
attack: step 27/30, xent loss = 93.1951, l2 loss = 24.6135 (max 14.95), (true 120, predicted [112])
attack: step 28/30, xent loss = 87.6986, l2 loss = 25.0825 (max 14.95), (true 120, predicted [112])
attack: step 29/30, xent loss = 98.6467, l2 loss = 25.5359 (max 14.95), (true 120, predicted [112])
attack: step 30/30, xent loss = 106.993, l2 loss = 25.8785 (max 14.95), (true 120, predicted [112])
check failed
true = 120, adv = 830
evaluating 292 of [290, 300)
attack: step 1/30, xent loss = 0.0663366, l2 loss = 0 (max 14.95), (true 873, predicted [873])
attack: step 2/30, xent loss = 0.0928658, l2 loss = 0.0516457 (max 14.95), (true 873, predicted [873])
attack: step 3/30, xent loss = 0.128034, l2 loss = 0.108149 (max 14.95), (true 873, predicted [873])
attack: step 4/30, xent loss = 0.169771, l2 loss = 0.16737 (max 14.95), (true 873, predicted [873])
attack: step 5/30, xent loss = 0.224395, l2 loss = 0.232891 (max 14.95), (true 873, predicted [873])
attack: step 6/30, xent loss = 0.307819, l2 loss = 0.316383 (max 14.95), (true 873, predicted [873])
attack: step 7/30, xent loss = 0.438547, l2 loss = 0.416192 (max 14.95), (true 873, predicted [873])
attack: step 8/30, xent loss = 0.540205, l2 loss = 0.557675 (max 14.95), (true 873, predicted [873])
attack: step 9/30, xent loss = 0.751052, l2 loss = 0.701014 (max 14.95), (true 873, predicted [873])
attack: step 10/30, xent loss = 1.07523, l2 loss = 0.895587 (max 14.95), (true 873, predicted [873])
attack: step 11/30, xent loss = 1.40961, l2 loss = 1.14469 (max 14.95), (true 873, predicted [873])
attack: step 12/30, xent loss = 2.44831, l2 loss = 1.45771 (max 14.95), (true 873, predicted [873])
attack: step 13/30, xent loss = 2.30032, l2 loss = 1.90697 (max 14.95), (true 873, predicted [873])
attack: step 14/30, xent loss = 6.44464, l2 loss = 2.42874 (max 14.95), (true 873, predicted [920])
attack: step 15/30, xent loss = 10.451, l2 loss = 3.24027 (max 14.95), (true 873, predicted [920])
