2019-05-29 17:52:27.574361: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 17:52:29.006169: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600105000 Hz
2019-05-29 17:52:29.010037: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6ac0a50 executing computations on platform Host. Devices:
2019-05-29 17:52:29.011252: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 17:52:29.012334: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 470 of [470, 480)
attack: step 1/30, xent loss = 5.10673, l2 loss = 0 (max 14.95), (true 27, predicted [125])
attack: step 2/30, xent loss = 10.6074, l2 loss = 4.0456 (max 14.95), (true 27, predicted [113])
attack: step 3/30, xent loss = 14.9804, l2 loss = 4.84389 (max 14.95), (true 27, predicted [113])
attack: step 4/30, xent loss = 14.791, l2 loss = 6.92394 (max 14.95), (true 27, predicted [113])
attack: step 5/30, xent loss = 18.824, l2 loss = 7.80078 (max 14.95), (true 27, predicted [113])
attack: step 6/30, xent loss = 21.2316, l2 loss = 8.5845 (max 14.95), (true 27, predicted [113])
attack: step 7/30, xent loss = 13.6315, l2 loss = 9.16877 (max 14.95), (true 27, predicted [113])
attack: step 8/30, xent loss = 19.5022, l2 loss = 9.97851 (max 14.95), (true 27, predicted [113])
attack: step 9/30, xent loss = 16.8326, l2 loss = 10.9148 (max 14.95), (true 27, predicted [113])
attack: step 10/30, xent loss = 20.8268, l2 loss = 11.6677 (max 14.95), (true 27, predicted [113])
attack: step 11/30, xent loss = 28.2663, l2 loss = 12.1748 (max 14.95), (true 27, predicted [113])
attack: step 12/30, xent loss = 35.3507, l2 loss = 12.4192 (max 14.95), (true 27, predicted [113])
attack: step 13/30, xent loss = 22.8564, l2 loss = 14.3492 (max 14.95), (true 27, predicted [113])
attack: step 14/30, xent loss = 29.1127, l2 loss = 14.6354 (max 14.95), (true 27, predicted [113])
attack: step 15/30, xent loss = 29.6196, l2 loss = 15.2253 (max 14.95), (true 27, predicted [113])
attack: step 16/30, xent loss = 27.476, l2 loss = 15.5508 (max 14.95), (true 27, predicted [113])
attack: step 17/30, xent loss = 26.2526, l2 loss = 16.4201 (max 14.95), (true 27, predicted [113])
attack: step 18/30, xent loss = 29.4396, l2 loss = 16.5956 (max 14.95), (true 27, predicted [113])
attack: step 19/30, xent loss = 26.0555, l2 loss = 17.0115 (max 14.95), (true 27, predicted [113])
attack: step 20/30, xent loss = 38.2474, l2 loss = 17.2 (max 14.95), (true 27, predicted [113])
attack: step 21/30, xent loss = 37.7003, l2 loss = 17.4826 (max 14.95), (true 27, predicted [113])
attack: step 22/30, xent loss = 29.2878, l2 loss = 17.9368 (max 14.95), (true 27, predicted [113])
attack: step 23/30, xent loss = 29.9894, l2 loss = 18.2104 (max 14.95), (true 27, predicted [113])
attack: step 24/30, xent loss = 35.7973, l2 loss = 18.7142 (max 14.95), (true 27, predicted [113])
attack: step 25/30, xent loss = 34.255, l2 loss = 18.9675 (max 14.95), (true 27, predicted [113])
attack: step 26/30, xent loss = 38.2179, l2 loss = 19.4353 (max 14.95), (true 27, predicted [113])
attack: step 27/30, xent loss = 39.5625, l2 loss = 19.756 (max 14.95), (true 27, predicted [113])
attack: step 28/30, xent loss = 40.2396, l2 loss = 19.9893 (max 14.95), (true 27, predicted [113])
attack: step 29/30, xent loss = 38.9387, l2 loss = 20.2376 (max 14.95), (true 27, predicted [113])
attack: step 30/30, xent loss = 37.508, l2 loss = 20.7177 (max 14.95), (true 27, predicted [113])
check failed
true = 27, adv = 793
evaluating 471 of [470, 480)
attack: step 1/30, xent loss = 0.0121834, l2 loss = 0 (max 14.95), (true 490, predicted [490])
attack: step 2/30, xent loss = 0.0163882, l2 loss = 0.0192852 (max 14.95), (true 490, predicted [490])
attack: step 3/30, xent loss = 0.0233704, l2 loss = 0.0441071 (max 14.95), (true 490, predicted [490])
attack: step 4/30, xent loss = 0.0353269, l2 loss = 0.0753879 (max 14.95), (true 490, predicted [490])
attack: step 5/30, xent loss = 0.0563636, l2 loss = 0.116052 (max 14.95), (true 490, predicted [490])
attack: step 6/30, xent loss = 0.0929215, l2 loss = 0.170982 (max 14.95), (true 490, predicted [490])
attack: step 7/30, xent loss = 0.138668, l2 loss = 0.239353 (max 14.95), (true 490, predicted [490])
attack: step 8/30, xent loss = 0.218458, l2 loss = 0.319638 (max 14.95), (true 490, predicted [490])
attack: step 9/30, xent loss = 0.288583, l2 loss = 0.438912 (max 14.95), (true 490, predicted [490])
attack: step 10/30, xent loss = 0.488653, l2 loss = 0.547252 (max 14.95), (true 490, predicted [490])
attack: step 11/30, xent loss = 0.726115, l2 loss = 0.737209 (max 14.95), (true 490, predicted [490])
attack: step 12/30, xent loss = 0.953001, l2 loss = 0.978766 (max 14.95), (true 490, predicted [490])
attack: step 13/30, xent loss = 1.32896, l2 loss = 1.41269 (max 14.95), (true 490, predicted [490])
attack: step 14/30, xent loss = 2.96259, l2 loss = 1.73067 (max 14.95), (true 490, predicted [600])
attack: step 15/30, xent loss = 6.96385, l2 loss = 2.44659 (max 14.95), (true 490, predicted [600])
attack: step 16/30, xent loss = 12.6617, l2 loss = 3.0591 (max 14.95), (true 490, predicted [600])
attack: step 17/30, xent loss = 6.12931, l2 loss = 6.00353 (max 14.95), (true 490, predicted [600])
attack: step 18/30, xent loss = 13.4397, l2 loss = 7.1136 (max 14.95), (true 490, predicted [600])
attack: step 19/30, xent loss = 16.4313, l2 loss = 7.70569 (max 14.95), (true 490, predicted [600])
attack: step 20/30, xent loss = 19.5985, l2 loss = 8.35991 (max 14.95), (true 490, predicted [600])
attack: step 21/30, xent loss = 23.3306, l2 loss = 9.13337 (max 14.95), (true 490, predicted [600])
attack: step 22/30, xent loss = 29.0685, l2 loss = 9.77876 (max 14.95), (true 490, predicted [600])
attack: step 23/30, xent loss = 30.5524, l2 loss = 10.2463 (max 14.95), (true 490, predicted [600])
attack: step 24/30, xent loss = 27.7823, l2 loss = 11.0601 (max 14.95), (true 490, predicted [600])
attack: step 25/30, xent loss = 28.7912, l2 loss = 11.8224 (max 14.95), (true 490, predicted [600])
attack: step 26/30, xent loss = 34.4247, l2 loss = 12.4502 (max 14.95), (true 490, predicted [600])
attack: step 27/30, xent loss = 35.0369, l2 loss = 13.026 (max 14.95), (true 490, predicted [600])
attack: step 28/30, xent loss = 41.0599, l2 loss = 13.654 (max 14.95), (true 490, predicted [600])
attack: step 29/30, xent loss = 47.599, l2 loss = 14.1831 (max 14.95), (true 490, predicted [600])
attack: step 30/30, xent loss = 41.9518, l2 loss = 14.8325 (max 14.95), (true 490, predicted [600])
check failed
true = 490, adv = 478
evaluating 472 of [470, 480)
attack: step 1/30, xent loss = 0.223823, l2 loss = 0 (max 14.95), (true 282, predicted [282])
attack: step 2/30, xent loss = 4.6737, l2 loss = 0.453995 (max 14.95), (true 282, predicted [285])
attack: step 3/30, xent loss = 10.1858, l2 loss = 1.72949 (max 14.95), (true 282, predicted [285])
attack: step 4/30, xent loss = 13.7466, l2 loss = 2.06805 (max 14.95), (true 282, predicted [285])
attack: step 5/30, xent loss = 16.6055, l2 loss = 2.52989 (max 14.95), (true 282, predicted [285])
attack: step 6/30, xent loss = 19.1661, l2 loss = 3.14466 (max 14.95), (true 282, predicted [285])
attack: step 7/30, xent loss = 19.8251, l2 loss = 3.76034 (max 14.95), (true 282, predicted [285])
attack: step 8/30, xent loss = 18.7329, l2 loss = 4.53037 (max 14.95), (true 282, predicted [285])
attack: step 9/30, xent loss = 28.873, l2 loss = 4.97018 (max 14.95), (true 282, predicted [285])
attack: step 10/30, xent loss = 30.5893, l2 loss = 5.50052 (max 14.95), (true 282, predicted [285])
attack: step 11/30, xent loss = 23.1186, l2 loss = 6.44933 (max 14.95), (true 282, predicted [285])
attack: step 12/30, xent loss = 25.5014, l2 loss = 7.02231 (max 14.95), (true 282, predicted [285])
attack: step 13/30, xent loss = 32.666, l2 loss = 7.60197 (max 14.95), (true 282, predicted [285])
attack: step 14/30, xent loss = 25.9781, l2 loss = 8.47429 (max 14.95), (true 282, predicted [285])
attack: step 15/30, xent loss = 41.33, l2 loss = 8.89068 (max 14.95), (true 282, predicted [285])
attack: step 16/30, xent loss = 42.3727, l2 loss = 9.32809 (max 14.95), (true 282, predicted [285])
attack: step 17/30, xent loss = 39.1716, l2 loss = 9.90725 (max 14.95), (true 282, predicted [285])
attack: step 18/30, xent loss = 44.7647, l2 loss = 10.3701 (max 14.95), (true 282, predicted [285])
attack: step 19/30, xent loss = 45.966, l2 loss = 10.9376 (max 14.95), (true 282, predicted [285])
attack: step 20/30, xent loss = 42.899, l2 loss = 11.3919 (max 14.95), (true 282, predicted [285])
attack: step 21/30, xent loss = 42.0466, l2 loss = 11.984 (max 14.95), (true 282, predicted [285])
attack: step 22/30, xent loss = 46.4907, l2 loss = 12.4814 (max 14.95), (true 282, predicted [285])
attack: step 23/30, xent loss = 45.5559, l2 loss = 12.8067 (max 14.95), (true 282, predicted [285])
attack: step 24/30, xent loss = 55.7237, l2 loss = 13.303 (max 14.95), (true 282, predicted [285])
attack: step 25/30, xent loss = 45.7868, l2 loss = 13.7497 (max 14.95), (true 282, predicted [285])
attack: step 26/30, xent loss = 46.8855, l2 loss = 14.4256 (max 14.95), (true 282, predicted [285])
attack: step 27/30, xent loss = 52.338, l2 loss = 14.7796 (max 14.95), (true 282, predicted [285])
attack: step 28/30, xent loss = 56.8564, l2 loss = 15.0922 (max 14.95), (true 282, predicted [285])
attack: step 29/30, xent loss = 55.4444, l2 loss = 15.4484 (max 14.95), (true 282, predicted [285])
attack: step 30/30, xent loss = 59.8958, l2 loss = 15.8508 (max 14.95), (true 282, predicted [285])
check failed
true = 282, adv = 728
evaluating 473 of [470, 480)
attack: step 1/30, xent loss = 1.95383, l2 loss = 0 (max 14.95), (true 176, predicted [172])
attack: step 2/30, xent loss = 9.02153, l2 loss = 1.63387 (max 14.95), (true 176, predicted [253])
attack: step 3/30, xent loss = 17.7513, l2 loss = 2.56819 (max 14.95), (true 176, predicted [253])
attack: step 4/30, xent loss = 22.6775, l2 loss = 3.97192 (max 14.95), (true 176, predicted [253])
attack: step 5/30, xent loss = 21.3556, l2 loss = 5.70051 (max 14.95), (true 176, predicted [253])
attack: step 6/30, xent loss = 22.1485, l2 loss = 6.86171 (max 14.95), (true 176, predicted [253])
attack: step 7/30, xent loss = 28.8115, l2 loss = 7.82902 (max 14.95), (true 176, predicted [253])
attack: step 8/30, xent loss = 35.2536, l2 loss = 8.37883 (max 14.95), (true 176, predicted [253])
attack: step 9/30, xent loss = 31.1035, l2 loss = 9.18294 (max 14.95), (true 176, predicted [253])
attack: step 10/30, xent loss = 34.5547, l2 loss = 9.85674 (max 14.95), (true 176, predicted [253])
attack: step 11/30, xent loss = 33.0336, l2 loss = 10.6285 (max 14.95), (true 176, predicted [253])
attack: step 12/30, xent loss = 27.3082, l2 loss = 11.2284 (max 14.95), (true 176, predicted [253])
attack: step 13/30, xent loss = 32.6612, l2 loss = 12.2875 (max 14.95), (true 176, predicted [253])
attack: step 14/30, xent loss = 32.5058, l2 loss = 12.7274 (max 14.95), (true 176, predicted [253])
attack: step 15/30, xent loss = 37.862, l2 loss = 13.1722 (max 14.95), (true 176, predicted [253])
attack: step 16/30, xent loss = 46.4032, l2 loss = 13.4566 (max 14.95), (true 176, predicted [253])
attack: step 17/30, xent loss = 39.718, l2 loss = 14.1737 (max 14.95), (true 176, predicted [253])
attack: step 18/30, xent loss = 44.6908, l2 loss = 14.4996 (max 14.95), (true 176, predicted [253])
attack: step 19/30, xent loss = 41.9634, l2 loss = 15.2506 (max 14.95), (true 176, predicted [253])
attack: step 20/30, xent loss = 49.2339, l2 loss = 15.5565 (max 14.95), (true 176, predicted [253])
attack: step 21/30, xent loss = 42.4353, l2 loss = 15.9959 (max 14.95), (true 176, predicted [253])
attack: step 22/30, xent loss = 34.4766, l2 loss = 16.9884 (max 14.95), (true 176, predicted [253])
attack: step 23/30, xent loss = 49.6849, l2 loss = 17.2431 (max 14.95), (true 176, predicted [253])
attack: step 24/30, xent loss = 45.4005, l2 loss = 17.5286 (max 14.95), (true 176, predicted [253])
attack: step 25/30, xent loss = 53.5585, l2 loss = 17.7929 (max 14.95), (true 176, predicted [253])
attack: step 26/30, xent loss = 45.4301, l2 loss = 18.2248 (max 14.95), (true 176, predicted [253])
attack: step 27/30, xent loss = 61.2759, l2 loss = 18.4477 (max 14.95), (true 176, predicted [253])
attack: step 28/30, xent loss = 53.1974, l2 loss = 18.6839 (max 14.95), (true 176, predicted [253])
attack: step 29/30, xent loss = 56.4474, l2 loss = 19.114 (max 14.95), (true 176, predicted [253])
attack: step 30/30, xent loss = 61.1109, l2 loss = 19.4189 (max 14.95), (true 176, predicted [253])
check failed
true = 176, adv = 173
evaluating 474 of [470, 480)
attack: step 1/30, xent loss = 1.44242e-05, l2 loss = 0 (max 14.95), (true 937, predicted [937])
attack: step 2/30, xent loss = 1.44242e-05, l2 loss = 6.53718e-05 (max 14.95), (true 937, predicted [937])
