2019-05-29 17:52:27.571419: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 17:52:27.582122: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600005000 Hz
2019-05-29 17:52:27.582392: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6bc12b0 executing computations on platform Host. Devices:
2019-05-29 17:52:27.582426: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 17:52:27.582778: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 540 of [540, 550)
attack: step 1/30, xent loss = 0.0230272, l2 loss = 0 (max 14.95), (true 702, predicted [702])
attack: step 2/30, xent loss = 0.0864453, l2 loss = 0.0586776 (max 14.95), (true 702, predicted [702])
attack: step 3/30, xent loss = 1.67642, l2 loss = 0.25044 (max 14.95), (true 702, predicted [702])
attack: step 4/30, xent loss = 10.4196, l2 loss = 2.37265 (max 14.95), (true 702, predicted [784])
attack: step 5/30, xent loss = 12.8009, l2 loss = 3.68975 (max 14.95), (true 702, predicted [784])
attack: step 6/30, xent loss = 14.7521, l2 loss = 4.92118 (max 14.95), (true 702, predicted [784])
attack: step 7/30, xent loss = 15.3896, l2 loss = 5.77108 (max 14.95), (true 702, predicted [784])
attack: step 8/30, xent loss = 16.9451, l2 loss = 7.51656 (max 14.95), (true 702, predicted [784])
attack: step 9/30, xent loss = 24.3468, l2 loss = 8.25436 (max 14.95), (true 702, predicted [784])
attack: step 10/30, xent loss = 23.5834, l2 loss = 9.4525 (max 14.95), (true 702, predicted [784])
attack: step 11/30, xent loss = 25.2973, l2 loss = 10.2018 (max 14.95), (true 702, predicted [784])
attack: step 12/30, xent loss = 25.3612, l2 loss = 12.7023 (max 14.95), (true 702, predicted [784])
attack: step 13/30, xent loss = 36.2358, l2 loss = 13.1497 (max 14.95), (true 702, predicted [784])
attack: step 14/30, xent loss = 31.3067, l2 loss = 14.2662 (max 14.95), (true 702, predicted [784])
attack: step 15/30, xent loss = 30.6848, l2 loss = 14.9865 (max 14.95), (true 702, predicted [784])
attack: step 16/30, xent loss = 35.0591, l2 loss = 15.773 (max 14.95), (true 702, predicted [784])
attack: step 17/30, xent loss = 42.7322, l2 loss = 16.4889 (max 14.95), (true 702, predicted [784])
attack: step 18/30, xent loss = 41.0464, l2 loss = 17.4754 (max 14.95), (true 702, predicted [784])
attack: step 19/30, xent loss = 44.8153, l2 loss = 18.1132 (max 14.95), (true 702, predicted [784])
attack: step 20/30, xent loss = 50.3125, l2 loss = 18.972 (max 14.95), (true 702, predicted [784])
attack: step 21/30, xent loss = 43.8058, l2 loss = 19.712 (max 14.95), (true 702, predicted [784])
attack: step 22/30, xent loss = 52.5918, l2 loss = 20.3693 (max 14.95), (true 702, predicted [784])
attack: step 23/30, xent loss = 52.8354, l2 loss = 20.9502 (max 14.95), (true 702, predicted [784])
attack: step 24/30, xent loss = 61.036, l2 loss = 21.5879 (max 14.95), (true 702, predicted [784])
attack: step 25/30, xent loss = 64.7362, l2 loss = 22.2453 (max 14.95), (true 702, predicted [784])
attack: step 26/30, xent loss = 63.4406, l2 loss = 22.7158 (max 14.95), (true 702, predicted [784])
attack: step 27/30, xent loss = 57.944, l2 loss = 23.5264 (max 14.95), (true 702, predicted [784])
attack: step 28/30, xent loss = 72.1045, l2 loss = 24.0611 (max 14.95), (true 702, predicted [784])
attack: step 29/30, xent loss = 69.7365, l2 loss = 24.4757 (max 14.95), (true 702, predicted [784])
attack: step 30/30, xent loss = 70.0609, l2 loss = 24.96 (max 14.95), (true 702, predicted [784])
check failed
true = 702, adv = 895
evaluating 541 of [540, 550)
attack: step 1/30, xent loss = 0.0553494, l2 loss = 0 (max 14.95), (true 91, predicted [91])
attack: step 2/30, xent loss = 0.0707421, l2 loss = 0.0386293 (max 14.95), (true 91, predicted [91])
attack: step 3/30, xent loss = 0.0922252, l2 loss = 0.0828581 (max 14.95), (true 91, predicted [91])
attack: step 4/30, xent loss = 0.119101, l2 loss = 0.130892 (max 14.95), (true 91, predicted [91])
attack: step 5/30, xent loss = 0.153916, l2 loss = 0.183416 (max 14.95), (true 91, predicted [91])
attack: step 6/30, xent loss = 0.198739, l2 loss = 0.24922 (max 14.95), (true 91, predicted [91])
attack: step 7/30, xent loss = 0.19614, l2 loss = 0.326023 (max 14.95), (true 91, predicted [91])
attack: step 8/30, xent loss = 0.320338, l2 loss = 0.400654 (max 14.95), (true 91, predicted [91])
attack: step 9/30, xent loss = 0.375342, l2 loss = 0.492363 (max 14.95), (true 91, predicted [91])
attack: step 10/30, xent loss = 0.508692, l2 loss = 0.612584 (max 14.95), (true 91, predicted [91])
attack: step 11/30, xent loss = 0.536868, l2 loss = 0.750133 (max 14.95), (true 91, predicted [91])
attack: step 12/30, xent loss = 0.879262, l2 loss = 0.85777 (max 14.95), (true 91, predicted [91])
attack: step 13/30, xent loss = 0.799912, l2 loss = 1.00049 (max 14.95), (true 91, predicted [91])
attack: step 14/30, xent loss = 1.11889, l2 loss = 1.13054 (max 14.95), (true 91, predicted [91])
attack: step 15/30, xent loss = 1.05961, l2 loss = 1.32032 (max 14.95), (true 91, predicted [91])
