2019-05-29 17:52:27.582157: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 17:52:27.736549: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599880000 Hz
2019-05-29 17:52:27.750141: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6abffd0 executing computations on platform Host. Devices:
2019-05-29 17:52:27.750201: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 17:52:27.750536: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 790 of [790, 800)
attack: step 1/30, xent loss = 0.191306, l2 loss = 0 (max 14.95), (true 50, predicted [50])
attack: step 2/30, xent loss = 2.97147, l2 loss = 0.320664 (max 14.95), (true 50, predicted [49])
attack: step 3/30, xent loss = 10.7694, l2 loss = 1.72217 (max 14.95), (true 50, predicted [49])
attack: step 4/30, xent loss = 15.515, l2 loss = 2.23662 (max 14.95), (true 50, predicted [49])
attack: step 5/30, xent loss = 17.4875, l2 loss = 2.79553 (max 14.95), (true 50, predicted [49])
attack: step 6/30, xent loss = 18.5239, l2 loss = 3.5006 (max 14.95), (true 50, predicted [49])
attack: step 7/30, xent loss = 20.7455, l2 loss = 4.02332 (max 14.95), (true 50, predicted [49])
attack: step 8/30, xent loss = 20.9528, l2 loss = 4.51225 (max 14.95), (true 50, predicted [49])
attack: step 9/30, xent loss = 22.2017, l2 loss = 5.59524 (max 14.95), (true 50, predicted [49])
attack: step 10/30, xent loss = 24.3199, l2 loss = 6.18241 (max 14.95), (true 50, predicted [49])
attack: step 11/30, xent loss = 23.9991, l2 loss = 6.5079 (max 14.95), (true 50, predicted [49])
attack: step 12/30, xent loss = 30.0628, l2 loss = 7.03632 (max 14.95), (true 50, predicted [49])
attack: step 13/30, xent loss = 28.938, l2 loss = 7.5163 (max 14.95), (true 50, predicted [49])
attack: step 14/30, xent loss = 34.4154, l2 loss = 7.8673 (max 14.95), (true 50, predicted [49])
attack: step 15/30, xent loss = 32.9223, l2 loss = 8.32862 (max 14.95), (true 50, predicted [49])
attack: step 16/30, xent loss = 25.1881, l2 loss = 9.00973 (max 14.95), (true 50, predicted [49])
attack: step 17/30, xent loss = 32.5512, l2 loss = 9.35948 (max 14.95), (true 50, predicted [49])
attack: step 18/30, xent loss = 36.6795, l2 loss = 9.83993 (max 14.95), (true 50, predicted [49])
attack: step 19/30, xent loss = 29.5796, l2 loss = 10.3037 (max 14.95), (true 50, predicted [49])
attack: step 20/30, xent loss = 29.4866, l2 loss = 10.8469 (max 14.95), (true 50, predicted [49])
attack: step 21/30, xent loss = 41.8235, l2 loss = 11.0644 (max 14.95), (true 50, predicted [49])
attack: step 22/30, xent loss = 37.8133, l2 loss = 11.3504 (max 14.95), (true 50, predicted [49])
attack: step 23/30, xent loss = 39.7633, l2 loss = 11.7494 (max 14.95), (true 50, predicted [49])
attack: step 24/30, xent loss = 43.9127, l2 loss = 12.1146 (max 14.95), (true 50, predicted [49])
attack: step 25/30, xent loss = 46.2964, l2 loss = 12.3922 (max 14.95), (true 50, predicted [49])
attack: step 26/30, xent loss = 45.459, l2 loss = 12.804 (max 14.95), (true 50, predicted [49])
attack: step 27/30, xent loss = 47.0447, l2 loss = 13.099 (max 14.95), (true 50, predicted [49])
attack: step 28/30, xent loss = 47.692, l2 loss = 13.4987 (max 14.95), (true 50, predicted [49])
attack: step 29/30, xent loss = 44.5108, l2 loss = 13.9524 (max 14.95), (true 50, predicted [49])
attack: step 30/30, xent loss = 46.5997, l2 loss = 14.2786 (max 14.95), (true 50, predicted [49])
true = 50, adv = 549
evaluating 791 of [790, 800)
attack: step 1/30, xent loss = 0.167904, l2 loss = 0 (max 14.95), (true 713, predicted [713])
attack: step 2/30, xent loss = 1.39848, l2 loss = 0.254606 (max 14.95), (true 713, predicted [742])
attack: step 3/30, xent loss = 3.92454, l2 loss = 1.53733 (max 14.95), (true 713, predicted [742])
attack: step 4/30, xent loss = 5.53934, l2 loss = 2.32044 (max 14.95), (true 713, predicted [742])
attack: step 5/30, xent loss = 7.45279, l2 loss = 3.62753 (max 14.95), (true 713, predicted [742])
attack: step 6/30, xent loss = 11.4745, l2 loss = 4.3326 (max 14.95), (true 713, predicted [742])
attack: step 7/30, xent loss = 10.2008, l2 loss = 5.48855 (max 14.95), (true 713, predicted [742])
attack: step 8/30, xent loss = 10.2205, l2 loss = 6.31593 (max 14.95), (true 713, predicted [742])
attack: step 9/30, xent loss = 15.1256, l2 loss = 7.12708 (max 14.95), (true 713, predicted [742])
attack: step 10/30, xent loss = 12.6944, l2 loss = 7.63594 (max 14.95), (true 713, predicted [742])
attack: step 11/30, xent loss = 15.1095, l2 loss = 8.18384 (max 14.95), (true 713, predicted [742])
attack: step 12/30, xent loss = 14.8629, l2 loss = 8.70385 (max 14.95), (true 713, predicted [742])
attack: step 13/30, xent loss = 18.7274, l2 loss = 9.02766 (max 14.95), (true 713, predicted [742])
attack: step 14/30, xent loss = 18.6603, l2 loss = 9.36916 (max 14.95), (true 713, predicted [742])
attack: step 15/30, xent loss = 20.6941, l2 loss = 9.85588 (max 14.95), (true 713, predicted [742])
attack: step 16/30, xent loss = 19.8622, l2 loss = 10.2522 (max 14.95), (true 713, predicted [742])
attack: step 17/30, xent loss = 17.8087, l2 loss = 11.1147 (max 14.95), (true 713, predicted [742])
attack: step 18/30, xent loss = 23.411, l2 loss = 11.401 (max 14.95), (true 713, predicted [742])
attack: step 19/30, xent loss = 21.3766, l2 loss = 11.9018 (max 14.95), (true 713, predicted [742])
attack: step 20/30, xent loss = 27.2995, l2 loss = 12.2336 (max 14.95), (true 713, predicted [742])
attack: step 21/30, xent loss = 27.3866, l2 loss = 12.5195 (max 14.95), (true 713, predicted [742])
attack: step 22/30, xent loss = 29.1081, l2 loss = 12.8474 (max 14.95), (true 713, predicted [742])
attack: step 23/30, xent loss = 26.8577, l2 loss = 13.3186 (max 14.95), (true 713, predicted [742])
attack: step 24/30, xent loss = 35.7149, l2 loss = 13.5686 (max 14.95), (true 713, predicted [742])
attack: step 25/30, xent loss = 31.5238, l2 loss = 13.9705 (max 14.95), (true 713, predicted [742])
attack: step 26/30, xent loss = 30.2064, l2 loss = 14.3558 (max 14.95), (true 713, predicted [742])
attack: step 27/30, xent loss = 34.706, l2 loss = 14.7249 (max 14.95), (true 713, predicted [742])
attack: step 28/30, xent loss = 37.0076, l2 loss = 15.0419 (max 14.95), (true 713, predicted [742])
attack: step 29/30, xent loss = 36.6253, l2 loss = 15.4183 (max 14.95), (true 713, predicted [742])
attack: step 30/30, xent loss = 32.9764, l2 loss = 15.8188 (max 14.95), (true 713, predicted [742])
check failed
true = 713, adv = 478
evaluating 792 of [790, 800)
attack: step 1/30, xent loss = 0.0569421, l2 loss = 0 (max 14.95), (true 186, predicted [186])
attack: step 2/30, xent loss = 0.0873114, l2 loss = 0.0516294 (max 14.95), (true 186, predicted [186])
attack: step 3/30, xent loss = 0.137849, l2 loss = 0.118644 (max 14.95), (true 186, predicted [186])
attack: step 4/30, xent loss = 0.231837, l2 loss = 0.201243 (max 14.95), (true 186, predicted [186])
attack: step 5/30, xent loss = 0.485478, l2 loss = 0.333325 (max 14.95), (true 186, predicted [186])
attack: step 6/30, xent loss = 1.49709, l2 loss = 0.557006 (max 14.95), (true 186, predicted [193])
attack: step 7/30, xent loss = 6.36781, l2 loss = 1.16623 (max 14.95), (true 186, predicted [193])
attack: step 8/30, xent loss = 11.9447, l2 loss = 1.85948 (max 14.95), (true 186, predicted [193])
attack: step 9/30, xent loss = 16.3722, l2 loss = 2.26191 (max 14.95), (true 186, predicted [193])
attack: step 10/30, xent loss = 17.2454, l2 loss = 2.78232 (max 14.95), (true 186, predicted [193])
attack: step 11/30, xent loss = 19.0202, l2 loss = 3.61428 (max 14.95), (true 186, predicted [193])
attack: step 12/30, xent loss = 14.9941, l2 loss = 4.99462 (max 14.95), (true 186, predicted [193])
attack: step 13/30, xent loss = 19.7306, l2 loss = 5.68024 (max 14.95), (true 186, predicted [193])
attack: step 14/30, xent loss = 20.4688, l2 loss = 6.06266 (max 14.95), (true 186, predicted [193])
attack: step 15/30, xent loss = 25.5795, l2 loss = 6.52805 (max 14.95), (true 186, predicted [193])
attack: step 16/30, xent loss = 27.7818, l2 loss = 6.87238 (max 14.95), (true 186, predicted [193])
attack: step 17/30, xent loss = 28.6912, l2 loss = 7.23002 (max 14.95), (true 186, predicted [193])
attack: step 18/30, xent loss = 27.5941, l2 loss = 7.69198 (max 14.95), (true 186, predicted [193])
attack: step 19/30, xent loss = 31.864, l2 loss = 8.0881 (max 14.95), (true 186, predicted [193])
attack: step 20/30, xent loss = 31.5313, l2 loss = 8.42997 (max 14.95), (true 186, predicted [193])
attack: step 21/30, xent loss = 26.6799, l2 loss = 8.84695 (max 14.95), (true 186, predicted [193])
attack: step 22/30, xent loss = 28.9868, l2 loss = 9.24722 (max 14.95), (true 186, predicted [193])
attack: step 23/30, xent loss = 28.3295, l2 loss = 9.87711 (max 14.95), (true 186, predicted [193])
attack: step 24/30, xent loss = 37.7826, l2 loss = 10.0754 (max 14.95), (true 186, predicted [193])
attack: step 25/30, xent loss = 34.8031, l2 loss = 10.4251 (max 14.95), (true 186, predicted [193])
attack: step 26/30, xent loss = 33.1912, l2 loss = 11.0065 (max 14.95), (true 186, predicted [193])
attack: step 27/30, xent loss = 33.5039, l2 loss = 11.3791 (max 14.95), (true 186, predicted [193])
attack: step 28/30, xent loss = 39.6032, l2 loss = 11.6478 (max 14.95), (true 186, predicted [193])
attack: step 29/30, xent loss = 40.895, l2 loss = 11.8811 (max 14.95), (true 186, predicted [193])
attack: step 30/30, xent loss = 45.1877, l2 loss = 12.1279 (max 14.95), (true 186, predicted [193])
true = 186, adv = 728
evaluating 793 of [790, 800)
attack: step 1/30, xent loss = 0.106523, l2 loss = 0 (max 14.95), (true 384, predicted [384])
attack: step 2/30, xent loss = 7.41281, l2 loss = 0.884693 (max 14.95), (true 384, predicted [366])
attack: step 3/30, xent loss = 7.61209, l2 loss = 2.46141 (max 14.95), (true 384, predicted [366])
attack: step 4/30, xent loss = 7.06487, l2 loss = 5.55361 (max 14.95), (true 384, predicted [364])
attack: step 5/30, xent loss = 9.98815, l2 loss = 5.65996 (max 14.95), (true 384, predicted [84])
attack: step 6/30, xent loss = 11.3732, l2 loss = 5.95902 (max 14.95), (true 384, predicted [84])
attack: step 7/30, xent loss = 11.5886, l2 loss = 6.27465 (max 14.95), (true 384, predicted [84])
attack: step 8/30, xent loss = 13.365, l2 loss = 7.60089 (max 14.95), (true 384, predicted [84])
attack: step 9/30, xent loss = 17.2441, l2 loss = 7.67208 (max 14.95), (true 384, predicted [84])
attack: step 10/30, xent loss = 13.534, l2 loss = 8.05325 (max 14.95), (true 384, predicted [84])
attack: step 11/30, xent loss = 15.216, l2 loss = 8.79209 (max 14.95), (true 384, predicted [84])
attack: step 12/30, xent loss = 18.9113, l2 loss = 8.91992 (max 14.95), (true 384, predicted [84])
attack: step 13/30, xent loss = 15.2079, l2 loss = 9.7114 (max 14.95), (true 384, predicted [84])
attack: step 14/30, xent loss = 17.7736, l2 loss = 9.76147 (max 14.95), (true 384, predicted [84])
attack: step 15/30, xent loss = 16.1024, l2 loss = 10.2008 (max 14.95), (true 384, predicted [84])
attack: step 16/30, xent loss = 20.7926, l2 loss = 10.3921 (max 14.95), (true 384, predicted [84])
attack: step 17/30, xent loss = 18.7158, l2 loss = 10.8291 (max 14.95), (true 384, predicted [84])
attack: step 18/30, xent loss = 27.082, l2 loss = 11.0239 (max 14.95), (true 384, predicted [84])
attack: step 19/30, xent loss = 20.211, l2 loss = 11.691 (max 14.95), (true 384, predicted [84])
attack: step 20/30, xent loss = 28.4955, l2 loss = 12.018 (max 14.95), (true 384, predicted [84])
attack: step 21/30, xent loss = 17.4316, l2 loss = 12.808 (max 14.95), (true 384, predicted [84])
attack: step 22/30, xent loss = 28.4836, l2 loss = 12.9772 (max 14.95), (true 384, predicted [84])
attack: step 23/30, xent loss = 21.0633, l2 loss = 14.0864 (max 14.95), (true 384, predicted [84])
attack: step 24/30, xent loss = 20.2429, l2 loss = 14.3391 (max 14.95), (true 384, predicted [84])
attack: step 25/30, xent loss = 24.1064, l2 loss = 15.0649 (max 14.95), (true 384, predicted [84])
attack: step 26/30, xent loss = 25.5315, l2 loss = 15.3578 (max 14.95), (true 384, predicted [84])
attack: step 27/30, xent loss = 24.277, l2 loss = 15.6266 (max 14.95), (true 384, predicted [84])
attack: step 28/30, xent loss = 25.3759, l2 loss = 15.9485 (max 14.95), (true 384, predicted [84])
attack: step 29/30, xent loss = 25.0907, l2 loss = 16.3883 (max 14.95), (true 384, predicted [84])
attack: step 30/30, xent loss = 38.1559, l2 loss = 16.7034 (max 14.95), (true 384, predicted [84])
check failed
true = 384, adv = 600
evaluating 794 of [790, 800)
attack: step 1/30, xent loss = 2.01672, l2 loss = 0 (max 14.95), (true 608, predicted [797])
attack: step 2/30, xent loss = 8.78247, l2 loss = 4.32755 (max 14.95), (true 608, predicted [209])
attack: step 3/30, xent loss = 11.2754, l2 loss = 5.07872 (max 14.95), (true 608, predicted [797])
attack: step 4/30, xent loss = 16.1429, l2 loss = 5.53587 (max 14.95), (true 608, predicted [797])
attack: step 5/30, xent loss = 15.712, l2 loss = 7.6196 (max 14.95), (true 608, predicted [797])
attack: step 6/30, xent loss = 17.1873, l2 loss = 9.79337 (max 14.95), (true 608, predicted [797])
attack: step 7/30, xent loss = 18.6063, l2 loss = 10.6116 (max 14.95), (true 608, predicted [797])
attack: step 8/30, xent loss = 17.6312, l2 loss = 12.6084 (max 14.95), (true 608, predicted [797])
attack: step 9/30, xent loss = 27.6077, l2 loss = 13.1414 (max 14.95), (true 608, predicted [797])
attack: step 10/30, xent loss = 27.8965, l2 loss = 13.7881 (max 14.95), (true 608, predicted [797])
attack: step 11/30, xent loss = 28.0181, l2 loss = 14.4657 (max 14.95), (true 608, predicted [797])
attack: step 12/30, xent loss = 32.5634, l2 loss = 15.1628 (max 14.95), (true 608, predicted [797])
attack: step 13/30, xent loss = 33.0358, l2 loss = 15.9926 (max 14.95), (true 608, predicted [797])
attack: step 14/30, xent loss = 29.0354, l2 loss = 16.9468 (max 14.95), (true 608, predicted [797])
attack: step 15/30, xent loss = 31.906, l2 loss = 17.3728 (max 14.95), (true 608, predicted [797])
attack: step 16/30, xent loss = 29.7704, l2 loss = 18.1636 (max 14.95), (true 608, predicted [797])
attack: step 17/30, xent loss = 42.2927, l2 loss = 18.5303 (max 14.95), (true 608, predicted [797])
attack: step 18/30, xent loss = 43.9241, l2 loss = 18.868 (max 14.95), (true 608, predicted [797])
attack: step 19/30, xent loss = 50.5253, l2 loss = 19.8074 (max 14.95), (true 608, predicted [797])
