2019-05-29 17:52:27.582318: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 17:52:27.736291: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599880000 Hz
2019-05-29 17:52:27.750139: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6e49fa0 executing computations on platform Host. Devices:
2019-05-29 17:52:27.750182: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 17:52:27.750526: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 820 of [820, 830)
attack: step 1/30, xent loss = 0.0834831, l2 loss = 0 (max 14.95), (true 343, predicted [343])
attack: step 2/30, xent loss = 1.4639, l2 loss = 0.162171 (max 14.95), (true 343, predicted [346])
attack: step 3/30, xent loss = 7.22727, l2 loss = 2.74065 (max 14.95), (true 343, predicted [346])
attack: step 4/30, xent loss = 10.2766, l2 loss = 2.93227 (max 14.95), (true 343, predicted [346])
attack: step 5/30, xent loss = 12.3209, l2 loss = 3.28598 (max 14.95), (true 343, predicted [346])
attack: step 6/30, xent loss = 7.26559, l2 loss = 5.14309 (max 14.95), (true 343, predicted [346])
attack: step 7/30, xent loss = 12.3178, l2 loss = 5.41972 (max 14.95), (true 343, predicted [346])
attack: step 8/30, xent loss = 15.282, l2 loss = 5.5647 (max 14.95), (true 343, predicted [346])
attack: step 9/30, xent loss = 16.4736, l2 loss = 5.8865 (max 14.95), (true 343, predicted [346])
attack: step 10/30, xent loss = 11.078, l2 loss = 6.34892 (max 14.95), (true 343, predicted [354])
attack: step 11/30, xent loss = 15.4963, l2 loss = 6.60571 (max 14.95), (true 343, predicted [346])
attack: step 12/30, xent loss = 19.4285, l2 loss = 6.94702 (max 14.95), (true 343, predicted [346])
attack: step 13/30, xent loss = 13.1788, l2 loss = 7.74518 (max 14.95), (true 343, predicted [346])
attack: step 14/30, xent loss = 17.8708, l2 loss = 7.91582 (max 14.95), (true 343, predicted [346])
attack: step 15/30, xent loss = 16.3068, l2 loss = 8.461 (max 14.95), (true 343, predicted [346])
attack: step 16/30, xent loss = 21.2594, l2 loss = 8.8236 (max 14.95), (true 343, predicted [346])
attack: step 17/30, xent loss = 23.7199, l2 loss = 9.13176 (max 14.95), (true 343, predicted [346])
attack: step 18/30, xent loss = 22.0944, l2 loss = 9.50216 (max 14.95), (true 343, predicted [346])
attack: step 19/30, xent loss = 22.3623, l2 loss = 10.3353 (max 14.95), (true 343, predicted [346])
attack: step 20/30, xent loss = 20.3706, l2 loss = 10.6278 (max 14.95), (true 343, predicted [346])
attack: step 21/30, xent loss = 20.2549, l2 loss = 11.2165 (max 14.95), (true 343, predicted [346])
attack: step 22/30, xent loss = 23.195, l2 loss = 11.5608 (max 14.95), (true 343, predicted [346])
attack: step 23/30, xent loss = 21.5865, l2 loss = 11.933 (max 14.95), (true 343, predicted [346])
attack: step 24/30, xent loss = 30.1836, l2 loss = 12.0843 (max 14.95), (true 343, predicted [346])
attack: step 25/30, xent loss = 29.6725, l2 loss = 12.3398 (max 14.95), (true 343, predicted [346])
attack: step 26/30, xent loss = 31.8278, l2 loss = 12.7265 (max 14.95), (true 343, predicted [346])
attack: step 27/30, xent loss = 30.6556, l2 loss = 13.0933 (max 14.95), (true 343, predicted [346])
attack: step 28/30, xent loss = 32.6656, l2 loss = 13.6038 (max 14.95), (true 343, predicted [346])
attack: step 29/30, xent loss = 35.8249, l2 loss = 13.9507 (max 14.95), (true 343, predicted [346])
attack: step 30/30, xent loss = 39.3186, l2 loss = 14.213 (max 14.95), (true 343, predicted [346])
true = 343, adv = 201
evaluating 821 of [820, 830)
attack: step 1/30, xent loss = 0.939363, l2 loss = 0 (max 14.95), (true 804, predicted [804])
attack: step 2/30, xent loss = 7.28246, l2 loss = 2.53515 (max 14.95), (true 804, predicted [631])
attack: step 3/30, xent loss = 11.9249, l2 loss = 3.31588 (max 14.95), (true 804, predicted [631])
attack: step 4/30, xent loss = 17.4796, l2 loss = 4.31323 (max 14.95), (true 804, predicted [585])
attack: step 5/30, xent loss = 24.7508, l2 loss = 5.92583 (max 14.95), (true 804, predicted [585])
attack: step 6/30, xent loss = 25.9133, l2 loss = 8.58747 (max 14.95), (true 804, predicted [585])
attack: step 7/30, xent loss = 15.1555, l2 loss = 10.1487 (max 14.95), (true 804, predicted [585])
attack: step 8/30, xent loss = 22.1874, l2 loss = 11.5706 (max 14.95), (true 804, predicted [585])
attack: step 9/30, xent loss = 31.4201, l2 loss = 13.1286 (max 14.95), (true 804, predicted [585])
attack: step 10/30, xent loss = 24.7559, l2 loss = 14.1174 (max 14.95), (true 804, predicted [585])
attack: step 11/30, xent loss = 33.5463, l2 loss = 15.5037 (max 14.95), (true 804, predicted [585])
attack: step 12/30, xent loss = 42.6819, l2 loss = 16.0784 (max 14.95), (true 804, predicted [585])
attack: step 13/30, xent loss = 44.0825, l2 loss = 16.8806 (max 14.95), (true 804, predicted [585])
attack: step 14/30, xent loss = 48.7902, l2 loss = 17.4452 (max 14.95), (true 804, predicted [585])
attack: step 15/30, xent loss = 46.8064, l2 loss = 18.2271 (max 14.95), (true 804, predicted [585])
attack: step 16/30, xent loss = 58.9882, l2 loss = 18.8676 (max 14.95), (true 804, predicted [585])
attack: step 17/30, xent loss = 55.3415, l2 loss = 19.9264 (max 14.95), (true 804, predicted [585])
attack: step 18/30, xent loss = 58.3433, l2 loss = 20.4394 (max 14.95), (true 804, predicted [585])
attack: step 19/30, xent loss = 50.8448, l2 loss = 21.4681 (max 14.95), (true 804, predicted [585])
attack: step 20/30, xent loss = 62.399, l2 loss = 22.0447 (max 14.95), (true 804, predicted [585])
attack: step 21/30, xent loss = 55.5787, l2 loss = 22.7379 (max 14.95), (true 804, predicted [585])
attack: step 22/30, xent loss = 74.1958, l2 loss = 23.4548 (max 14.95), (true 804, predicted [585])
attack: step 23/30, xent loss = 71.7806, l2 loss = 23.9345 (max 14.95), (true 804, predicted [585])
attack: step 24/30, xent loss = 75.6796, l2 loss = 24.5265 (max 14.95), (true 804, predicted [585])
attack: step 25/30, xent loss = 83.965, l2 loss = 25.053 (max 14.95), (true 804, predicted [585])
attack: step 26/30, xent loss = 90.2783, l2 loss = 25.585 (max 14.95), (true 804, predicted [585])
attack: step 27/30, xent loss = 97.2011, l2 loss = 26.0104 (max 14.95), (true 804, predicted [585])
attack: step 28/30, xent loss = 95.5329, l2 loss = 26.4445 (max 14.95), (true 804, predicted [585])
attack: step 29/30, xent loss = 78.4828, l2 loss = 27.0544 (max 14.95), (true 804, predicted [585])
attack: step 30/30, xent loss = 87.1366, l2 loss = 28.0371 (max 14.95), (true 804, predicted [585])
check failed
true = 804, adv = 728
evaluating 822 of [820, 830)
attack: step 1/30, xent loss = 5.08004, l2 loss = 0 (max 14.95), (true 391, predicted [35])
attack: step 2/30, xent loss = 9.48373, l2 loss = 5.06098 (max 14.95), (true 391, predicted [35])
attack: step 3/30, xent loss = 12.2781, l2 loss = 5.54392 (max 14.95), (true 391, predicted [36])
attack: step 4/30, xent loss = 12.1237, l2 loss = 6.59046 (max 14.95), (true 391, predicted [36])
attack: step 5/30, xent loss = 18.9786, l2 loss = 6.80559 (max 14.95), (true 391, predicted [36])
attack: step 6/30, xent loss = 16.3852, l2 loss = 7.94337 (max 14.95), (true 391, predicted [36])
attack: step 7/30, xent loss = 15.531, l2 loss = 10.4759 (max 14.95), (true 391, predicted [36])
attack: step 8/30, xent loss = 18.0192, l2 loss = 11.5102 (max 14.95), (true 391, predicted [36])
attack: step 9/30, xent loss = 27.549, l2 loss = 12.2813 (max 14.95), (true 391, predicted [36])
attack: step 10/30, xent loss = 31.4158, l2 loss = 13.4405 (max 14.95), (true 391, predicted [36])
attack: step 11/30, xent loss = 21.2815, l2 loss = 14.3195 (max 14.95), (true 391, predicted [36])
attack: step 12/30, xent loss = 36.3853, l2 loss = 14.844 (max 14.95), (true 391, predicted [36])
attack: step 13/30, xent loss = 29.0944, l2 loss = 16.0253 (max 14.95), (true 391, predicted [36])
attack: step 14/30, xent loss = 35.2373, l2 loss = 16.4496 (max 14.95), (true 391, predicted [36])
attack: step 15/30, xent loss = 39.869, l2 loss = 17.0683 (max 14.95), (true 391, predicted [36])
attack: step 16/30, xent loss = 43.3874, l2 loss = 17.6304 (max 14.95), (true 391, predicted [36])
attack: step 17/30, xent loss = 39.7314, l2 loss = 18.4213 (max 14.95), (true 391, predicted [36])
attack: step 18/30, xent loss = 44.2748, l2 loss = 19.0159 (max 14.95), (true 391, predicted [36])
attack: step 19/30, xent loss = 46.4886, l2 loss = 19.5098 (max 14.95), (true 391, predicted [36])
attack: step 20/30, xent loss = 52.0594, l2 loss = 20.1715 (max 14.95), (true 391, predicted [36])
attack: step 21/30, xent loss = 53.2138, l2 loss = 20.5262 (max 14.95), (true 391, predicted [36])
attack: step 22/30, xent loss = 51.003, l2 loss = 21.1955 (max 14.95), (true 391, predicted [36])
attack: step 23/30, xent loss = 55.1184, l2 loss = 21.6779 (max 14.95), (true 391, predicted [36])
attack: step 24/30, xent loss = 49.7956, l2 loss = 22.1797 (max 14.95), (true 391, predicted [36])
attack: step 25/30, xent loss = 53.8682, l2 loss = 22.6988 (max 14.95), (true 391, predicted [36])
attack: step 26/30, xent loss = 59.0018, l2 loss = 23.1356 (max 14.95), (true 391, predicted [36])
attack: step 27/30, xent loss = 52.0925, l2 loss = 23.7463 (max 14.95), (true 391, predicted [36])
attack: step 28/30, xent loss = 57.5545, l2 loss = 24.2787 (max 14.95), (true 391, predicted [36])
attack: step 29/30, xent loss = 69.478, l2 loss = 24.6781 (max 14.95), (true 391, predicted [36])
attack: step 30/30, xent loss = 57.6366, l2 loss = 25.0497 (max 14.95), (true 391, predicted [36])
check failed
true = 391, adv = 879
evaluating 823 of [820, 830)
attack: step 1/30, xent loss = 0.0697485, l2 loss = 0 (max 14.95), (true 290, predicted [290])
attack: step 2/30, xent loss = 0.0820725, l2 loss = 0.0348248 (max 14.95), (true 290, predicted [290])
attack: step 3/30, xent loss = 0.0969655, l2 loss = 0.0720698 (max 14.95), (true 290, predicted [290])
attack: step 4/30, xent loss = 0.113915, l2 loss = 0.110227 (max 14.95), (true 290, predicted [290])
attack: step 5/30, xent loss = 0.134381, l2 loss = 0.150509 (max 14.95), (true 290, predicted [290])
attack: step 6/30, xent loss = 0.161801, l2 loss = 0.196254 (max 14.95), (true 290, predicted [290])
attack: step 7/30, xent loss = 0.193726, l2 loss = 0.248023 (max 14.95), (true 290, predicted [290])
attack: step 8/30, xent loss = 0.230323, l2 loss = 0.301509 (max 14.95), (true 290, predicted [290])
attack: step 9/30, xent loss = 0.277007, l2 loss = 0.364591 (max 14.95), (true 290, predicted [290])
attack: step 10/30, xent loss = 0.340857, l2 loss = 0.431837 (max 14.95), (true 290, predicted [290])
attack: step 11/30, xent loss = 0.417049, l2 loss = 0.514962 (max 14.95), (true 290, predicted [290])
attack: step 12/30, xent loss = 0.529468, l2 loss = 0.598027 (max 14.95), (true 290, predicted [290])
attack: step 13/30, xent loss = 0.698099, l2 loss = 0.721202 (max 14.95), (true 290, predicted [290])
attack: step 14/30, xent loss = 0.974798, l2 loss = 0.85377 (max 14.95), (true 290, predicted [290])
attack: step 15/30, xent loss = 1.22535, l2 loss = 1.02295 (max 14.95), (true 290, predicted [290])
attack: step 16/30, xent loss = 1.72981, l2 loss = 1.21689 (max 14.95), (true 290, predicted [290])
attack: step 17/30, xent loss = 2.19639, l2 loss = 1.56827 (max 14.95), (true 290, predicted [290])
attack: step 18/30, xent loss = 3.30716, l2 loss = 1.82139 (max 14.95), (true 290, predicted [288])
attack: step 19/30, xent loss = 4.33191, l2 loss = 2.39316 (max 14.95), (true 290, predicted [288])
attack: step 20/30, xent loss = 5.34566, l2 loss = 3.16256 (max 14.95), (true 290, predicted [205])
attack: step 21/30, xent loss = 7.60866, l2 loss = 3.62197 (max 14.95), (true 290, predicted [256])
attack: step 22/30, xent loss = 10.5629, l2 loss = 3.97964 (max 14.95), (true 290, predicted [170])
attack: step 23/30, xent loss = 12.6035, l2 loss = 4.55311 (max 14.95), (true 290, predicted [170])
attack: step 24/30, xent loss = 12.9453, l2 loss = 5.35779 (max 14.95), (true 290, predicted [170])
attack: step 25/30, xent loss = 12.5868, l2 loss = 6.51813 (max 14.95), (true 290, predicted [177])
attack: step 26/30, xent loss = 11.8029, l2 loss = 7.60549 (max 14.95), (true 290, predicted [177])
attack: step 27/30, xent loss = 17.5451, l2 loss = 9.24006 (max 14.95), (true 290, predicted [177])
attack: step 28/30, xent loss = 11.3817, l2 loss = 9.74175 (max 14.95), (true 290, predicted [177])
attack: step 29/30, xent loss = 18.0586, l2 loss = 10.9773 (max 14.95), (true 290, predicted [177])
attack: step 30/30, xent loss = 22.2288, l2 loss = 11.273 (max 14.95), (true 290, predicted [177])
true = 290, adv = 723
evaluating 824 of [820, 830)
attack: step 1/30, xent loss = 0.0277673, l2 loss = 0 (max 14.95), (true 391, predicted [391])
attack: step 2/30, xent loss = 0.0634815, l2 loss = 0.0545269 (max 14.95), (true 391, predicted [391])
attack: step 3/30, xent loss = 0.184262, l2 loss = 0.13633 (max 14.95), (true 391, predicted [391])
attack: step 4/30, xent loss = 1.25059, l2 loss = 0.348137 (max 14.95), (true 391, predicted [391])
attack: step 5/30, xent loss = 5.59189, l2 loss = 1.49367 (max 14.95), (true 391, predicted [0])
attack: step 6/30, xent loss = 10.3395, l2 loss = 1.87222 (max 14.95), (true 391, predicted [389])
attack: step 7/30, xent loss = 12.9722, l2 loss = 2.85591 (max 14.95), (true 391, predicted [389])
attack: step 8/30, xent loss = 9.60766, l2 loss = 4.29908 (max 14.95), (true 391, predicted [389])
attack: step 9/30, xent loss = 15.3123, l2 loss = 5.40352 (max 14.95), (true 391, predicted [389])
attack: step 10/30, xent loss = 18.1059, l2 loss = 5.82559 (max 14.95), (true 391, predicted [389])
attack: step 11/30, xent loss = 23.0387, l2 loss = 6.49896 (max 14.95), (true 391, predicted [389])
attack: step 12/30, xent loss = 21.3822, l2 loss = 7.06285 (max 14.95), (true 391, predicted [389])
attack: step 13/30, xent loss = 22.4385, l2 loss = 8.57659 (max 14.95), (true 391, predicted [389])
attack: step 14/30, xent loss = 31.0759, l2 loss = 8.89103 (max 14.95), (true 391, predicted [389])
attack: step 15/30, xent loss = 24.0976, l2 loss = 9.41459 (max 14.95), (true 391, predicted [389])
attack: step 16/30, xent loss = 26.7512, l2 loss = 9.97619 (max 14.95), (true 391, predicted [389])
attack: step 17/30, xent loss = 29.457, l2 loss = 10.4322 (max 14.95), (true 391, predicted [389])
attack: step 18/30, xent loss = 36.8393, l2 loss = 10.7176 (max 14.95), (true 391, predicted [389])
attack: step 19/30, xent loss = 35.5092, l2 loss = 11.3084 (max 14.95), (true 391, predicted [389])
