2019-05-29 19:06:36.569554: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 19:06:36.573983: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599945000 Hz
2019-05-29 19:06:36.574086: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6bbf7c0 executing computations on platform Host. Devices:
2019-05-29 19:06:36.574099: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 19:06:36.574244: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 150 of [150, 160)
attack: step 1/30, xent loss = 0.0810413, l2 loss = 0 (max 14.95), (true 874, predicted [874])
attack: step 2/30, xent loss = 0.109842, l2 loss = 0.0521407 (max 14.95), (true 874, predicted [874])
attack: step 3/30, xent loss = 0.154159, l2 loss = 0.113539 (max 14.95), (true 874, predicted [874])
attack: step 4/30, xent loss = 0.226244, l2 loss = 0.19024 (max 14.95), (true 874, predicted [874])
attack: step 5/30, xent loss = 0.352826, l2 loss = 0.288516 (max 14.95), (true 874, predicted [874])
attack: step 6/30, xent loss = 0.574464, l2 loss = 0.414701 (max 14.95), (true 874, predicted [874])
attack: step 7/30, xent loss = 0.960621, l2 loss = 0.579025 (max 14.95), (true 874, predicted [874])
attack: step 8/30, xent loss = 1.60658, l2 loss = 0.795866 (max 14.95), (true 874, predicted [874])
attack: step 9/30, xent loss = 2.67396, l2 loss = 1.06991 (max 14.95), (true 874, predicted [874])
attack: step 10/30, xent loss = 3.82991, l2 loss = 1.33761 (max 14.95), (true 874, predicted [555])
attack: step 11/30, xent loss = 5.16669, l2 loss = 1.60263 (max 14.95), (true 874, predicted [555])
attack: step 12/30, xent loss = 7.35661, l2 loss = 1.89335 (max 14.95), (true 874, predicted [555])
attack: step 13/30, xent loss = 10.0914, l2 loss = 2.15603 (max 14.95), (true 874, predicted [555])
attack: step 14/30, xent loss = 12.3431, l2 loss = 2.3919 (max 14.95), (true 874, predicted [555])
attack: step 15/30, xent loss = 12.9417, l2 loss = 2.66747 (max 14.95), (true 874, predicted [555])
attack: step 16/30, xent loss = 10.8799, l2 loss = 3.08184 (max 14.95), (true 874, predicted [555])
attack: step 17/30, xent loss = 13.2785, l2 loss = 3.55269 (max 14.95), (true 874, predicted [555])
attack: step 18/30, xent loss = 14.0308, l2 loss = 3.87828 (max 14.95), (true 874, predicted [555])
attack: step 19/30, xent loss = 13.1626, l2 loss = 4.44468 (max 14.95), (true 874, predicted [555])
attack: step 20/30, xent loss = 17.4033, l2 loss = 4.69596 (max 14.95), (true 874, predicted [555])
attack: step 21/30, xent loss = 18.3276, l2 loss = 4.94932 (max 14.95), (true 874, predicted [555])
attack: step 22/30, xent loss = 19.7925, l2 loss = 5.20709 (max 14.95), (true 874, predicted [555])
attack: step 23/30, xent loss = 21.4271, l2 loss = 5.56586 (max 14.95), (true 874, predicted [555])
attack: step 24/30, xent loss = 20.5236, l2 loss = 5.99932 (max 14.95), (true 874, predicted [555])
attack: step 25/30, xent loss = 22.9454, l2 loss = 6.37557 (max 14.95), (true 874, predicted [555])
attack: step 26/30, xent loss = 16.7057, l2 loss = 6.89851 (max 14.95), (true 874, predicted [555])
attack: step 27/30, xent loss = 24.3009, l2 loss = 7.23637 (max 14.95), (true 874, predicted [555])
attack: step 28/30, xent loss = 26.4989, l2 loss = 7.47425 (max 14.95), (true 874, predicted [555])
attack: step 29/30, xent loss = 18.1268, l2 loss = 8.01026 (max 14.95), (true 874, predicted [555])
attack: step 30/30, xent loss = 22.1746, l2 loss = 8.52517 (max 14.95), (true 874, predicted [555])
true = 874, adv = 879
evaluating 151 of [150, 160)
attack: step 1/30, xent loss = 0.362028, l2 loss = 0 (max 14.95), (true 153, predicted [153])
attack: step 2/30, xent loss = 4.89954, l2 loss = 0.76631 (max 14.95), (true 153, predicted [204])
attack: step 3/30, xent loss = 8.12903, l2 loss = 1.77981 (max 14.95), (true 153, predicted [204])
attack: step 4/30, xent loss = 10.4424, l2 loss = 2.25311 (max 14.95), (true 153, predicted [204])
attack: step 5/30, xent loss = 11.6981, l2 loss = 2.93943 (max 14.95), (true 153, predicted [204])
attack: step 6/30, xent loss = 11.7194, l2 loss = 3.73665 (max 14.95), (true 153, predicted [204])
attack: step 7/30, xent loss = 14.05, l2 loss = 4.52 (max 14.95), (true 153, predicted [204])
attack: step 8/30, xent loss = 12.6657, l2 loss = 5.24699 (max 14.95), (true 153, predicted [204])
attack: step 9/30, xent loss = 9.71329, l2 loss = 7.22661 (max 14.95), (true 153, predicted [204])
attack: step 10/30, xent loss = 15.6135, l2 loss = 7.50344 (max 14.95), (true 153, predicted [204])
attack: step 11/30, xent loss = 16.2046, l2 loss = 7.85015 (max 14.95), (true 153, predicted [204])
attack: step 12/30, xent loss = 16.4799, l2 loss = 8.28962 (max 14.95), (true 153, predicted [204])
attack: step 13/30, xent loss = 17.2165, l2 loss = 8.75452 (max 14.95), (true 153, predicted [204])
attack: step 14/30, xent loss = 16.4915, l2 loss = 9.57636 (max 14.95), (true 153, predicted [204])
attack: step 15/30, xent loss = 19.7564, l2 loss = 9.91166 (max 14.95), (true 153, predicted [204])
attack: step 16/30, xent loss = 21.4899, l2 loss = 10.283 (max 14.95), (true 153, predicted [204])
attack: step 17/30, xent loss = 16.794, l2 loss = 10.774 (max 14.95), (true 153, predicted [204])
attack: step 18/30, xent loss = 15.1376, l2 loss = 11.7166 (max 14.95), (true 153, predicted [204])
attack: step 19/30, xent loss = 19.754, l2 loss = 11.8169 (max 14.95), (true 153, predicted [204])
attack: step 20/30, xent loss = 18.96, l2 loss = 12.1319 (max 14.95), (true 153, predicted [204])
attack: step 21/30, xent loss = 25.1741, l2 loss = 12.3388 (max 14.95), (true 153, predicted [204])
attack: step 22/30, xent loss = 28.1701, l2 loss = 12.557 (max 14.95), (true 153, predicted [204])
attack: step 23/30, xent loss = 22.2769, l2 loss = 12.89 (max 14.95), (true 153, predicted [204])
attack: step 24/30, xent loss = 21.5713, l2 loss = 13.4467 (max 14.95), (true 153, predicted [204])
attack: step 25/30, xent loss = 27.4693, l2 loss = 13.5867 (max 14.95), (true 153, predicted [204])
attack: step 26/30, xent loss = 23.5, l2 loss = 13.9348 (max 14.95), (true 153, predicted [204])
attack: step 27/30, xent loss = 29.1384, l2 loss = 14.1621 (max 14.95), (true 153, predicted [204])
attack: step 28/30, xent loss = 31.7675, l2 loss = 14.4016 (max 14.95), (true 153, predicted [204])
attack: step 29/30, xent loss = 29.0812, l2 loss = 14.6404 (max 14.95), (true 153, predicted [204])
attack: step 30/30, xent loss = 31.158, l2 loss = 14.9143 (max 14.95), (true 153, predicted [204])
check failed
true = 153, adv = 728
evaluating 152 of [150, 160)
attack: step 1/30, xent loss = 1.74593, l2 loss = 0 (max 14.95), (true 440, predicted [737])
attack: step 2/30, xent loss = 7.72289, l2 loss = 3.31551 (max 14.95), (true 440, predicted [737])
attack: step 3/30, xent loss = 10.4774, l2 loss = 4.49255 (max 14.95), (true 440, predicted [737])
attack: step 4/30, xent loss = 14.0327, l2 loss = 4.99493 (max 14.95), (true 440, predicted [898])
attack: step 5/30, xent loss = 18.5475, l2 loss = 5.60261 (max 14.95), (true 440, predicted [898])
attack: step 6/30, xent loss = 15.0915, l2 loss = 6.66761 (max 14.95), (true 440, predicted [898])
attack: step 7/30, xent loss = 24.0546, l2 loss = 7.63358 (max 14.95), (true 440, predicted [898])
attack: step 8/30, xent loss = 25.2028, l2 loss = 8.28292 (max 14.95), (true 440, predicted [898])
attack: step 9/30, xent loss = 31.0851, l2 loss = 8.97192 (max 14.95), (true 440, predicted [898])
attack: step 10/30, xent loss = 29.6332, l2 loss = 9.71326 (max 14.95), (true 440, predicted [898])
