2019-05-29 19:07:32.887543: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 19:07:32.895692: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600160000 Hz
2019-05-29 19:07:32.895804: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae724c970 executing computations on platform Host. Devices:
2019-05-29 19:07:32.895818: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 19:07:32.895999: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 510 of [510, 520)
attack: step 1/30, xent loss = 0.0196744, l2 loss = 0 (max 14.95), (true 610, predicted [610])
attack: step 2/30, xent loss = 0.0507941, l2 loss = 0.0449778 (max 14.95), (true 610, predicted [610])
attack: step 3/30, xent loss = 0.253792, l2 loss = 0.147559 (max 14.95), (true 610, predicted [610])
attack: step 4/30, xent loss = 2.57757, l2 loss = 0.571659 (max 14.95), (true 610, predicted [465])
attack: step 5/30, xent loss = 5.82128, l2 loss = 2.79739 (max 14.95), (true 610, predicted [465])
attack: step 6/30, xent loss = 9.93821, l2 loss = 7.01436 (max 14.95), (true 610, predicted [465])
attack: step 7/30, xent loss = 16.7352, l2 loss = 7.50482 (max 14.95), (true 610, predicted [465])
attack: step 8/30, xent loss = 22.4867, l2 loss = 8.12416 (max 14.95), (true 610, predicted [465])
attack: step 9/30, xent loss = 22.1657, l2 loss = 8.98813 (max 14.95), (true 610, predicted [465])
attack: step 10/30, xent loss = 20.6484, l2 loss = 10.2335 (max 14.95), (true 610, predicted [465])
attack: step 11/30, xent loss = 26.1102, l2 loss = 11.1419 (max 14.95), (true 610, predicted [465])
attack: step 12/30, xent loss = 21.2205, l2 loss = 12.2959 (max 14.95), (true 610, predicted [465])
attack: step 13/30, xent loss = 32.7974, l2 loss = 12.9385 (max 14.95), (true 610, predicted [465])
attack: step 14/30, xent loss = 32.5292, l2 loss = 13.5611 (max 14.95), (true 610, predicted [465])
attack: step 15/30, xent loss = 38.9272, l2 loss = 14.1776 (max 14.95), (true 610, predicted [465])
attack: step 16/30, xent loss = 33.6326, l2 loss = 15.0745 (max 14.95), (true 610, predicted [465])
attack: step 17/30, xent loss = 46.5527, l2 loss = 15.69 (max 14.95), (true 610, predicted [465])
attack: step 18/30, xent loss = 36.7142, l2 loss = 16.4117 (max 14.95), (true 610, predicted [465])
attack: step 19/30, xent loss = 45.2188, l2 loss = 17.1426 (max 14.95), (true 610, predicted [465])
attack: step 20/30, xent loss = 48.0539, l2 loss = 17.8215 (max 14.95), (true 610, predicted [465])
attack: step 21/30, xent loss = 58.275, l2 loss = 18.2207 (max 14.95), (true 610, predicted [465])
attack: step 22/30, xent loss = 46.227, l2 loss = 18.949 (max 14.95), (true 610, predicted [465])
attack: step 23/30, xent loss = 64.5883, l2 loss = 19.2952 (max 14.95), (true 610, predicted [465])
attack: step 24/30, xent loss = 69.5361, l2 loss = 19.6583 (max 14.95), (true 610, predicted [465])
attack: step 25/30, xent loss = 72.1774, l2 loss = 20.0599 (max 14.95), (true 610, predicted [465])
attack: step 26/30, xent loss = 51.515, l2 loss = 20.9047 (max 14.95), (true 610, predicted [465])
attack: step 27/30, xent loss = 66.5647, l2 loss = 21.3553 (max 14.95), (true 610, predicted [465])
attack: step 28/30, xent loss = 66.0073, l2 loss = 21.6991 (max 14.95), (true 610, predicted [465])
attack: step 29/30, xent loss = 60.4909, l2 loss = 22.2275 (max 14.95), (true 610, predicted [465])
attack: step 30/30, xent loss = 69.4363, l2 loss = 22.645 (max 14.95), (true 610, predicted [465])
check failed
true = 610, adv = 465
evaluating 511 of [510, 520)
attack: step 1/30, xent loss = 0.205797, l2 loss = 0 (max 14.95), (true 293, predicted [293])
attack: step 2/30, xent loss = 0.9217, l2 loss = 0.201514 (max 14.95), (true 293, predicted [293])
attack: step 3/30, xent loss = 4.78126, l2 loss = 0.826338 (max 14.95), (true 293, predicted [290])
attack: step 4/30, xent loss = 7.52638, l2 loss = 1.59088 (max 14.95), (true 293, predicted [290])
attack: step 5/30, xent loss = 8.61061, l2 loss = 1.73428 (max 14.95), (true 293, predicted [290])
attack: step 6/30, xent loss = 9.30592, l2 loss = 1.91245 (max 14.95), (true 293, predicted [290])
attack: step 7/30, xent loss = 9.68591, l2 loss = 2.03378 (max 14.95), (true 293, predicted [290])
attack: step 8/30, xent loss = 9.96525, l2 loss = 2.24597 (max 14.95), (true 293, predicted [290])
attack: step 9/30, xent loss = 10.4207, l2 loss = 2.36345 (max 14.95), (true 293, predicted [290])
attack: step 10/30, xent loss = 10.8969, l2 loss = 2.54189 (max 14.95), (true 293, predicted [290])
attack: step 11/30, xent loss = 11.3256, l2 loss = 2.62876 (max 14.95), (true 293, predicted [290])
attack: step 12/30, xent loss = 11.6823, l2 loss = 2.82897 (max 14.95), (true 293, predicted [290])
attack: step 13/30, xent loss = 12.2332, l2 loss = 2.92575 (max 14.95), (true 293, predicted [290])
attack: step 14/30, xent loss = 12.1915, l2 loss = 3.07479 (max 14.95), (true 293, predicted [290])
attack: step 15/30, xent loss = 12.3224, l2 loss = 3.18482 (max 14.95), (true 293, predicted [290])
attack: step 16/30, xent loss = 12.803, l2 loss = 3.32803 (max 14.95), (true 293, predicted [290])
attack: step 17/30, xent loss = 12.7364, l2 loss = 3.42931 (max 14.95), (true 293, predicted [290])
attack: step 18/30, xent loss = 12.8468, l2 loss = 3.60642 (max 14.95), (true 293, predicted [290])
attack: step 19/30, xent loss = 13.3637, l2 loss = 3.68223 (max 14.95), (true 293, predicted [290])
attack: step 20/30, xent loss = 13.573, l2 loss = 3.81637 (max 14.95), (true 293, predicted [290])
attack: step 21/30, xent loss = 13.36, l2 loss = 3.91368 (max 14.95), (true 293, predicted [290])
attack: step 22/30, xent loss = 14.2602, l2 loss = 4.04091 (max 14.95), (true 293, predicted [290])
attack: step 23/30, xent loss = 14.6923, l2 loss = 4.12608 (max 14.95), (true 293, predicted [290])
attack: step 24/30, xent loss = 14.3201, l2 loss = 4.2681 (max 14.95), (true 293, predicted [290])
attack: step 25/30, xent loss = 14.4685, l2 loss = 4.408 (max 14.95), (true 293, predicted [290])
attack: step 26/30, xent loss = 14.4905, l2 loss = 4.54686 (max 14.95), (true 293, predicted [290])
attack: step 27/30, xent loss = 14.9645, l2 loss = 4.65739 (max 14.95), (true 293, predicted [290])
attack: step 28/30, xent loss = 15.5797, l2 loss = 4.74646 (max 14.95), (true 293, predicted [290])
attack: step 29/30, xent loss = 15.7967, l2 loss = 4.8569 (max 14.95), (true 293, predicted [290])
attack: step 30/30, xent loss = 15.2214, l2 loss = 4.94331 (max 14.95), (true 293, predicted [290])
true = 293, adv = 697
evaluating 512 of [510, 520)
attack: step 1/30, xent loss = 0.00129651, l2 loss = 0 (max 14.95), (true 401, predicted [401])
attack: step 2/30, xent loss = 0.0014008, l2 loss = 0.00318219 (max 14.95), (true 401, predicted [401])
attack: step 3/30, xent loss = 0.00152519, l2 loss = 0.00662717 (max 14.95), (true 401, predicted [401])
attack: step 4/30, xent loss = 0.00167194, l2 loss = 0.0103668 (max 14.95), (true 401, predicted [401])
attack: step 5/30, xent loss = 0.00184878, l2 loss = 0.0144657 (max 14.95), (true 401, predicted [401])
attack: step 6/30, xent loss = 0.00205722, l2 loss = 0.0188692 (max 14.95), (true 401, predicted [401])
attack: step 7/30, xent loss = 0.00231142, l2 loss = 0.023698 (max 14.95), (true 401, predicted [401])
attack: step 8/30, xent loss = 0.0026351, l2 loss = 0.0290778 (max 14.95), (true 401, predicted [401])
attack: step 9/30, xent loss = 0.00305353, l2 loss = 0.0352468 (max 14.95), (true 401, predicted [401])
attack: step 10/30, xent loss = 0.00361539, l2 loss = 0.0421656 (max 14.95), (true 401, predicted [401])
attack: step 11/30, xent loss = 0.00444021, l2 loss = 0.0506105 (max 14.95), (true 401, predicted [401])
attack: step 12/30, xent loss = 0.0057004, l2 loss = 0.0608156 (max 14.95), (true 401, predicted [401])
attack: step 13/30, xent loss = 0.00760351, l2 loss = 0.0729489 (max 14.95), (true 401, predicted [401])
attack: step 14/30, xent loss = 0.0110758, l2 loss = 0.0891251 (max 14.95), (true 401, predicted [401])
attack: step 15/30, xent loss = 0.0186946, l2 loss = 0.112193 (max 14.95), (true 401, predicted [401])
attack: step 16/30, xent loss = 0.0423392, l2 loss = 0.149117 (max 14.95), (true 401, predicted [401])
attack: step 17/30, xent loss = 0.147932, l2 loss = 0.224342 (max 14.95), (true 401, predicted [401])
attack: step 18/30, xent loss = 0.784884, l2 loss = 0.402006 (max 14.95), (true 401, predicted [401])
attack: step 19/30, xent loss = 3.59922, l2 loss = 1.01504 (max 14.95), (true 401, predicted [541])
attack: step 20/30, xent loss = 9.1835, l2 loss = 2.35273 (max 14.95), (true 401, predicted [457])
attack: step 21/30, xent loss = 13.6199, l2 loss = 3.71494 (max 14.95), (true 401, predicted [457])
attack: step 22/30, xent loss = 10.5334, l2 loss = 5.39978 (max 14.95), (true 401, predicted [457])
attack: step 23/30, xent loss = 10.3558, l2 loss = 9.09564 (max 14.95), (true 401, predicted [457])
attack: step 24/30, xent loss = 17.9909, l2 loss = 10.8438 (max 14.95), (true 401, predicted [457])
attack: step 25/30, xent loss = 26.7665, l2 loss = 11.3075 (max 14.95), (true 401, predicted [457])
attack: step 26/30, xent loss = 17.9295, l2 loss = 12.2934 (max 14.95), (true 401, predicted [457])
attack: step 27/30, xent loss = 31.1506, l2 loss = 12.6327 (max 14.95), (true 401, predicted [457])
attack: step 28/30, xent loss = 28.6685, l2 loss = 13.6623 (max 14.95), (true 401, predicted [457])
attack: step 29/30, xent loss = 32.6665, l2 loss = 14.1029 (max 14.95), (true 401, predicted [457])
attack: step 30/30, xent loss = 33.8954, l2 loss = 15.7476 (max 14.95), (true 401, predicted [457])
check failed
true = 401, adv = 728
evaluating 513 of [510, 520)
attack: step 1/30, xent loss = 2.72338, l2 loss = 0 (max 14.95), (true 280, predicted [277])
attack: step 2/30, xent loss = 5.29166, l2 loss = 2.13301 (max 14.95), (true 280, predicted [277])
