2019-05-29 19:07:40.584358: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 19:07:40.588611: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600020000 Hz
2019-05-29 19:07:40.588909: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6fbd1c0 executing computations on platform Host. Devices:
2019-05-29 19:07:40.588923: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 19:07:40.589068: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 590 of [590, 600)
attack: step 1/30, xent loss = 0.473134, l2 loss = 0 (max 14.95), (true 86, predicted [86])
attack: step 2/30, xent loss = 0.948938, l2 loss = 0.236442 (max 14.95), (true 86, predicted [82])
attack: step 3/30, xent loss = 1.84538, l2 loss = 0.505222 (max 14.95), (true 86, predicted [82])
attack: step 4/30, xent loss = 3.39136, l2 loss = 0.932608 (max 14.95), (true 86, predicted [82])
attack: step 5/30, xent loss = 4.85761, l2 loss = 1.32674 (max 14.95), (true 86, predicted [85])
attack: step 6/30, xent loss = 6.38593, l2 loss = 1.72837 (max 14.95), (true 86, predicted [63])
attack: step 7/30, xent loss = 7.06606, l2 loss = 2.00167 (max 14.95), (true 86, predicted [63])
attack: step 8/30, xent loss = 7.90277, l2 loss = 2.19369 (max 14.95), (true 86, predicted [63])
attack: step 9/30, xent loss = 8.93662, l2 loss = 2.40213 (max 14.95), (true 86, predicted [63])
attack: step 10/30, xent loss = 10.5541, l2 loss = 2.57361 (max 14.95), (true 86, predicted [855])
attack: step 11/30, xent loss = 11.8986, l2 loss = 3.0525 (max 14.95), (true 86, predicted [855])
attack: step 12/30, xent loss = 11.2181, l2 loss = 4.18748 (max 14.95), (true 86, predicted [855])
attack: step 13/30, xent loss = 15.4251, l2 loss = 6.01091 (max 14.95), (true 86, predicted [855])
attack: step 14/30, xent loss = 25.0534, l2 loss = 7.21788 (max 14.95), (true 86, predicted [855])
