2019-05-29 20:46:13.235850: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 20:46:13.245314: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600015000 Hz
2019-05-29 20:46:13.245540: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6bc12e0 executing computations on platform Host. Devices:
2019-05-29 20:46:13.245572: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 20:46:13.245907: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 940 of [940, 950)
attack: step 1/30, xent loss = 0.109106, l2 loss = 0 (max 14.95), (true 370, predicted [370])
attack: step 2/30, xent loss = 2.06675, l2 loss = 0.231862 (max 14.95), (true 370, predicted [380])
attack: step 3/30, xent loss = 8.56863, l2 loss = 2.31493 (max 14.95), (true 370, predicted [380])
attack: step 4/30, xent loss = 11.1222, l2 loss = 2.63965 (max 14.95), (true 370, predicted [380])
attack: step 5/30, xent loss = 12.5378, l2 loss = 2.89962 (max 14.95), (true 370, predicted [380])
attack: step 6/30, xent loss = 14.4932, l2 loss = 3.1605 (max 14.95), (true 370, predicted [380])
attack: step 7/30, xent loss = 15.1336, l2 loss = 3.41284 (max 14.95), (true 370, predicted [380])
attack: step 8/30, xent loss = 12.0327, l2 loss = 3.90809 (max 14.95), (true 370, predicted [380])
attack: step 9/30, xent loss = 16.4078, l2 loss = 4.21352 (max 14.95), (true 370, predicted [380])
attack: step 10/30, xent loss = 18.2694, l2 loss = 4.55681 (max 14.95), (true 370, predicted [380])
attack: step 11/30, xent loss = 15.921, l2 loss = 4.97801 (max 14.95), (true 370, predicted [380])
attack: step 12/30, xent loss = 18.1326, l2 loss = 5.41007 (max 14.95), (true 370, predicted [380])
attack: step 13/30, xent loss = 12.8593, l2 loss = 6.1057 (max 14.95), (true 370, predicted [380])
attack: step 14/30, xent loss = 11.5852, l2 loss = 7.0496 (max 14.95), (true 370, predicted [380])
attack: step 15/30, xent loss = 17.8921, l2 loss = 7.31891 (max 14.95), (true 370, predicted [380])
attack: step 16/30, xent loss = 18.4794, l2 loss = 7.62275 (max 14.95), (true 370, predicted [380])
attack: step 17/30, xent loss = 17.8666, l2 loss = 8.10274 (max 14.95), (true 370, predicted [380])
attack: step 18/30, xent loss = 14.9044, l2 loss = 8.54863 (max 14.95), (true 370, predicted [380])
attack: step 19/30, xent loss = 19.3157, l2 loss = 8.71774 (max 14.95), (true 370, predicted [380])
attack: step 20/30, xent loss = 14.0494, l2 loss = 9.26694 (max 14.95), (true 370, predicted [380])
attack: step 21/30, xent loss = 21.1449, l2 loss = 9.49295 (max 14.95), (true 370, predicted [380])
attack: step 22/30, xent loss = 25.0544, l2 loss = 9.74222 (max 14.95), (true 370, predicted [380])
attack: step 23/30, xent loss = 22.3311, l2 loss = 10.0513 (max 14.95), (true 370, predicted [380])
