2019-05-29 22:17:35.862581: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 22:17:35.871907: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600190000 Hz
2019-05-29 22:17:35.872136: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6d4a6d0 executing computations on platform Host. Devices:
2019-05-29 22:17:35.872168: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 22:17:35.872509: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 70 of [70, 80)
attack: step 1/30, xent loss = 1.3742, l2 loss = 0 (max 14.95), (true 63, predicted [60])
attack: step 2/30, xent loss = 6.82013, l2 loss = 1.15666 (max 14.95), (true 63, predicted [60])
attack: step 3/30, xent loss = 11.2371, l2 loss = 1.6232 (max 14.95), (true 63, predicted [60])
attack: step 4/30, xent loss = 14.9128, l2 loss = 2.05391 (max 14.95), (true 63, predicted [60])
attack: step 5/30, xent loss = 16.6647, l2 loss = 2.49588 (max 14.95), (true 63, predicted [60])
attack: step 6/30, xent loss = 18.7264, l2 loss = 2.91846 (max 14.95), (true 63, predicted [60])
attack: step 7/30, xent loss = 21.4866, l2 loss = 3.35269 (max 14.95), (true 63, predicted [60])
attack: step 8/30, xent loss = 22.4891, l2 loss = 3.71182 (max 14.95), (true 63, predicted [60])
attack: step 9/30, xent loss = 22.6582, l2 loss = 4.23933 (max 14.95), (true 63, predicted [60])
attack: step 10/30, xent loss = 21.1212, l2 loss = 4.93855 (max 14.95), (true 63, predicted [60])
attack: step 11/30, xent loss = 25.4871, l2 loss = 5.21729 (max 14.95), (true 63, predicted [60])
attack: step 12/30, xent loss = 23.7839, l2 loss = 5.5486 (max 14.95), (true 63, predicted [60])
attack: step 13/30, xent loss = 24.5115, l2 loss = 6.123 (max 14.95), (true 63, predicted [60])
attack: step 14/30, xent loss = 28.0579, l2 loss = 6.52492 (max 14.95), (true 63, predicted [60])
attack: step 15/30, xent loss = 31.7092, l2 loss = 6.80771 (max 14.95), (true 63, predicted [60])
attack: step 16/30, xent loss = 27.6974, l2 loss = 7.21615 (max 14.95), (true 63, predicted [60])
attack: step 17/30, xent loss = 31.872, l2 loss = 7.58542 (max 14.95), (true 63, predicted [60])
attack: step 18/30, xent loss = 29.9039, l2 loss = 7.89919 (max 14.95), (true 63, predicted [60])
attack: step 19/30, xent loss = 34.358, l2 loss = 8.14444 (max 14.95), (true 63, predicted [60])
attack: step 20/30, xent loss = 35.8934, l2 loss = 8.41987 (max 14.95), (true 63, predicted [60])
attack: step 21/30, xent loss = 35.5702, l2 loss = 8.79682 (max 14.95), (true 63, predicted [60])
attack: step 22/30, xent loss = 38.8785, l2 loss = 9.01817 (max 14.95), (true 63, predicted [60])
attack: step 23/30, xent loss = 39.96, l2 loss = 9.30158 (max 14.95), (true 63, predicted [60])
attack: step 24/30, xent loss = 36.3046, l2 loss = 9.61285 (max 14.95), (true 63, predicted [60])
attack: step 25/30, xent loss = 39.0512, l2 loss = 10.0043 (max 14.95), (true 63, predicted [60])
attack: step 26/30, xent loss = 39.5264, l2 loss = 10.2021 (max 14.95), (true 63, predicted [60])
attack: step 27/30, xent loss = 43.3937, l2 loss = 10.4713 (max 14.95), (true 63, predicted [60])
attack: step 28/30, xent loss = 40.3097, l2 loss = 10.7266 (max 14.95), (true 63, predicted [60])
attack: step 29/30, xent loss = 39.4731, l2 loss = 11.0886 (max 14.95), (true 63, predicted [60])
attack: step 30/30, xent loss = 43.0205, l2 loss = 11.3959 (max 14.95), (true 63, predicted [60])
true = 63, adv = 61
evaluating 71 of [70, 80)
attack: step 1/30, xent loss = 0.000426797, l2 loss = 0 (max 14.95), (true 761, predicted [761])
attack: step 2/30, xent loss = 0.00043204, l2 loss = 0.000711506 (max 14.95), (true 761, predicted [761])
attack: step 3/30, xent loss = 0.000437045, l2 loss = 0.00142956 (max 14.95), (true 761, predicted [761])
attack: step 4/30, xent loss = 0.000442407, l2 loss = 0.00215807 (max 14.95), (true 761, predicted [761])
attack: step 5/30, xent loss = 0.000448365, l2 loss = 0.00289541 (max 14.95), (true 761, predicted [761])
attack: step 6/30, xent loss = 0.000453846, l2 loss = 0.00364507 (max 14.95), (true 761, predicted [761])
attack: step 7/30, xent loss = 0.000459565, l2 loss = 0.00440141 (max 14.95), (true 761, predicted [761])
attack: step 8/30, xent loss = 0.000465881, l2 loss = 0.00517067 (max 14.95), (true 761, predicted [761])
attack: step 9/30, xent loss = 0.000471838, l2 loss = 0.00595036 (max 14.95), (true 761, predicted [761])
attack: step 10/30, xent loss = 0.000477796, l2 loss = 0.00673015 (max 14.95), (true 761, predicted [761])
attack: step 11/30, xent loss = 0.000483753, l2 loss = 0.00751811 (max 14.95), (true 761, predicted [761])
attack: step 12/30, xent loss = 0.000490545, l2 loss = 0.008315 (max 14.95), (true 761, predicted [761])
attack: step 13/30, xent loss = 0.000497337, l2 loss = 0.00911935 (max 14.95), (true 761, predicted [761])
attack: step 14/30, xent loss = 0.00050389, l2 loss = 0.00993232 (max 14.95), (true 761, predicted [761])
attack: step 15/30, xent loss = 0.00051092, l2 loss = 0.0107534 (max 14.95), (true 761, predicted [761])
attack: step 16/30, xent loss = 0.000518307, l2 loss = 0.0115908 (max 14.95), (true 761, predicted [761])
attack: step 17/30, xent loss = 0.000524979, l2 loss = 0.012432 (max 14.95), (true 761, predicted [761])
attack: step 18/30, xent loss = 0.000532366, l2 loss = 0.0132853 (max 14.95), (true 761, predicted [761])
attack: step 19/30, xent loss = 0.000539991, l2 loss = 0.0141465 (max 14.95), (true 761, predicted [761])
attack: step 20/30, xent loss = 0.000547736, l2 loss = 0.0150199 (max 14.95), (true 761, predicted [761])
attack: step 21/30, xent loss = 0.000555718, l2 loss = 0.0159025 (max 14.95), (true 761, predicted [761])
attack: step 22/30, xent loss = 0.000563701, l2 loss = 0.0167954 (max 14.95), (true 761, predicted [761])
attack: step 23/30, xent loss = 0.000571922, l2 loss = 0.0176968 (max 14.95), (true 761, predicted [761])
attack: step 24/30, xent loss = 0.000580142, l2 loss = 0.0186099 (max 14.95), (true 761, predicted [761])
attack: step 25/30, xent loss = 0.00058884, l2 loss = 0.0195327 (max 14.95), (true 761, predicted [761])
attack: step 26/30, xent loss = 0.000598132, l2 loss = 0.0204732 (max 14.95), (true 761, predicted [761])
attack: step 27/30, xent loss = 0.000607306, l2 loss = 0.0214336 (max 14.95), (true 761, predicted [761])
attack: step 28/30, xent loss = 0.000617194, l2 loss = 0.0224068 (max 14.95), (true 761, predicted [761])
attack: step 29/30, xent loss = 0.000627559, l2 loss = 0.0233922 (max 14.95), (true 761, predicted [761])
attack: step 30/30, xent loss = 0.0006384, l2 loss = 0.0243913 (max 14.95), (true 761, predicted [761])
true = 761, adv = 761
evaluating 72 of [70, 80)
attack: step 1/30, xent loss = 0.109354, l2 loss = 0 (max 14.95), (true 37, predicted [37])
attack: step 2/30, xent loss = 0.21218, l2 loss = 0.09187 (max 14.95), (true 37, predicted [37])
attack: step 3/30, xent loss = 0.486276, l2 loss = 0.234005 (max 14.95), (true 37, predicted [37])
attack: step 4/30, xent loss = 1.55305, l2 loss = 0.494456 (max 14.95), (true 37, predicted [35])
attack: step 5/30, xent loss = 4.80735, l2 loss = 1.0724 (max 14.95), (true 37, predicted [35])
attack: step 6/30, xent loss = 8.51324, l2 loss = 1.85357 (max 14.95), (true 37, predicted [35])
attack: step 7/30, xent loss = 11.1297, l2 loss = 2.35567 (max 14.95), (true 37, predicted [35])
attack: step 8/30, xent loss = 11.0033, l2 loss = 2.87493 (max 14.95), (true 37, predicted [35])
attack: step 9/30, xent loss = 11.411, l2 loss = 3.51613 (max 14.95), (true 37, predicted [35])
attack: step 10/30, xent loss = 14.8998, l2 loss = 3.93948 (max 14.95), (true 37, predicted [35])
attack: step 11/30, xent loss = 15.432, l2 loss = 4.3932 (max 14.95), (true 37, predicted [35])
attack: step 12/30, xent loss = 15.8584, l2 loss = 4.99503 (max 14.95), (true 37, predicted [35])
attack: step 13/30, xent loss = 17.3062, l2 loss = 5.44956 (max 14.95), (true 37, predicted [35])
attack: step 14/30, xent loss = 18.1488, l2 loss = 5.8079 (max 14.95), (true 37, predicted [35])
attack: step 15/30, xent loss = 19.3999, l2 loss = 6.25827 (max 14.95), (true 37, predicted [35])
attack: step 16/30, xent loss = 21.4607, l2 loss = 6.61688 (max 14.95), (true 37, predicted [35])
attack: step 17/30, xent loss = 16.514, l2 loss = 7.03262 (max 14.95), (true 37, predicted [35])
attack: step 18/30, xent loss = 21.4019, l2 loss = 7.43465 (max 14.95), (true 37, predicted [35])
attack: step 19/30, xent loss = 21.6296, l2 loss = 7.67334 (max 14.95), (true 37, predicted [35])
attack: step 20/30, xent loss = 23.0212, l2 loss = 8.04458 (max 14.95), (true 37, predicted [35])
attack: step 21/30, xent loss = 25.0034, l2 loss = 8.27249 (max 14.95), (true 37, predicted [35])
attack: step 22/30, xent loss = 26.3674, l2 loss = 8.51975 (max 14.95), (true 37, predicted [35])
attack: step 23/30, xent loss = 23.0498, l2 loss = 8.86784 (max 14.95), (true 37, predicted [35])
attack: step 24/30, xent loss = 24.61, l2 loss = 9.21401 (max 14.95), (true 37, predicted [35])
attack: step 25/30, xent loss = 26.3868, l2 loss = 9.46715 (max 14.95), (true 37, predicted [35])
attack: step 26/30, xent loss = 29.8453, l2 loss = 9.65466 (max 14.95), (true 37, predicted [35])
attack: step 27/30, xent loss = 31.7598, l2 loss = 9.8343 (max 14.95), (true 37, predicted [35])
attack: step 28/30, xent loss = 27.9366, l2 loss = 10.0776 (max 14.95), (true 37, predicted [35])
attack: step 29/30, xent loss = 24.9142, l2 loss = 10.5974 (max 14.95), (true 37, predicted [35])
attack: step 30/30, xent loss = 27.4123, l2 loss = 10.8075 (max 14.95), (true 37, predicted [35])
true = 37, adv = 728
evaluating 73 of [70, 80)
attack: step 1/30, xent loss = 1.82081, l2 loss = 0 (max 14.95), (true 799, predicted [894])
attack: step 2/30, xent loss = 6.37925, l2 loss = 2.40389 (max 14.95), (true 799, predicted [894])
attack: step 3/30, xent loss = 9.74709, l2 loss = 4.93009 (max 14.95), (true 799, predicted [894])
attack: step 4/30, xent loss = 9.92822, l2 loss = 6.54188 (max 14.95), (true 799, predicted [894])
attack: step 5/30, xent loss = 13.1672, l2 loss = 7.27642 (max 14.95), (true 799, predicted [894])
attack: step 6/30, xent loss = 8.44686, l2 loss = 8.49975 (max 14.95), (true 799, predicted [894])
attack: step 7/30, xent loss = 17.8076, l2 loss = 9.03454 (max 14.95), (true 799, predicted [894])
attack: step 8/30, xent loss = 19.2676, l2 loss = 9.48118 (max 14.95), (true 799, predicted [894])
attack: step 9/30, xent loss = 17.1939, l2 loss = 10.3483 (max 14.95), (true 799, predicted [894])
attack: step 10/30, xent loss = 13.7671, l2 loss = 11.092 (max 14.95), (true 799, predicted [894])
attack: step 11/30, xent loss = 15.3562, l2 loss = 11.8471 (max 14.95), (true 799, predicted [894])
attack: step 12/30, xent loss = 24.296, l2 loss = 12.0231 (max 14.95), (true 799, predicted [894])
attack: step 13/30, xent loss = 25.5011, l2 loss = 12.3578 (max 14.95), (true 799, predicted [894])
attack: step 14/30, xent loss = 27.6156, l2 loss = 12.7369 (max 14.95), (true 799, predicted [894])
attack: step 15/30, xent loss = 24.3421, l2 loss = 13.1991 (max 14.95), (true 799, predicted [894])
attack: step 16/30, xent loss = 20.8411, l2 loss = 13.8279 (max 14.95), (true 799, predicted [894])
attack: step 17/30, xent loss = 23.1829, l2 loss = 14.0208 (max 14.95), (true 799, predicted [894])
attack: step 18/30, xent loss = 25.2012, l2 loss = 14.4237 (max 14.95), (true 799, predicted [894])
