2019-05-30 00:27:30.986915: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 00:27:30.995769: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600190000 Hz
2019-05-30 00:27:30.995909: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6fc20d0 executing computations on platform Host. Devices:
2019-05-30 00:27:30.995928: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 00:27:30.996140: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 50 of [50, 60)
attack: step 1/30, xent loss = 0.0339697, l2 loss = 0 (max 14.95), (true 211, predicted [211])
attack: step 2/30, xent loss = 0.135879, l2 loss = 0.0739511 (max 14.95), (true 211, predicted [211])
attack: step 3/30, xent loss = 1.73637, l2 loss = 0.322682 (max 14.95), (true 211, predicted [159])
attack: step 4/30, xent loss = 6.51015, l2 loss = 1.79735 (max 14.95), (true 211, predicted [209])
attack: step 5/30, xent loss = 12.6642, l2 loss = 2.78074 (max 14.95), (true 211, predicted [209])
attack: step 6/30, xent loss = 15.6971, l2 loss = 3.99512 (max 14.95), (true 211, predicted [209])
attack: step 7/30, xent loss = 17.656, l2 loss = 5.15229 (max 14.95), (true 211, predicted [209])
attack: step 8/30, xent loss = 22.1117, l2 loss = 6.01936 (max 14.95), (true 211, predicted [209])
attack: step 9/30, xent loss = 15.6296, l2 loss = 7.686 (max 14.95), (true 211, predicted [209])
attack: step 10/30, xent loss = 24.8765, l2 loss = 8.06001 (max 14.95), (true 211, predicted [209])
attack: step 11/30, xent loss = 24.9101, l2 loss = 8.61915 (max 14.95), (true 211, predicted [209])
attack: step 12/30, xent loss = 21.543, l2 loss = 9.34866 (max 14.95), (true 211, predicted [209])
attack: step 13/30, xent loss = 23.6559, l2 loss = 10.1065 (max 14.95), (true 211, predicted [209])
attack: step 14/30, xent loss = 29.7263, l2 loss = 10.6154 (max 14.95), (true 211, predicted [209])
attack: step 15/30, xent loss = 28.7671, l2 loss = 11.2635 (max 14.95), (true 211, predicted [209])
attack: step 16/30, xent loss = 30.6318, l2 loss = 11.8988 (max 14.95), (true 211, predicted [209])
attack: step 17/30, xent loss = 35.6279, l2 loss = 12.3564 (max 14.95), (true 211, predicted [209])
attack: step 18/30, xent loss = 33.9037, l2 loss = 12.8908 (max 14.95), (true 211, predicted [209])
attack: step 19/30, xent loss = 39.0262, l2 loss = 13.3494 (max 14.95), (true 211, predicted [209])
attack: step 20/30, xent loss = 38.4398, l2 loss = 13.8419 (max 14.95), (true 211, predicted [209])
attack: step 21/30, xent loss = 26.9828, l2 loss = 14.7018 (max 14.95), (true 211, predicted [209])
attack: step 22/30, xent loss = 40.0375, l2 loss = 15.0116 (max 14.95), (true 211, predicted [209])
attack: step 23/30, xent loss = 48.0386, l2 loss = 15.3065 (max 14.95), (true 211, predicted [209])
attack: step 24/30, xent loss = 48.8814, l2 loss = 15.7203 (max 14.95), (true 211, predicted [209])
attack: step 25/30, xent loss = 44.6199, l2 loss = 16.0621 (max 14.95), (true 211, predicted [209])
attack: step 26/30, xent loss = 38.1197, l2 loss = 16.9541 (max 14.95), (true 211, predicted [209])
attack: step 27/30, xent loss = 46.2301, l2 loss = 17.3937 (max 14.95), (true 211, predicted [209])
attack: step 28/30, xent loss = 50.7281, l2 loss = 17.7631 (max 14.95), (true 211, predicted [209])
attack: step 29/30, xent loss = 56.238, l2 loss = 18.0404 (max 14.95), (true 211, predicted [209])
attack: step 30/30, xent loss = 59.4233, l2 loss = 18.3848 (max 14.95), (true 211, predicted [209])
check failed
true = 211, adv = 728
evaluating 51 of [50, 60)
attack: step 1/30, xent loss = 2.63107, l2 loss = 0 (max 14.95), (true 310, predicted [488])
attack: step 2/30, xent loss = 8.49325, l2 loss = 1.91639 (max 14.95), (true 310, predicted [488])
attack: step 3/30, xent loss = 10.0842, l2 loss = 3.04926 (max 14.95), (true 310, predicted [451])
attack: step 4/30, xent loss = 11.8256, l2 loss = 3.99037 (max 14.95), (true 310, predicted [451])
attack: step 5/30, xent loss = 13.2661, l2 loss = 4.71325 (max 14.95), (true 310, predicted [451])
attack: step 6/30, xent loss = 15.8198, l2 loss = 5.89533 (max 14.95), (true 310, predicted [451])
attack: step 7/30, xent loss = 16.5708, l2 loss = 7.28322 (max 14.95), (true 310, predicted [451])
attack: step 8/30, xent loss = 25.2585, l2 loss = 7.88771 (max 14.95), (true 310, predicted [451])
attack: step 9/30, xent loss = 26.816, l2 loss = 8.43782 (max 14.95), (true 310, predicted [451])
attack: step 10/30, xent loss = 23.5943, l2 loss = 9.6513 (max 14.95), (true 310, predicted [451])
attack: step 11/30, xent loss = 29.8764, l2 loss = 10.3473 (max 14.95), (true 310, predicted [451])
attack: step 12/30, xent loss = 37.8962, l2 loss = 10.7843 (max 14.95), (true 310, predicted [451])
attack: step 13/30, xent loss = 36.0011, l2 loss = 11.3025 (max 14.95), (true 310, predicted [451])
attack: step 14/30, xent loss = 43.1357, l2 loss = 11.8175 (max 14.95), (true 310, predicted [451])
