2019-05-30 00:27:30.983627: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 00:27:30.987771: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600020000 Hz
2019-05-30 00:27:30.987857: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6d4ae40 executing computations on platform Host. Devices:
2019-05-30 00:27:30.987869: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 00:27:30.988016: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 380 of [380, 390)
attack: step 1/30, xent loss = 0.796788, l2 loss = 0 (max 14.95), (true 229, predicted [229])
attack: step 2/30, xent loss = 5.46945, l2 loss = 1.06324 (max 14.95), (true 229, predicted [200])
attack: step 3/30, xent loss = 8.33785, l2 loss = 1.60107 (max 14.95), (true 229, predicted [200])
attack: step 4/30, xent loss = 10.6621, l2 loss = 1.8491 (max 14.95), (true 229, predicted [200])
attack: step 5/30, xent loss = 13.618, l2 loss = 2.36652 (max 14.95), (true 229, predicted [200])
attack: step 6/30, xent loss = 8.71678, l2 loss = 3.85064 (max 14.95), (true 229, predicted [200])
attack: step 7/30, xent loss = 14.3674, l2 loss = 4.20013 (max 14.95), (true 229, predicted [200])
attack: step 8/30, xent loss = 9.3354, l2 loss = 5.66457 (max 14.95), (true 229, predicted [200])
attack: step 9/30, xent loss = 15.5566, l2 loss = 5.84948 (max 14.95), (true 229, predicted [200])
attack: step 10/30, xent loss = 12.7495, l2 loss = 6.29514 (max 14.95), (true 229, predicted [200])
attack: step 11/30, xent loss = 11.9408, l2 loss = 7.15485 (max 14.95), (true 229, predicted [200])
attack: step 12/30, xent loss = 15.5562, l2 loss = 7.89968 (max 14.95), (true 229, predicted [200])
attack: step 13/30, xent loss = 15.1503, l2 loss = 8.32482 (max 14.95), (true 229, predicted [200])
attack: step 14/30, xent loss = 14.3542, l2 loss = 9.17276 (max 14.95), (true 229, predicted [200])
attack: step 15/30, xent loss = 22.2988, l2 loss = 9.50977 (max 14.95), (true 229, predicted [200])
attack: step 16/30, xent loss = 25.3221, l2 loss = 9.80282 (max 14.95), (true 229, predicted [200])
attack: step 17/30, xent loss = 23.4551, l2 loss = 10.1824 (max 14.95), (true 229, predicted [200])
attack: step 18/30, xent loss = 16.7542, l2 loss = 10.9305 (max 14.95), (true 229, predicted [200])
attack: step 19/30, xent loss = 25.6925, l2 loss = 11.1269 (max 14.95), (true 229, predicted [200])
attack: step 20/30, xent loss = 26.527, l2 loss = 11.3846 (max 14.95), (true 229, predicted [200])
attack: step 21/30, xent loss = 20.1492, l2 loss = 11.9899 (max 14.95), (true 229, predicted [200])
attack: step 22/30, xent loss = 21.5173, l2 loss = 12.2883 (max 14.95), (true 229, predicted [200])
attack: step 23/30, xent loss = 19.2249, l2 loss = 12.9006 (max 14.95), (true 229, predicted [200])
attack: step 24/30, xent loss = 27.7579, l2 loss = 13.0756 (max 14.95), (true 229, predicted [200])
attack: step 25/30, xent loss = 31.3316, l2 loss = 13.3229 (max 14.95), (true 229, predicted [200])
attack: step 26/30, xent loss = 31.9427, l2 loss = 13.5635 (max 14.95), (true 229, predicted [200])
attack: step 27/30, xent loss = 33.6457, l2 loss = 13.8877 (max 14.95), (true 229, predicted [200])
attack: step 28/30, xent loss = 30.2055, l2 loss = 14.2419 (max 14.95), (true 229, predicted [200])
attack: step 29/30, xent loss = 15.4236, l2 loss = 14.6533 (max 14.95), (true 229, predicted [200])
attack: step 30/30, xent loss = 28.197, l2 loss = 15.2562 (max 14.95), (true 229, predicted [200])
check failed
true = 229, adv = 229
evaluating 381 of [380, 390)
attack: step 1/30, xent loss = 0.00587973, l2 loss = 0 (max 14.95), (true 808, predicted [808])
attack: step 2/30, xent loss = 0.015869, l2 loss = 0.0241442 (max 14.95), (true 808, predicted [808])
attack: step 3/30, xent loss = 0.221469, l2 loss = 0.091096 (max 14.95), (true 808, predicted [808])
attack: step 4/30, xent loss = 11.0068, l2 loss = 0.904097 (max 14.95), (true 808, predicted [515])
attack: step 5/30, xent loss = 14.0351, l2 loss = 2.94793 (max 14.95), (true 808, predicted [515])
attack: step 6/30, xent loss = 10.8112, l2 loss = 5.76618 (max 14.95), (true 808, predicted [515])
attack: step 7/30, xent loss = 22.0776, l2 loss = 6.34806 (max 14.95), (true 808, predicted [515])
attack: step 8/30, xent loss = 21.8577, l2 loss = 6.93363 (max 14.95), (true 808, predicted [515])
attack: step 9/30, xent loss = 26.2622, l2 loss = 7.9236 (max 14.95), (true 808, predicted [515])
