2019-05-30 00:27:48.293723: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 00:27:48.301926: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599880000 Hz
2019-05-30 00:27:48.302066: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae724b7a0 executing computations on platform Host. Devices:
2019-05-30 00:27:48.302086: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 00:27:48.302301: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 900 of [900, 910)
attack: step 1/30, xent loss = 3.3767, l2 loss = 0 (max 14.95), (true 257, predicted [208])
attack: step 2/30, xent loss = 7.94868, l2 loss = 3.4193 (max 14.95), (true 257, predicted [208])
attack: step 3/30, xent loss = 13.3264, l2 loss = 3.71105 (max 14.95), (true 257, predicted [208])
attack: step 4/30, xent loss = 13.7983, l2 loss = 4.20124 (max 14.95), (true 257, predicted [208])
attack: step 5/30, xent loss = 9.77381, l2 loss = 5.68012 (max 14.95), (true 257, predicted [208])
attack: step 6/30, xent loss = 13.9683, l2 loss = 6.07591 (max 14.95), (true 257, predicted [208])
attack: step 7/30, xent loss = 16.7504, l2 loss = 6.48352 (max 14.95), (true 257, predicted [208])
attack: step 8/30, xent loss = 18.5092, l2 loss = 6.83832 (max 14.95), (true 257, predicted [208])
attack: step 9/30, xent loss = 18.5909, l2 loss = 7.37193 (max 14.95), (true 257, predicted [208])
attack: step 10/30, xent loss = 22.7329, l2 loss = 7.72948 (max 14.95), (true 257, predicted [208])
attack: step 11/30, xent loss = 22.6744, l2 loss = 7.98831 (max 14.95), (true 257, predicted [208])
attack: step 12/30, xent loss = 22.2136, l2 loss = 8.51853 (max 14.95), (true 257, predicted [208])
attack: step 13/30, xent loss = 24.5977, l2 loss = 8.89855 (max 14.95), (true 257, predicted [208])
attack: step 14/30, xent loss = 25.7202, l2 loss = 9.2126 (max 14.95), (true 257, predicted [208])
attack: step 15/30, xent loss = 25.0976, l2 loss = 9.57805 (max 14.95), (true 257, predicted [208])
attack: step 16/30, xent loss = 25.3866, l2 loss = 9.98701 (max 14.95), (true 257, predicted [208])
