2019-05-30 02:56:54.652611: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 02:56:54.660747: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599945000 Hz
2019-05-30 02:56:54.660835: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6bbfda0 executing computations on platform Host. Devices:
2019-05-30 02:56:54.660848: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 02:56:54.660991: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 170 of [170, 180)
attack: step 1/30, xent loss = 0.050534, l2 loss = 0 (max 14.95), (true 958, predicted [958])
attack: step 2/30, xent loss = 0.073867, l2 loss = 0.0454645 (max 14.95), (true 958, predicted [958])
attack: step 3/30, xent loss = 0.114561, l2 loss = 0.103805 (max 14.95), (true 958, predicted [958])
attack: step 4/30, xent loss = 0.189959, l2 loss = 0.17761 (max 14.95), (true 958, predicted [958])
attack: step 5/30, xent loss = 0.362183, l2 loss = 0.285748 (max 14.95), (true 958, predicted [958])
attack: step 6/30, xent loss = 0.864548, l2 loss = 0.469784 (max 14.95), (true 958, predicted [958])
attack: step 7/30, xent loss = 3.66824, l2 loss = 0.901267 (max 14.95), (true 958, predicted [853])
attack: step 8/30, xent loss = 5.79878, l2 loss = 2.48551 (max 14.95), (true 958, predicted [490])
attack: step 9/30, xent loss = 7.17139, l2 loss = 2.58726 (max 14.95), (true 958, predicted [490])
attack: step 10/30, xent loss = 9.77302, l2 loss = 2.69118 (max 14.95), (true 958, predicted [490])
attack: step 11/30, xent loss = 12.5902, l2 loss = 2.88154 (max 14.95), (true 958, predicted [490])
attack: step 12/30, xent loss = 12.3138, l2 loss = 3.26673 (max 14.95), (true 958, predicted [490])
attack: step 13/30, xent loss = 14.2165, l2 loss = 3.58026 (max 14.95), (true 958, predicted [490])
attack: step 14/30, xent loss = 15.2891, l2 loss = 3.70819 (max 14.95), (true 958, predicted [490])
attack: step 15/30, xent loss = 15.0522, l2 loss = 4.29349 (max 14.95), (true 958, predicted [490])
attack: step 16/30, xent loss = 17.3306, l2 loss = 4.48948 (max 14.95), (true 958, predicted [490])
attack: step 17/30, xent loss = 20.7229, l2 loss = 4.78974 (max 14.95), (true 958, predicted [490])
attack: step 18/30, xent loss = 19.5038, l2 loss = 5.21707 (max 14.95), (true 958, predicted [490])
attack: step 19/30, xent loss = 24.6998, l2 loss = 5.65991 (max 14.95), (true 958, predicted [490])
attack: step 20/30, xent loss = 26.0648, l2 loss = 6.06365 (max 14.95), (true 958, predicted [490])
