2019-05-30 02:56:58.666086: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 02:56:58.670362: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600105000 Hz
2019-05-30 02:56:58.670456: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6ac0b00 executing computations on platform Host. Devices:
2019-05-30 02:56:58.670469: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 02:56:58.670624: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 230 of [230, 240)
attack: step 1/30, xent loss = 0.0435687, l2 loss = 0 (max 14.95), (true 131, predicted [131])
attack: step 2/30, xent loss = 0.0690946, l2 loss = 0.051001 (max 14.95), (true 131, predicted [131])
attack: step 3/30, xent loss = 0.109877, l2 loss = 0.108659 (max 14.95), (true 131, predicted [131])
attack: step 4/30, xent loss = 0.17897, l2 loss = 0.18131 (max 14.95), (true 131, predicted [131])
attack: step 5/30, xent loss = 0.294744, l2 loss = 0.279645 (max 14.95), (true 131, predicted [131])
attack: step 6/30, xent loss = 0.421202, l2 loss = 0.41536 (max 14.95), (true 131, predicted [131])
attack: step 7/30, xent loss = 0.569418, l2 loss = 0.613276 (max 14.95), (true 131, predicted [131])
attack: step 8/30, xent loss = 0.736244, l2 loss = 0.888547 (max 14.95), (true 131, predicted [131])
attack: step 9/30, xent loss = 2.13474, l2 loss = 1.17063 (max 14.95), (true 131, predicted [131])
attack: step 10/30, xent loss = 5.79815, l2 loss = 1.76042 (max 14.95), (true 131, predicted [136])
attack: step 11/30, xent loss = 9.16648, l2 loss = 2.88474 (max 14.95), (true 131, predicted [136])
attack: step 12/30, xent loss = 14.1139, l2 loss = 3.76286 (max 14.95), (true 131, predicted [136])
attack: step 13/30, xent loss = 10.4725, l2 loss = 4.49373 (max 14.95), (true 131, predicted [136])
attack: step 14/30, xent loss = 9.82749, l2 loss = 6.47602 (max 14.95), (true 131, predicted [136])
attack: step 15/30, xent loss = 16.7226, l2 loss = 6.61157 (max 14.95), (true 131, predicted [136])
attack: step 16/30, xent loss = 15.7609, l2 loss = 6.98926 (max 14.95), (true 131, predicted [136])
attack: step 17/30, xent loss = 14.9747, l2 loss = 7.61167 (max 14.95), (true 131, predicted [136])
attack: step 18/30, xent loss = 22.9086, l2 loss = 7.96899 (max 14.95), (true 131, predicted [136])
attack: step 19/30, xent loss = 17.7499, l2 loss = 8.68765 (max 14.95), (true 131, predicted [136])
attack: step 20/30, xent loss = 17.0792, l2 loss = 9.08021 (max 14.95), (true 131, predicted [136])
attack: step 21/30, xent loss = 19.9856, l2 loss = 10.0287 (max 14.95), (true 131, predicted [136])
attack: step 22/30, xent loss = 15.5009, l2 loss = 10.6053 (max 14.95), (true 131, predicted [136])
attack: step 23/30, xent loss = 24.5103, l2 loss = 11.1371 (max 14.95), (true 131, predicted [136])
attack: step 24/30, xent loss = 20.6037, l2 loss = 11.6436 (max 14.95), (true 131, predicted [136])
attack: step 25/30, xent loss = 30.9067, l2 loss = 11.8832 (max 14.95), (true 131, predicted [136])
attack: step 26/30, xent loss = 23.2531, l2 loss = 12.3718 (max 14.95), (true 131, predicted [136])
attack: step 27/30, xent loss = 30.776, l2 loss = 12.6711 (max 14.95), (true 131, predicted [136])
attack: step 28/30, xent loss = 29.9723, l2 loss = 13.1694 (max 14.95), (true 131, predicted [136])
attack: step 29/30, xent loss = 20.595, l2 loss = 13.8329 (max 14.95), (true 131, predicted [136])
attack: step 30/30, xent loss = 26.0991, l2 loss = 14.5766 (max 14.95), (true 131, predicted [136])
true = 131, adv = 728
evaluating 231 of [230, 240)
attack: step 1/30, xent loss = 0.0822069, l2 loss = 0 (max 14.95), (true 487, predicted [487])
attack: step 2/30, xent loss = 0.215453, l2 loss = 0.103894 (max 14.95), (true 487, predicted [487])
attack: step 3/30, xent loss = 0.769063, l2 loss = 0.297306 (max 14.95), (true 487, predicted [487])
attack: step 4/30, xent loss = 2.53553, l2 loss = 0.709188 (max 14.95), (true 487, predicted [590])
attack: step 5/30, xent loss = 4.13271, l2 loss = 1.33036 (max 14.95), (true 487, predicted [761])
attack: step 6/30, xent loss = 8.82716, l2 loss = 2.13956 (max 14.95), (true 487, predicted [761])
attack: step 7/30, xent loss = 16.0434, l2 loss = 4.05274 (max 14.95), (true 487, predicted [761])
attack: step 8/30, xent loss = 20.6452, l2 loss = 5.56471 (max 14.95), (true 487, predicted [761])
attack: step 9/30, xent loss = 24.3008, l2 loss = 6.44722 (max 14.95), (true 487, predicted [761])
attack: step 10/30, xent loss = 22.3509, l2 loss = 7.87326 (max 14.95), (true 487, predicted [761])
attack: step 11/30, xent loss = 26.7805, l2 loss = 8.90945 (max 14.95), (true 487, predicted [761])
attack: step 12/30, xent loss = 23.9682, l2 loss = 9.74664 (max 14.95), (true 487, predicted [761])
attack: step 13/30, xent loss = 29.5869, l2 loss = 11.053 (max 14.95), (true 487, predicted [761])
attack: step 14/30, xent loss = 31.0112, l2 loss = 11.8008 (max 14.95), (true 487, predicted [761])
attack: step 15/30, xent loss = 37.5422, l2 loss = 12.2906 (max 14.95), (true 487, predicted [761])
attack: step 16/30, xent loss = 44.9988, l2 loss = 12.7166 (max 14.95), (true 487, predicted [761])
attack: step 17/30, xent loss = 43.368, l2 loss = 13.1958 (max 14.95), (true 487, predicted [761])
attack: step 18/30, xent loss = 42.0927, l2 loss = 13.7059 (max 14.95), (true 487, predicted [761])
attack: step 19/30, xent loss = 42.5825, l2 loss = 14.4376 (max 14.95), (true 487, predicted [761])
attack: step 20/30, xent loss = 53.8952, l2 loss = 14.8193 (max 14.95), (true 487, predicted [761])
attack: step 21/30, xent loss = 50.5094, l2 loss = 15.342 (max 14.95), (true 487, predicted [761])
attack: step 22/30, xent loss = 56.8203, l2 loss = 15.8057 (max 14.95), (true 487, predicted [761])
attack: step 23/30, xent loss = 53.3036, l2 loss = 16.215 (max 14.95), (true 487, predicted [761])
attack: step 24/30, xent loss = 59.0943, l2 loss = 16.6428 (max 14.95), (true 487, predicted [761])
attack: step 25/30, xent loss = 59.535, l2 loss = 17.0248 (max 14.95), (true 487, predicted [761])
attack: step 26/30, xent loss = 62.9054, l2 loss = 17.4747 (max 14.95), (true 487, predicted [761])
attack: step 27/30, xent loss = 67.083, l2 loss = 17.7752 (max 14.95), (true 487, predicted [761])
attack: step 28/30, xent loss = 62.7015, l2 loss = 18.1582 (max 14.95), (true 487, predicted [761])
attack: step 29/30, xent loss = 63.2974, l2 loss = 18.5939 (max 14.95), (true 487, predicted [761])
attack: step 30/30, xent loss = 64.1088, l2 loss = 19.0215 (max 14.95), (true 487, predicted [761])
check failed
true = 487, adv = 830
evaluating 232 of [230, 240)
attack: step 1/30, xent loss = 0.180024, l2 loss = 0 (max 14.95), (true 296, predicted [296])
attack: step 2/30, xent loss = 0.692566, l2 loss = 0.212099 (max 14.95), (true 296, predicted [296])
attack: step 3/30, xent loss = 2.93723, l2 loss = 0.673361 (max 14.95), (true 296, predicted [258])
attack: step 4/30, xent loss = 7.69369, l2 loss = 1.96781 (max 14.95), (true 296, predicted [258])
attack: step 5/30, xent loss = 10.8131, l2 loss = 2.66436 (max 14.95), (true 296, predicted [258])
attack: step 6/30, xent loss = 10.5852, l2 loss = 3.07185 (max 14.95), (true 296, predicted [258])
attack: step 7/30, xent loss = 12.9073, l2 loss = 4.14324 (max 14.95), (true 296, predicted [258])
attack: step 8/30, xent loss = 11.6493, l2 loss = 4.74344 (max 14.95), (true 296, predicted [258])
attack: step 9/30, xent loss = 14.5976, l2 loss = 6.47942 (max 14.95), (true 296, predicted [258])
attack: step 10/30, xent loss = 15.2351, l2 loss = 7.59189 (max 14.95), (true 296, predicted [258])
attack: step 11/30, xent loss = 14.1338, l2 loss = 8.62624 (max 14.95), (true 296, predicted [258])
attack: step 12/30, xent loss = 15.2854, l2 loss = 9.10645 (max 14.95), (true 296, predicted [258])
attack: step 13/30, xent loss = 14.0673, l2 loss = 10.0498 (max 14.95), (true 296, predicted [258])
attack: step 14/30, xent loss = 22.8283, l2 loss = 10.3183 (max 14.95), (true 296, predicted [258])
attack: step 15/30, xent loss = 25.7858, l2 loss = 10.7318 (max 14.95), (true 296, predicted [258])
attack: step 16/30, xent loss = 20.1102, l2 loss = 11.2557 (max 14.95), (true 296, predicted [258])
attack: step 17/30, xent loss = 25.0867, l2 loss = 11.6854 (max 14.95), (true 296, predicted [258])
attack: step 18/30, xent loss = 20.8222, l2 loss = 12.4159 (max 14.95), (true 296, predicted [258])
attack: step 19/30, xent loss = 24.73, l2 loss = 12.7637 (max 14.95), (true 296, predicted [258])
attack: step 20/30, xent loss = 28.0871, l2 loss = 13.0384 (max 14.95), (true 296, predicted [258])
attack: step 21/30, xent loss = 27.0991, l2 loss = 13.4333 (max 14.95), (true 296, predicted [258])
attack: step 22/30, xent loss = 28.6341, l2 loss = 13.8565 (max 14.95), (true 296, predicted [258])
attack: step 23/30, xent loss = 32.2065, l2 loss = 14.2007 (max 14.95), (true 296, predicted [258])
attack: step 24/30, xent loss = 34.4093, l2 loss = 14.4732 (max 14.95), (true 296, predicted [258])
attack: step 25/30, xent loss = 34.068, l2 loss = 14.8636 (max 14.95), (true 296, predicted [258])
attack: step 26/30, xent loss = 36.117, l2 loss = 15.2254 (max 14.95), (true 296, predicted [258])
attack: step 27/30, xent loss = 39.4431, l2 loss = 15.474 (max 14.95), (true 296, predicted [258])
attack: step 28/30, xent loss = 34.0541, l2 loss = 16.0134 (max 14.95), (true 296, predicted [258])
attack: step 29/30, xent loss = 37.6909, l2 loss = 16.4075 (max 14.95), (true 296, predicted [258])
attack: step 30/30, xent loss = 38.1044, l2 loss = 16.6935 (max 14.95), (true 296, predicted [258])
check failed
true = 296, adv = 258
evaluating 233 of [230, 240)
attack: step 1/30, xent loss = 0.00664217, l2 loss = 0 (max 14.95), (true 804, predicted [804])
attack: step 2/30, xent loss = 0.00949203, l2 loss = 0.0156749 (max 14.95), (true 804, predicted [804])
attack: step 3/30, xent loss = 0.0157174, l2 loss = 0.0375185 (max 14.95), (true 804, predicted [804])
