2019-05-30 02:58:51.935453: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 02:58:51.945439: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600250000 Hz
2019-05-30 02:58:51.945636: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6fbcd80 executing computations on platform Host. Devices:
2019-05-30 02:58:51.945666: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 02:58:51.946005: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 980 of [980, 990)
attack: step 1/30, xent loss = 1.48528, l2 loss = 0 (max 14.95), (true 740, predicted [740])
attack: step 2/30, xent loss = 7.32223, l2 loss = 1.49003 (max 14.95), (true 740, predicted [764])
attack: step 3/30, xent loss = 10.7045, l2 loss = 1.97346 (max 14.95), (true 740, predicted [819])
attack: step 4/30, xent loss = 14.5539, l2 loss = 2.39295 (max 14.95), (true 740, predicted [555])
attack: step 5/30, xent loss = 14.2797, l2 loss = 3.12514 (max 14.95), (true 740, predicted [555])
attack: step 6/30, xent loss = 15.4431, l2 loss = 4.78956 (max 14.95), (true 740, predicted [555])
attack: step 7/30, xent loss = 18.632, l2 loss = 5.73135 (max 14.95), (true 740, predicted [555])
attack: step 8/30, xent loss = 22.3911, l2 loss = 6.29678 (max 14.95), (true 740, predicted [555])
attack: step 9/30, xent loss = 14.965, l2 loss = 6.93925 (max 14.95), (true 740, predicted [555])
attack: step 10/30, xent loss = 16.4581, l2 loss = 9.22816 (max 14.95), (true 740, predicted [555])
attack: step 11/30, xent loss = 23.1665, l2 loss = 9.43693 (max 14.95), (true 740, predicted [555])
attack: step 12/30, xent loss = 18.8406, l2 loss = 9.92622 (max 14.95), (true 740, predicted [555])
attack: step 13/30, xent loss = 28.7604, l2 loss = 10.0605 (max 14.95), (true 740, predicted [555])
attack: step 14/30, xent loss = 27.2908, l2 loss = 10.3082 (max 14.95), (true 740, predicted [555])
attack: step 15/30, xent loss = 22.1241, l2 loss = 10.8453 (max 14.95), (true 740, predicted [555])
attack: step 16/30, xent loss = 24.3987, l2 loss = 11.5607 (max 14.95), (true 740, predicted [555])
attack: step 17/30, xent loss = 26.4862, l2 loss = 12.0248 (max 14.95), (true 740, predicted [555])
attack: step 18/30, xent loss = 28.0236, l2 loss = 12.3644 (max 14.95), (true 740, predicted [555])
attack: step 19/30, xent loss = 37.9844, l2 loss = 12.6645 (max 14.95), (true 740, predicted [555])
attack: step 20/30, xent loss = 33.1898, l2 loss = 13.0967 (max 14.95), (true 740, predicted [555])
attack: step 21/30, xent loss = 33.1784, l2 loss = 13.5267 (max 14.95), (true 740, predicted [555])
attack: step 22/30, xent loss = 36.3211, l2 loss = 13.9529 (max 14.95), (true 740, predicted [555])
attack: step 23/30, xent loss = 46.3521, l2 loss = 14.2545 (max 14.95), (true 740, predicted [555])
attack: step 24/30, xent loss = 37.4951, l2 loss = 14.6952 (max 14.95), (true 740, predicted [555])
attack: step 25/30, xent loss = 28.6883, l2 loss = 15.1247 (max 14.95), (true 740, predicted [555])
