2019-05-30 04:27:11.149581: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 04:27:11.162252: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599945000 Hz
2019-05-30 04:27:11.162349: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6d4aef0 executing computations on platform Host. Devices:
2019-05-30 04:27:11.162361: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 04:27:11.162506: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 220 of [220, 230)
attack: step 1/30, xent loss = 0.349169, l2 loss = 0 (max 14.95), (true 828, predicted [828])
attack: step 2/30, xent loss = 5.79863, l2 loss = 0.726721 (max 14.95), (true 828, predicted [632])
attack: step 3/30, xent loss = 13.4954, l2 loss = 2.86101 (max 14.95), (true 828, predicted [632])
attack: step 4/30, xent loss = 16.4648, l2 loss = 3.53454 (max 14.95), (true 828, predicted [632])
attack: step 5/30, xent loss = 16.0198, l2 loss = 4.60693 (max 14.95), (true 828, predicted [632])
attack: step 6/30, xent loss = 18.6913, l2 loss = 5.20076 (max 14.95), (true 828, predicted [632])
attack: step 7/30, xent loss = 16.7764, l2 loss = 6.33237 (max 14.95), (true 828, predicted [632])
attack: step 8/30, xent loss = 24.8432, l2 loss = 6.68384 (max 14.95), (true 828, predicted [632])
attack: step 9/30, xent loss = 26.845, l2 loss = 7.0427 (max 14.95), (true 828, predicted [632])
attack: step 10/30, xent loss = 23.2056, l2 loss = 7.65168 (max 14.95), (true 828, predicted [632])
attack: step 11/30, xent loss = 27.7181, l2 loss = 8.21902 (max 14.95), (true 828, predicted [632])
attack: step 12/30, xent loss = 24.6733, l2 loss = 8.64365 (max 14.95), (true 828, predicted [632])
attack: step 13/30, xent loss = 23.8657, l2 loss = 9.55945 (max 14.95), (true 828, predicted [632])
attack: step 14/30, xent loss = 30.4699, l2 loss = 9.85927 (max 14.95), (true 828, predicted [632])
attack: step 15/30, xent loss = 29.0303, l2 loss = 10.3903 (max 14.95), (true 828, predicted [632])
attack: step 16/30, xent loss = 36.6128, l2 loss = 10.7045 (max 14.95), (true 828, predicted [632])
attack: step 17/30, xent loss = 38.7109, l2 loss = 11.0127 (max 14.95), (true 828, predicted [632])
attack: step 18/30, xent loss = 39.5412, l2 loss = 11.317 (max 14.95), (true 828, predicted [632])
attack: step 19/30, xent loss = 41.4762, l2 loss = 11.7014 (max 14.95), (true 828, predicted [632])
attack: step 20/30, xent loss = 40.7533, l2 loss = 12.0581 (max 14.95), (true 828, predicted [632])
attack: step 21/30, xent loss = 36.6807, l2 loss = 12.3874 (max 14.95), (true 828, predicted [632])
attack: step 22/30, xent loss = 33.5518, l2 loss = 13.0317 (max 14.95), (true 828, predicted [632])
attack: step 23/30, xent loss = 35.4633, l2 loss = 13.3424 (max 14.95), (true 828, predicted [632])
attack: step 24/30, xent loss = 36.0519, l2 loss = 13.8775 (max 14.95), (true 828, predicted [632])
attack: step 25/30, xent loss = 42.8379, l2 loss = 14.156 (max 14.95), (true 828, predicted [632])
attack: step 26/30, xent loss = 42.0594, l2 loss = 14.3778 (max 14.95), (true 828, predicted [632])
attack: step 27/30, xent loss = 46.7249, l2 loss = 14.6304 (max 14.95), (true 828, predicted [632])
attack: step 28/30, xent loss = 45.8076, l2 loss = 14.8965 (max 14.95), (true 828, predicted [632])
attack: step 29/30, xent loss = 53.1233, l2 loss = 15.1163 (max 14.95), (true 828, predicted [632])
attack: step 30/30, xent loss = 51.591, l2 loss = 15.3391 (max 14.95), (true 828, predicted [632])
check failed
true = 828, adv = 506
evaluating 221 of [220, 230)
attack: step 1/30, xent loss = 0.0668539, l2 loss = 0 (max 14.95), (true 10, predicted [10])
attack: step 2/30, xent loss = 0.116079, l2 loss = 0.0653285 (max 14.95), (true 10, predicted [10])
attack: step 3/30, xent loss = 0.67034, l2 loss = 0.17029 (max 14.95), (true 10, predicted [10])
attack: step 4/30, xent loss = 6.81678, l2 loss = 1.83847 (max 14.95), (true 10, predicted [11])
attack: step 5/30, xent loss = 8.88713, l2 loss = 2.13669 (max 14.95), (true 10, predicted [11])
attack: step 6/30, xent loss = 7.17685, l2 loss = 2.59005 (max 14.95), (true 10, predicted [11])
attack: step 7/30, xent loss = 8.66874, l2 loss = 3.10586 (max 14.95), (true 10, predicted [11])
attack: step 8/30, xent loss = 10.3602, l2 loss = 3.90171 (max 14.95), (true 10, predicted [11])
attack: step 9/30, xent loss = 8.88146, l2 loss = 4.71204 (max 14.95), (true 10, predicted [74])
attack: step 10/30, xent loss = 11.8368, l2 loss = 5.11422 (max 14.95), (true 10, predicted [815])
attack: step 11/30, xent loss = 8.2732, l2 loss = 6.11373 (max 14.95), (true 10, predicted [40])
attack: step 12/30, xent loss = 12.2502, l2 loss = 6.49181 (max 14.95), (true 10, predicted [46])
attack: step 13/30, xent loss = 12.4583, l2 loss = 6.82156 (max 14.95), (true 10, predicted [40])
attack: step 14/30, xent loss = 14.0942, l2 loss = 7.42732 (max 14.95), (true 10, predicted [40])
attack: step 15/30, xent loss = 14.6602, l2 loss = 7.89489 (max 14.95), (true 10, predicted [46])
attack: step 16/30, xent loss = 10.4013, l2 loss = 8.73937 (max 14.95), (true 10, predicted [815])
attack: step 17/30, xent loss = 13.5022, l2 loss = 9.72608 (max 14.95), (true 10, predicted [815])
attack: step 18/30, xent loss = 19.1913, l2 loss = 9.81761 (max 14.95), (true 10, predicted [815])
attack: step 19/30, xent loss = 24.0537, l2 loss = 10.0307 (max 14.95), (true 10, predicted [815])
attack: step 20/30, xent loss = 23.5038, l2 loss = 10.4401 (max 14.95), (true 10, predicted [815])
attack: step 21/30, xent loss = 18.8833, l2 loss = 11.3764 (max 14.95), (true 10, predicted [815])
attack: step 22/30, xent loss = 23.126, l2 loss = 11.7988 (max 14.95), (true 10, predicted [815])
attack: step 23/30, xent loss = 25.203, l2 loss = 12.1291 (max 14.95), (true 10, predicted [815])
attack: step 24/30, xent loss = 26.6654, l2 loss = 13.6618 (max 14.95), (true 10, predicted [815])
attack: step 25/30, xent loss = 29.4348, l2 loss = 13.9768 (max 14.95), (true 10, predicted [815])
attack: step 26/30, xent loss = 29.1319, l2 loss = 14.5467 (max 14.95), (true 10, predicted [815])
attack: step 27/30, xent loss = 40.7647, l2 loss = 14.8365 (max 14.95), (true 10, predicted [815])
attack: step 28/30, xent loss = 35.7352, l2 loss = 15.3128 (max 14.95), (true 10, predicted [815])
attack: step 29/30, xent loss = 33.3335, l2 loss = 15.9403 (max 14.95), (true 10, predicted [815])
attack: step 30/30, xent loss = 39.4776, l2 loss = 16.4351 (max 14.95), (true 10, predicted [815])
check failed
true = 10, adv = 14
evaluating 222 of [220, 230)
attack: step 1/30, xent loss = 0.0705082, l2 loss = 0 (max 14.95), (true 83, predicted [83])
attack: step 2/30, xent loss = 0.147617, l2 loss = 0.0810499 (max 14.95), (true 83, predicted [83])
attack: step 3/30, xent loss = 0.354502, l2 loss = 0.201829 (max 14.95), (true 83, predicted [83])
attack: step 4/30, xent loss = 0.904809, l2 loss = 0.405186 (max 14.95), (true 83, predicted [83])
attack: step 5/30, xent loss = 1.59636, l2 loss = 0.744915 (max 14.95), (true 83, predicted [83])
attack: step 6/30, xent loss = 2.21417, l2 loss = 1.24117 (max 14.95), (true 83, predicted [138])
attack: step 7/30, xent loss = 4.91112, l2 loss = 1.74345 (max 14.95), (true 83, predicted [138])
attack: step 8/30, xent loss = 8.53496, l2 loss = 2.20553 (max 14.95), (true 83, predicted [138])
attack: step 9/30, xent loss = 9.76938, l2 loss = 2.76558 (max 14.95), (true 83, predicted [138])
attack: step 10/30, xent loss = 11.3585, l2 loss = 3.68836 (max 14.95), (true 83, predicted [138])
attack: step 11/30, xent loss = 15.9468, l2 loss = 4.18165 (max 14.95), (true 83, predicted [138])
attack: step 12/30, xent loss = 15.6162, l2 loss = 4.92902 (max 14.95), (true 83, predicted [138])
attack: step 13/30, xent loss = 18.6945, l2 loss = 5.87574 (max 14.95), (true 83, predicted [138])
attack: step 14/30, xent loss = 16.8417, l2 loss = 6.39186 (max 14.95), (true 83, predicted [138])
attack: step 15/30, xent loss = 19.1446, l2 loss = 6.81259 (max 14.95), (true 83, predicted [138])
attack: step 16/30, xent loss = 17.1718, l2 loss = 7.52141 (max 14.95), (true 83, predicted [138])
attack: step 17/30, xent loss = 23.3058, l2 loss = 7.78303 (max 14.95), (true 83, predicted [138])
attack: step 18/30, xent loss = 19.8877, l2 loss = 8.20655 (max 14.95), (true 83, predicted [138])
attack: step 19/30, xent loss = 24.2048, l2 loss = 8.55519 (max 14.95), (true 83, predicted [138])
attack: step 20/30, xent loss = 19.7991, l2 loss = 9.02693 (max 14.95), (true 83, predicted [138])
attack: step 21/30, xent loss = 27.2691, l2 loss = 9.36425 (max 14.95), (true 83, predicted [138])
attack: step 22/30, xent loss = 23.2231, l2 loss = 9.68151 (max 14.95), (true 83, predicted [138])
attack: step 23/30, xent loss = 29.5414, l2 loss = 10.035 (max 14.95), (true 83, predicted [138])
attack: step 24/30, xent loss = 26.6399, l2 loss = 10.4638 (max 14.95), (true 83, predicted [138])
attack: step 25/30, xent loss = 30.6664, l2 loss = 10.7013 (max 14.95), (true 83, predicted [138])
attack: step 26/30, xent loss = 27.7466, l2 loss = 11.1166 (max 14.95), (true 83, predicted [138])
attack: step 27/30, xent loss = 36.4233, l2 loss = 11.451 (max 14.95), (true 83, predicted [138])
attack: step 28/30, xent loss = 28.7258, l2 loss = 11.9273 (max 14.95), (true 83, predicted [138])
attack: step 29/30, xent loss = 32.9733, l2 loss = 12.2049 (max 14.95), (true 83, predicted [138])
attack: step 30/30, xent loss = 32.3756, l2 loss = 12.5758 (max 14.95), (true 83, predicted [138])
true = 83, adv = 7
evaluating 223 of [220, 230)
attack: step 1/30, xent loss = 0.147696, l2 loss = 0 (max 14.95), (true 189, predicted [189])
attack: step 2/30, xent loss = 2.06377, l2 loss = 0.271561 (max 14.95), (true 189, predicted [191])
attack: step 3/30, xent loss = 7.74677, l2 loss = 1.72533 (max 14.95), (true 189, predicted [191])
attack: step 4/30, xent loss = 12.0453, l2 loss = 2.43453 (max 14.95), (true 189, predicted [191])
attack: step 5/30, xent loss = 15.0255, l2 loss = 3.01909 (max 14.95), (true 189, predicted [191])
attack: step 6/30, xent loss = 14.4939, l2 loss = 3.59034 (max 14.95), (true 189, predicted [191])
attack: step 7/30, xent loss = 15.0287, l2 loss = 4.51677 (max 14.95), (true 189, predicted [191])
attack: step 8/30, xent loss = 13.3481, l2 loss = 5.47815 (max 14.95), (true 189, predicted [191])
attack: step 9/30, xent loss = 21.0067, l2 loss = 5.97941 (max 14.95), (true 189, predicted [191])
attack: step 10/30, xent loss = 24.5939, l2 loss = 6.36053 (max 14.95), (true 189, predicted [191])
attack: step 11/30, xent loss = 21.8483, l2 loss = 6.98284 (max 14.95), (true 189, predicted [191])
attack: step 12/30, xent loss = 17.5545, l2 loss = 8.18939 (max 14.95), (true 189, predicted [191])
attack: step 13/30, xent loss = 24.1046, l2 loss = 8.52079 (max 14.95), (true 189, predicted [191])
attack: step 14/30, xent loss = 27.9104, l2 loss = 8.83994 (max 14.95), (true 189, predicted [191])
attack: step 15/30, xent loss = 27.3706, l2 loss = 9.30782 (max 14.95), (true 189, predicted [191])
attack: step 16/30, xent loss = 24.1694, l2 loss = 9.98033 (max 14.95), (true 189, predicted [191])
attack: step 17/30, xent loss = 28.1602, l2 loss = 10.4753 (max 14.95), (true 189, predicted [191])
attack: step 18/30, xent loss = 32.4248, l2 loss = 10.872 (max 14.95), (true 189, predicted [438])
attack: step 19/30, xent loss = 37.6446, l2 loss = 11.2722 (max 14.95), (true 189, predicted [438])
attack: step 20/30, xent loss = 32.7371, l2 loss = 12.0045 (max 14.95), (true 189, predicted [438])
attack: step 21/30, xent loss = 27.6842, l2 loss = 12.762 (max 14.95), (true 189, predicted [438])
attack: step 22/30, xent loss = 39.3487, l2 loss = 13.3435 (max 14.95), (true 189, predicted [438])
attack: step 23/30, xent loss = 39.5188, l2 loss = 13.8639 (max 14.95), (true 189, predicted [438])
attack: step 24/30, xent loss = 43.1108, l2 loss = 14.754 (max 14.95), (true 189, predicted [438])
attack: step 25/30, xent loss = 33.3532, l2 loss = 15.6651 (max 14.95), (true 189, predicted [438])
attack: step 26/30, xent loss = 45.4198, l2 loss = 16.1975 (max 14.95), (true 189, predicted [438])
attack: step 27/30, xent loss = 55.5833, l2 loss = 16.9604 (max 14.95), (true 189, predicted [438])
attack: step 28/30, xent loss = 59.5432, l2 loss = 17.8701 (max 14.95), (true 189, predicted [438])
