2019-05-30 04:27:42.012023: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 04:27:42.020440: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599940000 Hz
2019-05-30 04:27:42.020603: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6d4a8f0 executing computations on platform Host. Devices:
2019-05-30 04:27:42.020623: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 04:27:42.020855: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 750 of [750, 760)
attack: step 1/30, xent loss = 0.111408, l2 loss = 0 (max 14.95), (true 847, predicted [847])
attack: step 2/30, xent loss = 0.211372, l2 loss = 0.093316 (max 14.95), (true 847, predicted [847])
attack: step 3/30, xent loss = 0.484008, l2 loss = 0.232864 (max 14.95), (true 847, predicted [847])
attack: step 4/30, xent loss = 1.36869, l2 loss = 0.488225 (max 14.95), (true 847, predicted [847])
attack: step 5/30, xent loss = 5.01468, l2 loss = 0.989509 (max 14.95), (true 847, predicted [744])
attack: step 6/30, xent loss = 10.6085, l2 loss = 2.77675 (max 14.95), (true 847, predicted [744])
attack: step 7/30, xent loss = 13.75, l2 loss = 3.82708 (max 14.95), (true 847, predicted [744])
attack: step 8/30, xent loss = 15.446, l2 loss = 4.51142 (max 14.95), (true 847, predicted [744])
attack: step 9/30, xent loss = 18.2752, l2 loss = 5.41815 (max 14.95), (true 847, predicted [744])
attack: step 10/30, xent loss = 21.0862, l2 loss = 6.14273 (max 14.95), (true 847, predicted [744])
attack: step 11/30, xent loss = 24.6956, l2 loss = 6.91034 (max 14.95), (true 847, predicted [744])
attack: step 12/30, xent loss = 22.6837, l2 loss = 7.68406 (max 14.95), (true 847, predicted [744])
attack: step 13/30, xent loss = 30.4036, l2 loss = 8.32033 (max 14.95), (true 847, predicted [744])
attack: step 14/30, xent loss = 27.7366, l2 loss = 8.9569 (max 14.95), (true 847, predicted [744])
attack: step 15/30, xent loss = 26.8654, l2 loss = 9.87284 (max 14.95), (true 847, predicted [744])
attack: step 16/30, xent loss = 35.7778, l2 loss = 10.3802 (max 14.95), (true 847, predicted [744])
attack: step 17/30, xent loss = 36.9203, l2 loss = 11.1443 (max 14.95), (true 847, predicted [744])
