2019-05-30 04:28:29.422701: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 04:28:29.431702: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600250000 Hz
2019-05-30 04:28:29.431931: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6d4ac50 executing computations on platform Host. Devices:
2019-05-30 04:28:29.431960: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 04:28:29.432277: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 960 of [960, 970)
attack: step 1/30, xent loss = 0.00431891, l2 loss = 0 (max 14.95), (true 442, predicted [442])
attack: step 2/30, xent loss = 0.00484815, l2 loss = 0.0072067 (max 14.95), (true 442, predicted [442])
attack: step 3/30, xent loss = 0.0054677, l2 loss = 0.0149314 (max 14.95), (true 442, predicted [442])
attack: step 4/30, xent loss = 0.00623069, l2 loss = 0.0231597 (max 14.95), (true 442, predicted [442])
attack: step 5/30, xent loss = 0.00719303, l2 loss = 0.0324008 (max 14.95), (true 442, predicted [442])
attack: step 6/30, xent loss = 0.00840271, l2 loss = 0.0426259 (max 14.95), (true 442, predicted [442])
attack: step 7/30, xent loss = 0.00995847, l2 loss = 0.05375 (max 14.95), (true 442, predicted [442])
attack: step 8/30, xent loss = 0.0122011, l2 loss = 0.0672165 (max 14.95), (true 442, predicted [442])
attack: step 9/30, xent loss = 0.0154764, l2 loss = 0.082696 (max 14.95), (true 442, predicted [442])
attack: step 10/30, xent loss = 0.0204135, l2 loss = 0.102511 (max 14.95), (true 442, predicted [442])
attack: step 11/30, xent loss = 0.0275175, l2 loss = 0.125295 (max 14.95), (true 442, predicted [442])
attack: step 12/30, xent loss = 0.0390289, l2 loss = 0.1584 (max 14.95), (true 442, predicted [442])
attack: step 13/30, xent loss = 0.0665004, l2 loss = 0.200233 (max 14.95), (true 442, predicted [442])
attack: step 14/30, xent loss = 0.120551, l2 loss = 0.266722 (max 14.95), (true 442, predicted [442])
attack: step 15/30, xent loss = 0.244576, l2 loss = 0.39902 (max 14.95), (true 442, predicted [442])
attack: step 16/30, xent loss = 0.661616, l2 loss = 0.62688 (max 14.95), (true 442, predicted [442])
attack: step 17/30, xent loss = 2.00307, l2 loss = 1.17458 (max 14.95), (true 442, predicted [442])
attack: step 18/30, xent loss = 4.38612, l2 loss = 2.01313 (max 14.95), (true 442, predicted [884])
attack: step 19/30, xent loss = 5.85735, l2 loss = 2.47226 (max 14.95), (true 442, predicted [884])
attack: step 20/30, xent loss = 6.64125, l2 loss = 2.76059 (max 14.95), (true 442, predicted [884])
attack: step 21/30, xent loss = 7.47776, l2 loss = 2.92022 (max 14.95), (true 442, predicted [884])
attack: step 22/30, xent loss = 8.16629, l2 loss = 3.07 (max 14.95), (true 442, predicted [884])
attack: step 23/30, xent loss = 8.25231, l2 loss = 3.21734 (max 14.95), (true 442, predicted [884])
attack: step 24/30, xent loss = 8.88025, l2 loss = 3.35727 (max 14.95), (true 442, predicted [884])
attack: step 25/30, xent loss = 9.54234, l2 loss = 3.54715 (max 14.95), (true 442, predicted [363])
attack: step 26/30, xent loss = 10.2003, l2 loss = 3.6727 (max 14.95), (true 442, predicted [363])
attack: step 27/30, xent loss = 10.7328, l2 loss = 3.84683 (max 14.95), (true 442, predicted [363])
attack: step 28/30, xent loss = 11.3007, l2 loss = 3.98497 (max 14.95), (true 442, predicted [790])
attack: step 29/30, xent loss = 10.5982, l2 loss = 4.224 (max 14.95), (true 442, predicted [790])
attack: step 30/30, xent loss = 11.7313, l2 loss = 4.44731 (max 14.95), (true 442, predicted [790])
true = 442, adv = 442
evaluating 961 of [960, 970)
attack: step 1/30, xent loss = 0.167714, l2 loss = 0 (max 14.95), (true 336, predicted [336])
attack: step 2/30, xent loss = 0.892839, l2 loss = 0.190335 (max 14.95), (true 336, predicted [336])
attack: step 3/30, xent loss = 5.70638, l2 loss = 0.926144 (max 14.95), (true 336, predicted [299])
attack: step 4/30, xent loss = 8.07957, l2 loss = 1.45227 (max 14.95), (true 336, predicted [299])
attack: step 5/30, xent loss = 11.0069, l2 loss = 1.68919 (max 14.95), (true 336, predicted [299])
attack: step 6/30, xent loss = 14.2756, l2 loss = 2.01567 (max 14.95), (true 336, predicted [299])
attack: step 7/30, xent loss = 16.2981, l2 loss = 2.46848 (max 14.95), (true 336, predicted [299])
attack: step 8/30, xent loss = 11.8522, l2 loss = 3.1531 (max 14.95), (true 336, predicted [299])
attack: step 9/30, xent loss = 13.1859, l2 loss = 4.22668 (max 14.95), (true 336, predicted [299])
attack: step 10/30, xent loss = 18.5925, l2 loss = 4.43793 (max 14.95), (true 336, predicted [299])
attack: step 11/30, xent loss = 21.2151, l2 loss = 4.68156 (max 14.95), (true 336, predicted [299])
attack: step 12/30, xent loss = 22.5727, l2 loss = 4.98283 (max 14.95), (true 336, predicted [299])
attack: step 13/30, xent loss = 24.3115, l2 loss = 5.33999 (max 14.95), (true 336, predicted [299])
attack: step 14/30, xent loss = 22.1773, l2 loss = 5.69935 (max 14.95), (true 336, predicted [299])
attack: step 15/30, xent loss = 22.9287, l2 loss = 6.22509 (max 14.95), (true 336, predicted [299])
attack: step 16/30, xent loss = 20.5024, l2 loss = 6.79369 (max 14.95), (true 336, predicted [299])
attack: step 17/30, xent loss = 26.3698, l2 loss = 7.09632 (max 14.95), (true 336, predicted [299])
attack: step 18/30, xent loss = 20.3394, l2 loss = 7.38868 (max 14.95), (true 336, predicted [299])
attack: step 19/30, xent loss = 29.058, l2 loss = 7.68206 (max 14.95), (true 336, predicted [299])
attack: step 20/30, xent loss = 27.9814, l2 loss = 7.97587 (max 14.95), (true 336, predicted [299])
attack: step 21/30, xent loss = 34.4537, l2 loss = 8.21434 (max 14.95), (true 336, predicted [299])
attack: step 22/30, xent loss = 29.3652, l2 loss = 8.51476 (max 14.95), (true 336, predicted [299])
attack: step 23/30, xent loss = 32.3854, l2 loss = 8.89963 (max 14.95), (true 336, predicted [299])
attack: step 24/30, xent loss = 26.3128, l2 loss = 9.31514 (max 14.95), (true 336, predicted [299])
attack: step 25/30, xent loss = 34.1383, l2 loss = 9.64916 (max 14.95), (true 336, predicted [299])
attack: step 26/30, xent loss = 32.4829, l2 loss = 9.99371 (max 14.95), (true 336, predicted [299])
attack: step 27/30, xent loss = 30.9377, l2 loss = 10.3118 (max 14.95), (true 336, predicted [299])
attack: step 28/30, xent loss = 25.5992, l2 loss = 10.8268 (max 14.95), (true 336, predicted [299])
attack: step 29/30, xent loss = 39.7078, l2 loss = 10.9703 (max 14.95), (true 336, predicted [299])
attack: step 30/30, xent loss = 35.2076, l2 loss = 11.2482 (max 14.95), (true 336, predicted [299])
true = 336, adv = 552
evaluating 962 of [960, 970)
attack: step 1/30, xent loss = 0.276692, l2 loss = 0 (max 14.95), (true 781, predicted [781])
attack: step 2/30, xent loss = 4.94455, l2 loss = 0.592561 (max 14.95), (true 781, predicted [800])
attack: step 3/30, xent loss = 9.30429, l2 loss = 1.55675 (max 14.95), (true 781, predicted [800])
attack: step 4/30, xent loss = 14.8663, l2 loss = 2.17608 (max 14.95), (true 781, predicted [800])
attack: step 5/30, xent loss = 22.1977, l2 loss = 3.23352 (max 14.95), (true 781, predicted [800])
attack: step 6/30, xent loss = 25.5339, l2 loss = 4.44885 (max 14.95), (true 781, predicted [800])
attack: step 7/30, xent loss = 23.4861, l2 loss = 5.92412 (max 14.95), (true 781, predicted [800])
attack: step 8/30, xent loss = 25.8754, l2 loss = 6.62103 (max 14.95), (true 781, predicted [800])
attack: step 9/30, xent loss = 29.5082, l2 loss = 7.55001 (max 14.95), (true 781, predicted [800])
attack: step 10/30, xent loss = 30.0686, l2 loss = 8.06374 (max 14.95), (true 781, predicted [800])
attack: step 11/30, xent loss = 25.2106, l2 loss = 9.07103 (max 14.95), (true 781, predicted [800])
attack: step 12/30, xent loss = 36.4469, l2 loss = 9.49563 (max 14.95), (true 781, predicted [800])
attack: step 13/30, xent loss = 39.6968, l2 loss = 9.93233 (max 14.95), (true 781, predicted [800])
attack: step 14/30, xent loss = 40.1201, l2 loss = 10.598 (max 14.95), (true 781, predicted [800])
attack: step 15/30, xent loss = 45.3902, l2 loss = 11.0383 (max 14.95), (true 781, predicted [800])
attack: step 16/30, xent loss = 43.8519, l2 loss = 11.4882 (max 14.95), (true 781, predicted [800])
attack: step 17/30, xent loss = 44.8586, l2 loss = 11.8911 (max 14.95), (true 781, predicted [800])
attack: step 18/30, xent loss = 40.6287, l2 loss = 12.6465 (max 14.95), (true 781, predicted [800])
attack: step 19/30, xent loss = 49.3631, l2 loss = 12.979 (max 14.95), (true 781, predicted [800])
attack: step 20/30, xent loss = 48.9405, l2 loss = 13.378 (max 14.95), (true 781, predicted [800])
attack: step 21/30, xent loss = 54.3702, l2 loss = 13.6987 (max 14.95), (true 781, predicted [800])
attack: step 22/30, xent loss = 48.8801, l2 loss = 14.2094 (max 14.95), (true 781, predicted [800])
attack: step 23/30, xent loss = 49.3417, l2 loss = 14.7745 (max 14.95), (true 781, predicted [800])
attack: step 24/30, xent loss = 57.8824, l2 loss = 15.1034 (max 14.95), (true 781, predicted [800])
attack: step 25/30, xent loss = 58.4972, l2 loss = 15.3868 (max 14.95), (true 781, predicted [800])
attack: step 26/30, xent loss = 57.7635, l2 loss = 15.7821 (max 14.95), (true 781, predicted [800])
attack: step 27/30, xent loss = 60.3337, l2 loss = 16.2166 (max 14.95), (true 781, predicted [800])
attack: step 28/30, xent loss = 66.5206, l2 loss = 16.5101 (max 14.95), (true 781, predicted [800])
attack: step 29/30, xent loss = 61.2068, l2 loss = 16.8577 (max 14.95), (true 781, predicted [800])
attack: step 30/30, xent loss = 55.4436, l2 loss = 17.4218 (max 14.95), (true 781, predicted [800])
check failed
true = 781, adv = 800
evaluating 963 of [960, 970)
attack: step 1/30, xent loss = 0.0123029, l2 loss = 0 (max 14.95), (true 863, predicted [863])
attack: step 2/30, xent loss = 0.0139777, l2 loss = 0.0126586 (max 14.95), (true 863, predicted [863])
attack: step 3/30, xent loss = 0.0161507, l2 loss = 0.0266799 (max 14.95), (true 863, predicted [863])
attack: step 4/30, xent loss = 0.0190953, l2 loss = 0.0431755 (max 14.95), (true 863, predicted [863])
attack: step 5/30, xent loss = 0.0230072, l2 loss = 0.0618446 (max 14.95), (true 863, predicted [863])
attack: step 6/30, xent loss = 0.0287206, l2 loss = 0.083867 (max 14.95), (true 863, predicted [863])
attack: step 7/30, xent loss = 0.0381742, l2 loss = 0.112081 (max 14.95), (true 863, predicted [863])
attack: step 8/30, xent loss = 0.0549915, l2 loss = 0.148256 (max 14.95), (true 863, predicted [863])
attack: step 9/30, xent loss = 0.0935889, l2 loss = 0.200822 (max 14.95), (true 863, predicted [863])
attack: step 10/30, xent loss = 0.208409, l2 loss = 0.284965 (max 14.95), (true 863, predicted [863])
attack: step 11/30, xent loss = 0.741859, l2 loss = 0.456116 (max 14.95), (true 863, predicted [863])
attack: step 12/30, xent loss = 3.29504, l2 loss = 0.854716 (max 14.95), (true 863, predicted [863])
attack: step 13/30, xent loss = 5.69815, l2 loss = 1.46112 (max 14.95), (true 863, predicted [498])
attack: step 14/30, xent loss = 6.72868, l2 loss = 1.71742 (max 14.95), (true 863, predicted [976])
attack: step 15/30, xent loss = 6.86561, l2 loss = 1.7439 (max 14.95), (true 863, predicted [976])
attack: step 16/30, xent loss = 6.92483, l2 loss = 1.76196 (max 14.95), (true 863, predicted [976])
attack: step 17/30, xent loss = 6.96852, l2 loss = 1.78083 (max 14.95), (true 863, predicted [976])
attack: step 18/30, xent loss = 7.00672, l2 loss = 1.79733 (max 14.95), (true 863, predicted [976])
attack: step 19/30, xent loss = 7.03997, l2 loss = 1.81529 (max 14.95), (true 863, predicted [976])
attack: step 20/30, xent loss = 7.07014, l2 loss = 1.83321 (max 14.95), (true 863, predicted [976])
