2019-05-30 16:00:52.707903: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 16:00:52.934731: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599965000 Hz
2019-05-30 16:00:52.936200: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6fbdd20 executing computations on platform Host. Devices:
2019-05-30 16:00:52.936303: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 16:00:52.937562: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 0 of [0, 10)
attack: step 1/30, xent loss = 0.0895496, l2 loss = 0 (max 14.95), (true 349, predicted [349])
attack: step 2/30, xent loss = 1.44823, l2 loss = 0.18621 (max 14.95), (true 349, predicted [349])
attack: step 3/30, xent loss = 8.43928, l2 loss = 1.71615 (max 14.95), (true 349, predicted [203])
attack: step 4/30, xent loss = 12.9775, l2 loss = 2.16394 (max 14.95), (true 349, predicted [203])
attack: step 5/30, xent loss = 15.1787, l2 loss = 3.15764 (max 14.95), (true 349, predicted [203])
attack: step 6/30, xent loss = 19.0339, l2 loss = 3.68455 (max 14.95), (true 349, predicted [203])
attack: step 7/30, xent loss = 16.9682, l2 loss = 4.48533 (max 14.95), (true 349, predicted [203])
attack: step 8/30, xent loss = 15.9772, l2 loss = 5.15409 (max 14.95), (true 349, predicted [203])
attack: step 9/30, xent loss = 23.0754, l2 loss = 5.76985 (max 14.95), (true 349, predicted [203])
attack: step 10/30, xent loss = 24.5536, l2 loss = 6.3554 (max 14.95), (true 349, predicted [203])
attack: step 11/30, xent loss = 28.7014, l2 loss = 6.84359 (max 14.95), (true 349, predicted [203])
attack: step 12/30, xent loss = 21.4268, l2 loss = 7.53668 (max 14.95), (true 349, predicted [203])
attack: step 13/30, xent loss = 27.0416, l2 loss = 8.26375 (max 14.95), (true 349, predicted [203])
attack: step 14/30, xent loss = 25.783, l2 loss = 8.61513 (max 14.95), (true 349, predicted [203])
attack: step 15/30, xent loss = 31.1815, l2 loss = 8.93414 (max 14.95), (true 349, predicted [203])
attack: step 16/30, xent loss = 26.7751, l2 loss = 9.33871 (max 14.95), (true 349, predicted [203])
attack: step 17/30, xent loss = 35.6629, l2 loss = 9.7379 (max 14.95), (true 349, predicted [203])
attack: step 18/30, xent loss = 21.1088, l2 loss = 10.0849 (max 14.95), (true 349, predicted [203])
attack: step 19/30, xent loss = 30.0747, l2 loss = 10.8619 (max 14.95), (true 349, predicted [203])
attack: step 20/30, xent loss = 28.4804, l2 loss = 11.0351 (max 14.95), (true 349, predicted [203])
attack: step 21/30, xent loss = 33.0347, l2 loss = 11.4634 (max 14.95), (true 349, predicted [203])
attack: step 22/30, xent loss = 38.3486, l2 loss = 11.6668 (max 14.95), (true 349, predicted [203])
attack: step 23/30, xent loss = 34.254, l2 loss = 11.959 (max 14.95), (true 349, predicted [203])
attack: step 24/30, xent loss = 45.6157, l2 loss = 12.154 (max 14.95), (true 349, predicted [203])
attack: step 25/30, xent loss = 44.023, l2 loss = 12.4425 (max 14.95), (true 349, predicted [203])
attack: step 26/30, xent loss = 39.9081, l2 loss = 12.7715 (max 14.95), (true 349, predicted [203])
attack: step 27/30, xent loss = 37.5807, l2 loss = 13.0621 (max 14.95), (true 349, predicted [203])
attack: step 28/30, xent loss = 35.1342, l2 loss = 13.78 (max 14.95), (true 349, predicted [203])
attack: step 29/30, xent loss = 41.3427, l2 loss = 13.9018 (max 14.95), (true 349, predicted [203])
attack: step 30/30, xent loss = 39.5141, l2 loss = 14.4681 (max 14.95), (true 349, predicted [203])
true = 349, adv = 99
evaluating 1 of [0, 10)
attack: step 1/30, xent loss = 0.116798, l2 loss = 0 (max 14.95), (true 662, predicted [662])
attack: step 2/30, xent loss = 7.84708, l2 loss = 0.868203 (max 14.95), (true 662, predicted [761])
attack: step 3/30, xent loss = 1.00816, l2 loss = 9.34467 (max 14.95), (true 662, predicted [662])
attack: step 4/30, xent loss = 8.16405, l2 loss = 9.824 (max 14.95), (true 662, predicted [700])
attack: step 5/30, xent loss = 19.1688, l2 loss = 10.364 (max 14.95), (true 662, predicted [700])
attack: step 6/30, xent loss = 29.5428, l2 loss = 12.077 (max 14.95), (true 662, predicted [700])
attack: step 7/30, xent loss = 33.3379, l2 loss = 14.3161 (max 14.95), (true 662, predicted [700])
attack: step 8/30, xent loss = 43.7043, l2 loss = 15.7234 (max 14.95), (true 662, predicted [700])
attack: step 9/30, xent loss = 43.259, l2 loss = 17.1857 (max 14.95), (true 662, predicted [700])
attack: step 10/30, xent loss = 47.8843, l2 loss = 18.2151 (max 14.95), (true 662, predicted [700])
attack: step 11/30, xent loss = 56.4475, l2 loss = 19.4047 (max 14.95), (true 662, predicted [700])
attack: step 12/30, xent loss = 61.6777, l2 loss = 20.2732 (max 14.95), (true 662, predicted [700])
attack: step 13/30, xent loss = 54.5929, l2 loss = 21.2028 (max 14.95), (true 662, predicted [700])
attack: step 14/30, xent loss = 65.7675, l2 loss = 22.119 (max 14.95), (true 662, predicted [700])
attack: step 15/30, xent loss = 54.6459, l2 loss = 22.8342 (max 14.95), (true 662, predicted [700])
attack: step 16/30, xent loss = 58.9937, l2 loss = 24.0145 (max 14.95), (true 662, predicted [700])
attack: step 17/30, xent loss = 63.7574, l2 loss = 24.5936 (max 14.95), (true 662, predicted [700])
attack: step 18/30, xent loss = 75.6085, l2 loss = 25.2373 (max 14.95), (true 662, predicted [700])
attack: step 19/30, xent loss = 80.6006, l2 loss = 25.7844 (max 14.95), (true 662, predicted [700])
attack: step 20/30, xent loss = 95.0272, l2 loss = 26.2693 (max 14.95), (true 662, predicted [700])
attack: step 21/30, xent loss = 87.9545, l2 loss = 26.7987 (max 14.95), (true 662, predicted [700])
attack: step 22/30, xent loss = 99.3678, l2 loss = 27.3101 (max 14.95), (true 662, predicted [700])
attack: step 23/30, xent loss = 92.2788, l2 loss = 27.9161 (max 14.95), (true 662, predicted [700])
attack: step 24/30, xent loss = 98.6755, l2 loss = 28.4638 (max 14.95), (true 662, predicted [700])
attack: step 25/30, xent loss = 101.038, l2 loss = 29.0254 (max 14.95), (true 662, predicted [700])
attack: step 26/30, xent loss = 109.368, l2 loss = 29.4743 (max 14.95), (true 662, predicted [700])
attack: step 27/30, xent loss = 110.39, l2 loss = 30.0951 (max 14.95), (true 662, predicted [700])
attack: step 28/30, xent loss = 115.751, l2 loss = 30.5821 (max 14.95), (true 662, predicted [700])
attack: step 29/30, xent loss = 119.132, l2 loss = 30.9899 (max 14.95), (true 662, predicted [700])
attack: step 30/30, xent loss = 117.389, l2 loss = 31.4796 (max 14.95), (true 662, predicted [700])
check failed
true = 662, adv = 700
evaluating 2 of [0, 10)
attack: step 1/30, xent loss = 3.86207, l2 loss = 0 (max 14.95), (true 970, predicted [825])
attack: step 2/30, xent loss = 9.57253, l2 loss = 3.48428 (max 14.95), (true 970, predicted [265])
attack: step 3/30, xent loss = 10.113, l2 loss = 4.41666 (max 14.95), (true 970, predicted [284])
attack: step 4/30, xent loss = 11.8133, l2 loss = 5.21679 (max 14.95), (true 970, predicted [181])
attack: step 5/30, xent loss = 12.7863, l2 loss = 5.5979 (max 14.95), (true 970, predicted [181])
attack: step 6/30, xent loss = 11.948, l2 loss = 6.25393 (max 14.95), (true 970, predicted [109])
attack: step 7/30, xent loss = 15.7843, l2 loss = 6.60185 (max 14.95), (true 970, predicted [109])
attack: step 8/30, xent loss = 15.4323, l2 loss = 7.69447 (max 14.95), (true 970, predicted [109])
attack: step 9/30, xent loss = 15.2301, l2 loss = 9.02378 (max 14.95), (true 970, predicted [109])
attack: step 10/30, xent loss = 18.3545, l2 loss = 9.72946 (max 14.95), (true 970, predicted [109])
attack: step 11/30, xent loss = 11.5777, l2 loss = 10.0425 (max 14.95), (true 970, predicted [857])
attack: step 12/30, xent loss = 24.8746, l2 loss = 10.2162 (max 14.95), (true 970, predicted [109])
attack: step 13/30, xent loss = 22.152, l2 loss = 10.8741 (max 14.95), (true 970, predicted [109])
attack: step 14/30, xent loss = 18.0267, l2 loss = 11.3627 (max 14.95), (true 970, predicted [109])
attack: step 15/30, xent loss = 25.6945, l2 loss = 12.0162 (max 14.95), (true 970, predicted [109])
attack: step 16/30, xent loss = 35.8448, l2 loss = 12.1881 (max 14.95), (true 970, predicted [109])
attack: step 17/30, xent loss = 28.6178, l2 loss = 12.7504 (max 14.95), (true 970, predicted [109])
attack: step 18/30, xent loss = 23.9759, l2 loss = 13.2993 (max 14.95), (true 970, predicted [109])
attack: step 19/30, xent loss = 40.0914, l2 loss = 13.8772 (max 14.95), (true 970, predicted [109])
attack: step 20/30, xent loss = 34.1303, l2 loss = 14.4218 (max 14.95), (true 970, predicted [109])
attack: step 21/30, xent loss = 31.7854, l2 loss = 15.1215 (max 14.95), (true 970, predicted [109])
attack: step 22/30, xent loss = 42.0452, l2 loss = 15.6018 (max 14.95), (true 970, predicted [109])
attack: step 23/30, xent loss = 45.3553, l2 loss = 16.1247 (max 14.95), (true 970, predicted [109])
attack: step 24/30, xent loss = 42.8511, l2 loss = 16.4229 (max 14.95), (true 970, predicted [109])
attack: step 25/30, xent loss = 48.0404, l2 loss = 16.8183 (max 14.95), (true 970, predicted [109])
attack: step 26/30, xent loss = 38.8148, l2 loss = 17.4898 (max 14.95), (true 970, predicted [109])
attack: step 27/30, xent loss = 47.3644, l2 loss = 17.8777 (max 14.95), (true 970, predicted [109])
attack: step 28/30, xent loss = 48.8197, l2 loss = 18.3234 (max 14.95), (true 970, predicted [109])
attack: step 29/30, xent loss = 48.399, l2 loss = 18.6879 (max 14.95), (true 970, predicted [109])
attack: step 30/30, xent loss = 46.0715, l2 loss = 19.2818 (max 14.95), (true 970, predicted [109])
check failed
true = 970, adv = 552
evaluating 3 of [0, 10)
attack: step 1/30, xent loss = 2.71242, l2 loss = 0 (max 14.95), (true 420, predicted [457])
attack: step 2/30, xent loss = 11.131, l2 loss = 6.77445 (max 14.95), (true 420, predicted [457])
attack: step 3/30, xent loss = 17.4903, l2 loss = 8.45335 (max 14.95), (true 420, predicted [457])
attack: step 4/30, xent loss = 22.0621, l2 loss = 9.87925 (max 14.95), (true 420, predicted [457])
attack: step 5/30, xent loss = 13.6669, l2 loss = 10.8169 (max 14.95), (true 420, predicted [457])
attack: step 6/30, xent loss = 25.55, l2 loss = 12.3843 (max 14.95), (true 420, predicted [457])
attack: step 7/30, xent loss = 26.4921, l2 loss = 13.0069 (max 14.95), (true 420, predicted [457])
attack: step 8/30, xent loss = 23.9581, l2 loss = 13.7098 (max 14.95), (true 420, predicted [457])
attack: step 9/30, xent loss = 30.1891, l2 loss = 14.5586 (max 14.95), (true 420, predicted [457])
attack: step 10/30, xent loss = 33.2084, l2 loss = 15.1064 (max 14.95), (true 420, predicted [457])
attack: step 11/30, xent loss = 37.5125, l2 loss = 15.5701 (max 14.95), (true 420, predicted [457])
attack: step 12/30, xent loss = 38.3768, l2 loss = 16.1135 (max 14.95), (true 420, predicted [457])
attack: step 13/30, xent loss = 41.0051, l2 loss = 16.6185 (max 14.95), (true 420, predicted [457])
attack: step 14/30, xent loss = 39.1611, l2 loss = 17.3416 (max 14.95), (true 420, predicted [457])
attack: step 15/30, xent loss = 44.3264, l2 loss = 17.9216 (max 14.95), (true 420, predicted [457])
attack: step 16/30, xent loss = 47.405, l2 loss = 18.5123 (max 14.95), (true 420, predicted [457])
attack: step 17/30, xent loss = 57.996, l2 loss = 19.2469 (max 14.95), (true 420, predicted [457])
attack: step 18/30, xent loss = 62.6126, l2 loss = 19.9306 (max 14.95), (true 420, predicted [457])
attack: step 19/30, xent loss = 54.1005, l2 loss = 20.7642 (max 14.95), (true 420, predicted [457])
attack: step 20/30, xent loss = 65.7564, l2 loss = 21.3948 (max 14.95), (true 420, predicted [457])
attack: step 21/30, xent loss = 64.8475, l2 loss = 22.0396 (max 14.95), (true 420, predicted [457])
attack: step 22/30, xent loss = 74.143, l2 loss = 22.6782 (max 14.95), (true 420, predicted [457])
attack: step 23/30, xent loss = 77.491, l2 loss = 23.0919 (max 14.95), (true 420, predicted [457])
attack: step 24/30, xent loss = 68.7356, l2 loss = 23.8678 (max 14.95), (true 420, predicted [457])
attack: step 25/30, xent loss = 74.3112, l2 loss = 24.3356 (max 14.95), (true 420, predicted [457])
attack: step 26/30, xent loss = 71.746, l2 loss = 25.1169 (max 14.95), (true 420, predicted [457])
attack: step 27/30, xent loss = 70.8117, l2 loss = 25.8158 (max 14.95), (true 420, predicted [457])
attack: step 28/30, xent loss = 69.2181, l2 loss = 26.5586 (max 14.95), (true 420, predicted [457])
attack: step 29/30, xent loss = 89.993, l2 loss = 26.913 (max 14.95), (true 420, predicted [457])
attack: step 30/30, xent loss = 91.6667, l2 loss = 27.2831 (max 14.95), (true 420, predicted [457])
check failed
true = 420, adv = 652
evaluating 4 of [0, 10)
attack: step 1/30, xent loss = 0.0223403, l2 loss = 0 (max 14.95), (true 107, predicted [107])
attack: step 2/30, xent loss = 0.0266801, l2 loss = 0.0204404 (max 14.95), (true 107, predicted [107])
attack: step 3/30, xent loss = 0.0322022, l2 loss = 0.0430706 (max 14.95), (true 107, predicted [107])
attack: step 4/30, xent loss = 0.0402475, l2 loss = 0.0690787 (max 14.95), (true 107, predicted [107])
attack: step 5/30, xent loss = 0.0536029, l2 loss = 0.101798 (max 14.95), (true 107, predicted [107])
attack: step 6/30, xent loss = 0.076475, l2 loss = 0.144076 (max 14.95), (true 107, predicted [107])
attack: step 7/30, xent loss = 0.124625, l2 loss = 0.200581 (max 14.95), (true 107, predicted [107])
attack: step 8/30, xent loss = 0.271812, l2 loss = 0.29253 (max 14.95), (true 107, predicted [107])
attack: step 9/30, xent loss = 0.782916, l2 loss = 0.460502 (max 14.95), (true 107, predicted [107])
attack: step 10/30, xent loss = 5.68308, l2 loss = 0.836274 (max 14.95), (true 107, predicted [117])
attack: step 11/30, xent loss = 14.8315, l2 loss = 2.75373 (max 14.95), (true 107, predicted [117])
attack: step 12/30, xent loss = 15.1198, l2 loss = 4.00753 (max 14.95), (true 107, predicted [117])
attack: step 13/30, xent loss = 19.5503, l2 loss = 5.05885 (max 14.95), (true 107, predicted [117])
attack: step 14/30, xent loss = 17.1738, l2 loss = 6.04857 (max 14.95), (true 107, predicted [117])
attack: step 15/30, xent loss = 19.7928, l2 loss = 6.61166 (max 14.95), (true 107, predicted [117])
attack: step 16/30, xent loss = 21.1299, l2 loss = 7.54687 (max 14.95), (true 107, predicted [117])
attack: step 17/30, xent loss = 29.1409, l2 loss = 8.00269 (max 14.95), (true 107, predicted [117])
attack: step 18/30, xent loss = 22.8671, l2 loss = 8.8395 (max 14.95), (true 107, predicted [117])
attack: step 19/30, xent loss = 32.4589, l2 loss = 9.57677 (max 14.95), (true 107, predicted [117])
attack: step 20/30, xent loss = 34.6921, l2 loss = 10.0868 (max 14.95), (true 107, predicted [117])
attack: step 21/30, xent loss = 45.4958, l2 loss = 10.5121 (max 14.95), (true 107, predicted [117])
attack: step 22/30, xent loss = 30.885, l2 loss = 11.3089 (max 14.95), (true 107, predicted [117])
attack: step 23/30, xent loss = 44.8335, l2 loss = 11.7152 (max 14.95), (true 107, predicted [117])
attack: step 24/30, xent loss = 42.1661, l2 loss = 12.4739 (max 14.95), (true 107, predicted [117])
attack: step 25/30, xent loss = 42.1879, l2 loss = 13.1745 (max 14.95), (true 107, predicted [117])
attack: step 26/30, xent loss = 43.8613, l2 loss = 14.077 (max 14.95), (true 107, predicted [117])
attack: step 27/30, xent loss = 39.0537, l2 loss = 14.8388 (max 14.95), (true 107, predicted [117])
attack: step 28/30, xent loss = 43.2923, l2 loss = 15.2929 (max 14.95), (true 107, predicted [117])
attack: step 29/30, xent loss = 46.9445, l2 loss = 15.9004 (max 14.95), (true 107, predicted [117])
attack: step 30/30, xent loss = 50.8521, l2 loss = 16.3129 (max 14.95), (true 107, predicted [117])
check failed
true = 107, adv = 107
evaluating 5 of [0, 10)
attack: step 1/30, xent loss = 2.13389, l2 loss = 0 (max 14.95), (true 383, predicted [853])
attack: step 2/30, xent loss = 8.30636, l2 loss = 2.42546 (max 14.95), (true 383, predicted [853])
attack: step 3/30, xent loss = 10.1945, l2 loss = 2.47678 (max 14.95), (true 383, predicted [853])
attack: step 4/30, xent loss = 12.5674, l2 loss = 2.65137 (max 14.95), (true 383, predicted [853])
attack: step 5/30, xent loss = 12.3367, l2 loss = 3.00691 (max 14.95), (true 383, predicted [853])
attack: step 6/30, xent loss = 15.965, l2 loss = 3.34444 (max 14.95), (true 383, predicted [853])
attack: step 7/30, xent loss = 16.9146, l2 loss = 3.79033 (max 14.95), (true 383, predicted [853])
attack: step 8/30, xent loss = 14.8332, l2 loss = 4.22193 (max 14.95), (true 383, predicted [853])
attack: step 9/30, xent loss = 13.8596, l2 loss = 6.03611 (max 14.95), (true 383, predicted [853])
attack: step 10/30, xent loss = 21.0692, l2 loss = 6.25228 (max 14.95), (true 383, predicted [853])
attack: step 11/30, xent loss = 22.4486, l2 loss = 6.52468 (max 14.95), (true 383, predicted [853])
attack: step 12/30, xent loss = 24.556, l2 loss = 6.96899 (max 14.95), (true 383, predicted [853])
attack: step 13/30, xent loss = 29.4937, l2 loss = 7.59273 (max 14.95), (true 383, predicted [853])
attack: step 14/30, xent loss = 29.7817, l2 loss = 7.9469 (max 14.95), (true 383, predicted [853])
attack: step 15/30, xent loss = 31.88, l2 loss = 8.55291 (max 14.95), (true 383, predicted [853])
attack: step 16/30, xent loss = 28.5809, l2 loss = 8.97037 (max 14.95), (true 383, predicted [853])
attack: step 17/30, xent loss = 20.3639, l2 loss = 10.5402 (max 14.95), (true 383, predicted [853])
attack: step 18/30, xent loss = 30.9651, l2 loss = 10.7308 (max 14.95), (true 383, predicted [853])
attack: step 19/30, xent loss = 36.0234, l2 loss = 11.0915 (max 14.95), (true 383, predicted [853])
attack: step 20/30, xent loss = 32.5791, l2 loss = 11.5713 (max 14.95), (true 383, predicted [853])
attack: step 21/30, xent loss = 31.9652, l2 loss = 11.9072 (max 14.95), (true 383, predicted [853])
attack: step 22/30, xent loss = 29.3367, l2 loss = 12.6196 (max 14.95), (true 383, predicted [853])
attack: step 23/30, xent loss = 36.2209, l2 loss = 13.0629 (max 14.95), (true 383, predicted [853])
attack: step 24/30, xent loss = 39.4677, l2 loss = 13.3429 (max 14.95), (true 383, predicted [853])
attack: step 25/30, xent loss = 39.1308, l2 loss = 13.7208 (max 14.95), (true 383, predicted [853])
attack: step 26/30, xent loss = 45.219, l2 loss = 13.9981 (max 14.95), (true 383, predicted [853])
attack: step 27/30, xent loss = 44.6454, l2 loss = 14.3229 (max 14.95), (true 383, predicted [853])
attack: step 28/30, xent loss = 41.7327, l2 loss = 14.811 (max 14.95), (true 383, predicted [853])
attack: step 29/30, xent loss = 50.2098, l2 loss = 15.1113 (max 14.95), (true 383, predicted [853])
attack: step 30/30, xent loss = 41.4059, l2 loss = 15.4463 (max 14.95), (true 383, predicted [853])
check failed
true = 383, adv = 599
evaluating 6 of [0, 10)
attack: step 1/30, xent loss = 0.0758025, l2 loss = 0 (max 14.95), (true 388, predicted [388])
attack: step 2/30, xent loss = 0.43525, l2 loss = 0.1313 (max 14.95), (true 388, predicted [388])
attack: step 3/30, xent loss = 11.1417, l2 loss = 0.823754 (max 14.95), (true 388, predicted [791])
attack: step 4/30, xent loss = 19.2964, l2 loss = 3.57068 (max 14.95), (true 388, predicted [791])
attack: step 5/30, xent loss = 21.9443, l2 loss = 5.07193 (max 14.95), (true 388, predicted [791])
attack: step 6/30, xent loss = 21.6893, l2 loss = 6.70454 (max 14.95), (true 388, predicted [791])
attack: step 7/30, xent loss = 25.805, l2 loss = 7.54664 (max 14.95), (true 388, predicted [791])
attack: step 8/30, xent loss = 30.0902, l2 loss = 8.65571 (max 14.95), (true 388, predicted [791])
attack: step 9/30, xent loss = 26.6544, l2 loss = 9.82079 (max 14.95), (true 388, predicted [791])
attack: step 10/30, xent loss = 30.7396, l2 loss = 10.7643 (max 14.95), (true 388, predicted [791])
attack: step 11/30, xent loss = 40.7511, l2 loss = 11.6301 (max 14.95), (true 388, predicted [791])
attack: step 12/30, xent loss = 42.0044, l2 loss = 12.5077 (max 14.95), (true 388, predicted [791])
