2019-05-30 16:00:52.707566: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 16:00:52.942366: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600115000 Hz
2019-05-30 16:00:52.945727: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6e4b0c0 executing computations on platform Host. Devices:
2019-05-30 16:00:52.945769: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 16:00:52.947603: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 80 of [80, 90)
attack: step 1/30, xent loss = 0.00427464, l2 loss = 0 (max 14.95), (true 821, predicted [821])
attack: step 2/30, xent loss = 0.00454832, l2 loss = 0.00516736 (max 14.95), (true 821, predicted [821])
attack: step 3/30, xent loss = 0.00485752, l2 loss = 0.0106277 (max 14.95), (true 821, predicted [821])
attack: step 4/30, xent loss = 0.00521015, l2 loss = 0.0164124 (max 14.95), (true 821, predicted [821])
attack: step 5/30, xent loss = 0.00563876, l2 loss = 0.0227476 (max 14.95), (true 821, predicted [821])
attack: step 6/30, xent loss = 0.00617086, l2 loss = 0.0298094 (max 14.95), (true 821, predicted [821])
attack: step 7/30, xent loss = 0.00681292, l2 loss = 0.0374792 (max 14.95), (true 821, predicted [821])
attack: step 8/30, xent loss = 0.00760718, l2 loss = 0.0460977 (max 14.95), (true 821, predicted [821])
attack: step 9/30, xent loss = 0.00855094, l2 loss = 0.0553867 (max 14.95), (true 821, predicted [821])
attack: step 10/30, xent loss = 0.00968165, l2 loss = 0.0654806 (max 14.95), (true 821, predicted [821])
attack: step 11/30, xent loss = 0.0110607, l2 loss = 0.0765074 (max 14.95), (true 821, predicted [821])
attack: step 12/30, xent loss = 0.0127761, l2 loss = 0.0887059 (max 14.95), (true 821, predicted [821])
