2019-05-30 16:00:52.713339: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 16:00:52.722546: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599975000 Hz
2019-05-30 16:00:52.722748: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6e49fc0 executing computations on platform Host. Devices:
2019-05-30 16:00:52.722781: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 16:00:52.723123: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 440 of [440, 450)
attack: step 1/30, xent loss = 4.71011, l2 loss = 0 (max 14.95), (true 209, predicted [805])
attack: step 2/30, xent loss = 23.4059, l2 loss = 2.88832 (max 14.95), (true 209, predicted [805])
attack: step 3/30, xent loss = 30.197, l2 loss = 4.13674 (max 14.95), (true 209, predicted [805])
attack: step 4/30, xent loss = 28.3085, l2 loss = 5.52143 (max 14.95), (true 209, predicted [805])
attack: step 5/30, xent loss = 37.3669, l2 loss = 6.50317 (max 14.95), (true 209, predicted [805])
attack: step 6/30, xent loss = 50.2818, l2 loss = 7.55446 (max 14.95), (true 209, predicted [805])
attack: step 7/30, xent loss = 32.4727, l2 loss = 9.23787 (max 14.95), (true 209, predicted [805])
attack: step 8/30, xent loss = 39.0034, l2 loss = 11.6031 (max 14.95), (true 209, predicted [805])
attack: step 9/30, xent loss = 52.1265, l2 loss = 12.5041 (max 14.95), (true 209, predicted [805])
attack: step 10/30, xent loss = 62.5629, l2 loss = 13.2583 (max 14.95), (true 209, predicted [805])
attack: step 11/30, xent loss = 53.6969, l2 loss = 14.4563 (max 14.95), (true 209, predicted [805])
attack: step 12/30, xent loss = 61.9356, l2 loss = 15.923 (max 14.95), (true 209, predicted [805])
attack: step 13/30, xent loss = 52.3034, l2 loss = 17.1572 (max 14.95), (true 209, predicted [805])
attack: step 14/30, xent loss = 69.7888, l2 loss = 17.9585 (max 14.95), (true 209, predicted [805])
attack: step 15/30, xent loss = 90.3202, l2 loss = 18.5123 (max 14.95), (true 209, predicted [805])
attack: step 16/30, xent loss = 102.04, l2 loss = 19.1105 (max 14.95), (true 209, predicted [805])
attack: step 17/30, xent loss = 73.5643, l2 loss = 20.0399 (max 14.95), (true 209, predicted [805])
attack: step 18/30, xent loss = 66.5322, l2 loss = 21.1396 (max 14.95), (true 209, predicted [805])
attack: step 19/30, xent loss = 97.2778, l2 loss = 21.6604 (max 14.95), (true 209, predicted [805])
attack: step 20/30, xent loss = 106.586, l2 loss = 22.307 (max 14.95), (true 209, predicted [805])
attack: step 21/30, xent loss = 90.6336, l2 loss = 22.9563 (max 14.95), (true 209, predicted [805])
attack: step 22/30, xent loss = 105.667, l2 loss = 23.7446 (max 14.95), (true 209, predicted [805])
attack: step 23/30, xent loss = 96.4935, l2 loss = 24.401 (max 14.95), (true 209, predicted [805])
attack: step 24/30, xent loss = 127.166, l2 loss = 25.0195 (max 14.95), (true 209, predicted [805])
attack: step 25/30, xent loss = 121.087, l2 loss = 25.6521 (max 14.95), (true 209, predicted [805])
attack: step 26/30, xent loss = 115.514, l2 loss = 26.1915 (max 14.95), (true 209, predicted [805])
attack: step 27/30, xent loss = 126.555, l2 loss = 26.8169 (max 14.95), (true 209, predicted [805])
attack: step 28/30, xent loss = 139.024, l2 loss = 27.3271 (max 14.95), (true 209, predicted [805])
attack: step 29/30, xent loss = 134.907, l2 loss = 28.0719 (max 14.95), (true 209, predicted [805])
attack: step 30/30, xent loss = 150.581, l2 loss = 28.6793 (max 14.95), (true 209, predicted [805])
check failed
true = 209, adv = 805
evaluating 441 of [440, 450)
attack: step 1/30, xent loss = 0.566125, l2 loss = 0 (max 14.95), (true 652, predicted [652])
attack: step 2/30, xent loss = 10.0156, l2 loss = 2.39124 (max 14.95), (true 652, predicted [715])
attack: step 3/30, xent loss = 13.9309, l2 loss = 3.69153 (max 14.95), (true 652, predicted [715])
attack: step 4/30, xent loss = 11.4824, l2 loss = 5.24171 (max 14.95), (true 652, predicted [715])
attack: step 5/30, xent loss = 17.8362, l2 loss = 5.92 (max 14.95), (true 652, predicted [715])
attack: step 6/30, xent loss = 22.5248, l2 loss = 6.43281 (max 14.95), (true 652, predicted [715])
