2019-05-30 16:00:52.676833: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 16:00:52.685175: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600020000 Hz
2019-05-30 16:00:52.685364: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6fbce90 executing computations on platform Host. Devices:
2019-05-30 16:00:52.685391: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 16:00:52.685688: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 610 of [610, 620)
attack: step 1/30, xent loss = 4.20753, l2 loss = 0 (max 14.95), (true 977, predicted [978])
attack: step 2/30, xent loss = 8.7319, l2 loss = 2.37137 (max 14.95), (true 977, predicted [978])
attack: step 3/30, xent loss = 11.9982, l2 loss = 3.03319 (max 14.95), (true 977, predicted [978])
attack: step 4/30, xent loss = 12.0228, l2 loss = 3.76195 (max 14.95), (true 977, predicted [976])
attack: step 5/30, xent loss = 12.5582, l2 loss = 5.50342 (max 14.95), (true 977, predicted [976])
attack: step 6/30, xent loss = 13.3647, l2 loss = 6.46545 (max 14.95), (true 977, predicted [976])
attack: step 7/30, xent loss = 16.5738, l2 loss = 7.49013 (max 14.95), (true 977, predicted [978])
attack: step 8/30, xent loss = 18.4237, l2 loss = 7.97792 (max 14.95), (true 977, predicted [978])
attack: step 9/30, xent loss = 14.1899, l2 loss = 8.51568 (max 14.95), (true 977, predicted [978])
attack: step 10/30, xent loss = 11.1596, l2 loss = 9.28205 (max 14.95), (true 977, predicted [978])
attack: step 11/30, xent loss = 23.3531, l2 loss = 9.64763 (max 14.95), (true 977, predicted [978])
attack: step 12/30, xent loss = 25.0758, l2 loss = 9.96129 (max 14.95), (true 977, predicted [978])
attack: step 13/30, xent loss = 22.0884, l2 loss = 10.5757 (max 14.95), (true 977, predicted [978])
attack: step 14/30, xent loss = 28.0637, l2 loss = 10.9038 (max 14.95), (true 977, predicted [978])
attack: step 15/30, xent loss = 27.9058, l2 loss = 11.2731 (max 14.95), (true 977, predicted [978])
attack: step 16/30, xent loss = 28.7838, l2 loss = 11.6232 (max 14.95), (true 977, predicted [978])
attack: step 17/30, xent loss = 26.1324, l2 loss = 11.9201 (max 14.95), (true 977, predicted [978])
attack: step 18/30, xent loss = 25.4487, l2 loss = 12.3749 (max 14.95), (true 977, predicted [978])
attack: step 19/30, xent loss = 30.9793, l2 loss = 12.71 (max 14.95), (true 977, predicted [978])
attack: step 20/30, xent loss = 33.0591, l2 loss = 12.9439 (max 14.95), (true 977, predicted [978])
attack: step 21/30, xent loss = 34.2139, l2 loss = 13.3396 (max 14.95), (true 977, predicted [978])
attack: step 22/30, xent loss = 39.3068, l2 loss = 13.671 (max 14.95), (true 977, predicted [978])
attack: step 23/30, xent loss = 43.8125, l2 loss = 13.8846 (max 14.95), (true 977, predicted [978])
attack: step 24/30, xent loss = 42.4197, l2 loss = 14.06 (max 14.95), (true 977, predicted [978])
attack: step 25/30, xent loss = 32.5744, l2 loss = 14.5973 (max 14.95), (true 977, predicted [978])
attack: step 26/30, xent loss = 41.2299, l2 loss = 14.921 (max 14.95), (true 977, predicted [978])
attack: step 27/30, xent loss = 43.7159, l2 loss = 15.1251 (max 14.95), (true 977, predicted [978])
attack: step 28/30, xent loss = 43.6956, l2 loss = 15.4124 (max 14.95), (true 977, predicted [978])
attack: step 29/30, xent loss = 39.7642, l2 loss = 15.6542 (max 14.95), (true 977, predicted [978])
attack: step 30/30, xent loss = 45.1493, l2 loss = 15.8907 (max 14.95), (true 977, predicted [978])
check failed
true = 977, adv = 978
evaluating 611 of [610, 620)
attack: step 1/30, xent loss = 0.0203152, l2 loss = 0 (max 14.95), (true 707, predicted [707])
attack: step 2/30, xent loss = 0.0477267, l2 loss = 0.042954 (max 14.95), (true 707, predicted [707])
attack: step 3/30, xent loss = 0.254187, l2 loss = 0.135756 (max 14.95), (true 707, predicted [707])
attack: step 4/30, xent loss = 3.67238, l2 loss = 0.578819 (max 14.95), (true 707, predicted [528])
attack: step 5/30, xent loss = 7.86561, l2 loss = 2.18548 (max 14.95), (true 707, predicted [528])
attack: step 6/30, xent loss = 9.08839, l2 loss = 3.25889 (max 14.95), (true 707, predicted [528])
attack: step 7/30, xent loss = 10.0432, l2 loss = 4.38789 (max 14.95), (true 707, predicted [528])
attack: step 8/30, xent loss = 13.0895, l2 loss = 4.92167 (max 14.95), (true 707, predicted [528])
attack: step 9/30, xent loss = 11.1301, l2 loss = 5.85439 (max 14.95), (true 707, predicted [528])
attack: step 10/30, xent loss = 16.2286, l2 loss = 6.30677 (max 14.95), (true 707, predicted [528])
attack: step 11/30, xent loss = 17.6798, l2 loss = 6.94315 (max 14.95), (true 707, predicted [528])
attack: step 12/30, xent loss = 19.1937, l2 loss = 7.54721 (max 14.95), (true 707, predicted [528])
attack: step 13/30, xent loss = 18.8335, l2 loss = 8.24177 (max 14.95), (true 707, predicted [528])
attack: step 14/30, xent loss = 19.2131, l2 loss = 9.01283 (max 14.95), (true 707, predicted [528])
attack: step 15/30, xent loss = 21.5187, l2 loss = 9.75421 (max 14.95), (true 707, predicted [528])
attack: step 16/30, xent loss = 30.7672, l2 loss = 10.0773 (max 14.95), (true 707, predicted [528])
attack: step 17/30, xent loss = 30.0996, l2 loss = 10.4463 (max 14.95), (true 707, predicted [528])
attack: step 18/30, xent loss = 31.7535, l2 loss = 10.9095 (max 14.95), (true 707, predicted [528])
attack: step 19/30, xent loss = 33.5849, l2 loss = 11.2618 (max 14.95), (true 707, predicted [528])
attack: step 20/30, xent loss = 31.2033, l2 loss = 11.631 (max 14.95), (true 707, predicted [528])
attack: step 21/30, xent loss = 34.3445, l2 loss = 12.1822 (max 14.95), (true 707, predicted [528])
attack: step 22/30, xent loss = 37.5563, l2 loss = 12.5598 (max 14.95), (true 707, predicted [528])
attack: step 23/30, xent loss = 31.9642, l2 loss = 12.9967 (max 14.95), (true 707, predicted [528])
attack: step 24/30, xent loss = 35.5857, l2 loss = 13.7104 (max 14.95), (true 707, predicted [528])
attack: step 25/30, xent loss = 43.6539, l2 loss = 13.9993 (max 14.95), (true 707, predicted [528])
attack: step 26/30, xent loss = 50.3603, l2 loss = 14.2688 (max 14.95), (true 707, predicted [528])
attack: step 27/30, xent loss = 46.2644, l2 loss = 14.6356 (max 14.95), (true 707, predicted [528])
attack: step 28/30, xent loss = 55.973, l2 loss = 14.9078 (max 14.95), (true 707, predicted [528])
attack: step 29/30, xent loss = 49.6337, l2 loss = 15.2585 (max 14.95), (true 707, predicted [528])
attack: step 30/30, xent loss = 49.6621, l2 loss = 15.6593 (max 14.95), (true 707, predicted [528])
check failed
true = 707, adv = 480
evaluating 612 of [610, 620)
attack: step 1/30, xent loss = 1.07322, l2 loss = 0 (max 14.95), (true 213, predicted [213])
attack: step 2/30, xent loss = 8.34375, l2 loss = 1.41096 (max 14.95), (true 213, predicted [207])
attack: step 3/30, xent loss = 12.628, l2 loss = 1.8581 (max 14.95), (true 213, predicted [208])
attack: step 4/30, xent loss = 17.1122, l2 loss = 2.63276 (max 14.95), (true 213, predicted [208])
attack: step 5/30, xent loss = 18.4065, l2 loss = 3.32105 (max 14.95), (true 213, predicted [208])
attack: step 6/30, xent loss = 15.3507, l2 loss = 4.03216 (max 14.95), (true 213, predicted [208])
attack: step 7/30, xent loss = 13.7828, l2 loss = 5.0801 (max 14.95), (true 213, predicted [208])
attack: step 8/30, xent loss = 20.3821, l2 loss = 5.48972 (max 14.95), (true 213, predicted [208])
attack: step 9/30, xent loss = 26.0873, l2 loss = 5.7492 (max 14.95), (true 213, predicted [208])
attack: step 10/30, xent loss = 27.956, l2 loss = 6.16561 (max 14.95), (true 213, predicted [208])
attack: step 11/30, xent loss = 28.18, l2 loss = 6.61438 (max 14.95), (true 213, predicted [208])
attack: step 12/30, xent loss = 23.8316, l2 loss = 7.17894 (max 14.95), (true 213, predicted [208])
attack: step 13/30, xent loss = 17.6215, l2 loss = 9.30293 (max 14.95), (true 213, predicted [208])
attack: step 14/30, xent loss = 27.5351, l2 loss = 9.49653 (max 14.95), (true 213, predicted [208])
attack: step 15/30, xent loss = 27.5523, l2 loss = 9.7409 (max 14.95), (true 213, predicted [208])
attack: step 16/30, xent loss = 26.7886, l2 loss = 10.1627 (max 14.95), (true 213, predicted [208])
attack: step 17/30, xent loss = 35.7043, l2 loss = 10.3944 (max 14.95), (true 213, predicted [208])
attack: step 18/30, xent loss = 32.2753, l2 loss = 10.6564 (max 14.95), (true 213, predicted [208])
attack: step 19/30, xent loss = 38.4912, l2 loss = 10.9204 (max 14.95), (true 213, predicted [208])
attack: step 20/30, xent loss = 38.0503, l2 loss = 11.1931 (max 14.95), (true 213, predicted [208])
attack: step 21/30, xent loss = 38.9755, l2 loss = 11.5 (max 14.95), (true 213, predicted [208])
attack: step 22/30, xent loss = 35.1356, l2 loss = 11.9418 (max 14.95), (true 213, predicted [208])
attack: step 23/30, xent loss = 38.9897, l2 loss = 12.3088 (max 14.95), (true 213, predicted [208])
attack: step 24/30, xent loss = 40.4136, l2 loss = 12.5943 (max 14.95), (true 213, predicted [208])
attack: step 25/30, xent loss = 41.0913, l2 loss = 12.9442 (max 14.95), (true 213, predicted [208])
attack: step 26/30, xent loss = 36.3443, l2 loss = 13.3961 (max 14.95), (true 213, predicted [208])
attack: step 27/30, xent loss = 31.9193, l2 loss = 13.9797 (max 14.95), (true 213, predicted [208])
attack: step 28/30, xent loss = 39.6198, l2 loss = 14.2821 (max 14.95), (true 213, predicted [208])
attack: step 29/30, xent loss = 35.6281, l2 loss = 14.6085 (max 14.95), (true 213, predicted [208])
attack: step 30/30, xent loss = 49.3921, l2 loss = 14.8818 (max 14.95), (true 213, predicted [208])
check failed
true = 213, adv = 208
evaluating 613 of [610, 620)
attack: step 1/30, xent loss = 0.0136145, l2 loss = 0 (max 14.95), (true 801, predicted [801])
attack: step 2/30, xent loss = 0.0189422, l2 loss = 0.0223422 (max 14.95), (true 801, predicted [801])
attack: step 3/30, xent loss = 0.0278871, l2 loss = 0.0491943 (max 14.95), (true 801, predicted [801])
attack: step 4/30, xent loss = 0.0443324, l2 loss = 0.0856381 (max 14.95), (true 801, predicted [801])
attack: step 5/30, xent loss = 0.0788591, l2 loss = 0.134927 (max 14.95), (true 801, predicted [801])
attack: step 6/30, xent loss = 0.200614, l2 loss = 0.213583 (max 14.95), (true 801, predicted [801])
