2019-05-30 17:47:42.669526: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 17:47:42.674126: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600190000 Hz
2019-05-30 17:47:42.674227: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6ac0c50 executing computations on platform Host. Devices:
2019-05-30 17:47:42.674240: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 17:47:42.674467: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 190 of [190, 200)
attack: step 1/30, xent loss = 0.031818, l2 loss = 0 (max 14.95), (true 553, predicted [553])
attack: step 2/30, xent loss = 0.0547807, l2 loss = 0.0451787 (max 14.95), (true 553, predicted [553])
attack: step 3/30, xent loss = 0.0909916, l2 loss = 0.102344 (max 14.95), (true 553, predicted [553])
attack: step 4/30, xent loss = 0.152728, l2 loss = 0.165229 (max 14.95), (true 553, predicted [553])
attack: step 5/30, xent loss = 0.290475, l2 loss = 0.258466 (max 14.95), (true 553, predicted [553])
attack: step 6/30, xent loss = 0.591963, l2 loss = 0.401384 (max 14.95), (true 553, predicted [553])
attack: step 7/30, xent loss = 1.10448, l2 loss = 0.627875 (max 14.95), (true 553, predicted [553])
attack: step 8/30, xent loss = 0.597184, l2 loss = 0.92008 (max 14.95), (true 553, predicted [553])
attack: step 9/30, xent loss = 1.51949, l2 loss = 1.21378 (max 14.95), (true 553, predicted [553])
attack: step 10/30, xent loss = 3.22569, l2 loss = 1.49153 (max 14.95), (true 553, predicted [553])
attack: step 11/30, xent loss = 6.22853, l2 loss = 1.85517 (max 14.95), (true 553, predicted [771])
attack: step 12/30, xent loss = 7.64199, l2 loss = 2.24386 (max 14.95), (true 553, predicted [894])
attack: step 13/30, xent loss = 8.40392, l2 loss = 2.36518 (max 14.95), (true 553, predicted [771])
attack: step 14/30, xent loss = 8.77074, l2 loss = 2.56637 (max 14.95), (true 553, predicted [894])
attack: step 15/30, xent loss = 9.46331, l2 loss = 2.74941 (max 14.95), (true 553, predicted [883])
attack: step 16/30, xent loss = 10.381, l2 loss = 2.91425 (max 14.95), (true 553, predicted [883])
attack: step 17/30, xent loss = 10.5775, l2 loss = 3.08809 (max 14.95), (true 553, predicted [883])
attack: step 18/30, xent loss = 11.2058, l2 loss = 3.32101 (max 14.95), (true 553, predicted [883])
attack: step 19/30, xent loss = 12.1602, l2 loss = 3.48046 (max 14.95), (true 553, predicted [473])
attack: step 20/30, xent loss = 12.5476, l2 loss = 3.69881 (max 14.95), (true 553, predicted [883])
attack: step 21/30, xent loss = 12.92, l2 loss = 3.9236 (max 14.95), (true 553, predicted [473])
attack: step 22/30, xent loss = 13.0402, l2 loss = 4.33862 (max 14.95), (true 553, predicted [589])
attack: step 23/30, xent loss = 14.0602, l2 loss = 4.55888 (max 14.95), (true 553, predicted [589])
attack: step 24/30, xent loss = 12.3332, l2 loss = 5.41606 (max 14.95), (true 553, predicted [589])
attack: step 25/30, xent loss = 15.0088, l2 loss = 6.16004 (max 14.95), (true 553, predicted [589])
attack: step 26/30, xent loss = 13.8254, l2 loss = 7.07233 (max 14.95), (true 553, predicted [589])
attack: step 27/30, xent loss = 18.5009, l2 loss = 8.28923 (max 14.95), (true 553, predicted [589])
attack: step 28/30, xent loss = 18.021, l2 loss = 8.92886 (max 14.95), (true 553, predicted [589])
attack: step 29/30, xent loss = 26.3186, l2 loss = 9.69597 (max 14.95), (true 553, predicted [589])
attack: step 30/30, xent loss = 23.7116, l2 loss = 10.314 (max 14.95), (true 553, predicted [589])
true = 553, adv = 553
evaluating 191 of [190, 200)
attack: step 1/30, xent loss = 0.106952, l2 loss = 0 (max 14.95), (true 23, predicted [23])
attack: step 2/30, xent loss = 0.67098, l2 loss = 0.178291 (max 14.95), (true 23, predicted [23])
attack: step 3/30, xent loss = 5.96897, l2 loss = 1.07432 (max 14.95), (true 23, predicted [136])
attack: step 4/30, xent loss = 8.14512, l2 loss = 1.82153 (max 14.95), (true 23, predicted [136])
attack: step 5/30, xent loss = 9.59151, l2 loss = 2.11526 (max 14.95), (true 23, predicted [136])
attack: step 6/30, xent loss = 10.4027, l2 loss = 2.43597 (max 14.95), (true 23, predicted [136])
attack: step 7/30, xent loss = 11.6695, l2 loss = 2.80049 (max 14.95), (true 23, predicted [136])
attack: step 8/30, xent loss = 11.1552, l2 loss = 3.47246 (max 14.95), (true 23, predicted [136])
attack: step 9/30, xent loss = 13.0747, l2 loss = 3.72705 (max 14.95), (true 23, predicted [136])
attack: step 10/30, xent loss = 14.1886, l2 loss = 4.14924 (max 14.95), (true 23, predicted [136])
attack: step 11/30, xent loss = 10.779, l2 loss = 4.73587 (max 14.95), (true 23, predicted [136])
attack: step 12/30, xent loss = 16.6599, l2 loss = 5.02688 (max 14.95), (true 23, predicted [136])
attack: step 13/30, xent loss = 14.7194, l2 loss = 5.48571 (max 14.95), (true 23, predicted [136])
attack: step 14/30, xent loss = 16.9757, l2 loss = 5.96604 (max 14.95), (true 23, predicted [136])
attack: step 15/30, xent loss = 15.0806, l2 loss = 6.4953 (max 14.95), (true 23, predicted [136])
attack: step 16/30, xent loss = 21.6829, l2 loss = 6.7317 (max 14.95), (true 23, predicted [136])
attack: step 17/30, xent loss = 21.0133, l2 loss = 7.00011 (max 14.95), (true 23, predicted [136])
attack: step 18/30, xent loss = 15.0367, l2 loss = 7.58943 (max 14.95), (true 23, predicted [136])
attack: step 19/30, xent loss = 19.4392, l2 loss = 7.75858 (max 14.95), (true 23, predicted [136])
attack: step 20/30, xent loss = 23.9124, l2 loss = 7.91584 (max 14.95), (true 23, predicted [136])
attack: step 21/30, xent loss = 22.0275, l2 loss = 8.28647 (max 14.95), (true 23, predicted [136])
attack: step 22/30, xent loss = 23.7974, l2 loss = 8.56348 (max 14.95), (true 23, predicted [136])
attack: step 23/30, xent loss = 15.8883, l2 loss = 9.18806 (max 14.95), (true 23, predicted [136])
attack: step 24/30, xent loss = 25.5867, l2 loss = 9.6244 (max 14.95), (true 23, predicted [136])
attack: step 25/30, xent loss = 31.0963, l2 loss = 9.85075 (max 14.95), (true 23, predicted [136])
attack: step 26/30, xent loss = 24.5917, l2 loss = 10.5628 (max 14.95), (true 23, predicted [136])
attack: step 27/30, xent loss = 26.6622, l2 loss = 10.8731 (max 14.95), (true 23, predicted [136])
attack: step 28/30, xent loss = 29.2622, l2 loss = 11.3101 (max 14.95), (true 23, predicted [136])
attack: step 29/30, xent loss = 28.587, l2 loss = 11.5839 (max 14.95), (true 23, predicted [136])
attack: step 30/30, xent loss = 23.3726, l2 loss = 12.0967 (max 14.95), (true 23, predicted [136])
true = 23, adv = 23
evaluating 192 of [190, 200)
attack: step 1/30, xent loss = 0.0264878, l2 loss = 0 (max 14.95), (true 169, predicted [169])
attack: step 2/30, xent loss = 0.0931262, l2 loss = 0.0597762 (max 14.95), (true 169, predicted [169])
attack: step 3/30, xent loss = 4.22685, l2 loss = 0.280411 (max 14.95), (true 169, predicted [212])
attack: step 4/30, xent loss = 10.7912, l2 loss = 4.35075 (max 14.95), (true 169, predicted [219])
attack: step 5/30, xent loss = 12.6268, l2 loss = 4.52512 (max 14.95), (true 169, predicted [219])
attack: step 6/30, xent loss = 11.6607, l2 loss = 5.15336 (max 14.95), (true 169, predicted [219])
attack: step 7/30, xent loss = 18.8739, l2 loss = 5.4628 (max 14.95), (true 169, predicted [219])
attack: step 8/30, xent loss = 19.4818, l2 loss = 5.71031 (max 14.95), (true 169, predicted [219])
attack: step 9/30, xent loss = 16.3999, l2 loss = 6.40816 (max 14.95), (true 169, predicted [219])
attack: step 10/30, xent loss = 23.4906, l2 loss = 6.64433 (max 14.95), (true 169, predicted [219])
attack: step 11/30, xent loss = 24.2422, l2 loss = 6.93215 (max 14.95), (true 169, predicted [219])
attack: step 12/30, xent loss = 13.7418, l2 loss = 7.29903 (max 14.95), (true 169, predicted [219])
attack: step 13/30, xent loss = 14.7025, l2 loss = 8.9846 (max 14.95), (true 169, predicted [219])
attack: step 14/30, xent loss = 22.5, l2 loss = 9.13249 (max 14.95), (true 169, predicted [219])
attack: step 15/30, xent loss = 24.8739, l2 loss = 9.25726 (max 14.95), (true 169, predicted [219])
attack: step 16/30, xent loss = 26.9565, l2 loss = 9.49943 (max 14.95), (true 169, predicted [219])
attack: step 17/30, xent loss = 28.5652, l2 loss = 9.73187 (max 14.95), (true 169, predicted [219])
attack: step 18/30, xent loss = 20.8918, l2 loss = 10.2282 (max 14.95), (true 169, predicted [219])
attack: step 19/30, xent loss = 30.5088, l2 loss = 10.499 (max 14.95), (true 169, predicted [219])
attack: step 20/30, xent loss = 31.5012, l2 loss = 10.7395 (max 14.95), (true 169, predicted [219])
attack: step 21/30, xent loss = 26.0035, l2 loss = 11.0908 (max 14.95), (true 169, predicted [219])
attack: step 22/30, xent loss = 20.8605, l2 loss = 12.3429 (max 14.95), (true 169, predicted [219])
attack: step 23/30, xent loss = 29.2655, l2 loss = 12.4594 (max 14.95), (true 169, predicted [219])
attack: step 24/30, xent loss = 33.098, l2 loss = 12.5639 (max 14.95), (true 169, predicted [219])
attack: step 25/30, xent loss = 28.7069, l2 loss = 12.8628 (max 14.95), (true 169, predicted [219])
attack: step 26/30, xent loss = 25.6443, l2 loss = 13.2324 (max 14.95), (true 169, predicted [219])
