2019-05-30 17:47:42.669527: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 17:47:42.680229: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600190000 Hz
2019-05-30 17:47:42.680320: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6d4a6b0 executing computations on platform Host. Devices:
2019-05-30 17:47:42.680332: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 17:47:42.680475: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 250 of [250, 260)
attack: step 1/30, xent loss = 0.499633, l2 loss = 0 (max 14.95), (true 441, predicted [441])
attack: step 2/30, xent loss = 7.68554, l2 loss = 1.7581 (max 14.95), (true 441, predicted [629])
attack: step 3/30, xent loss = 11.1906, l2 loss = 2.39517 (max 14.95), (true 441, predicted [629])
attack: step 4/30, xent loss = 15.5366, l2 loss = 3.26553 (max 14.95), (true 441, predicted [629])
attack: step 5/30, xent loss = 17.9388, l2 loss = 5.75843 (max 14.95), (true 441, predicted [629])
attack: step 6/30, xent loss = 20.9499, l2 loss = 7.75276 (max 14.95), (true 441, predicted [629])
attack: step 7/30, xent loss = 18.4688, l2 loss = 9.36065 (max 14.95), (true 441, predicted [629])
attack: step 8/30, xent loss = 25.2106, l2 loss = 10.6487 (max 14.95), (true 441, predicted [629])
attack: step 9/30, xent loss = 29.2012, l2 loss = 11.6098 (max 14.95), (true 441, predicted [629])
attack: step 10/30, xent loss = 34.9074, l2 loss = 12.5102 (max 14.95), (true 441, predicted [629])
attack: step 11/30, xent loss = 47.1347, l2 loss = 13.1866 (max 14.95), (true 441, predicted [629])
attack: step 12/30, xent loss = 45.1833, l2 loss = 14.027 (max 14.95), (true 441, predicted [629])
attack: step 13/30, xent loss = 39.8071, l2 loss = 15.121 (max 14.95), (true 441, predicted [629])
attack: step 14/30, xent loss = 53.685, l2 loss = 15.9283 (max 14.95), (true 441, predicted [629])
attack: step 15/30, xent loss = 39.9239, l2 loss = 16.656 (max 14.95), (true 441, predicted [629])
attack: step 16/30, xent loss = 47.7428, l2 loss = 17.6062 (max 14.95), (true 441, predicted [629])
attack: step 17/30, xent loss = 51.2463, l2 loss = 18.3202 (max 14.95), (true 441, predicted [629])
attack: step 18/30, xent loss = 53.113, l2 loss = 19.3264 (max 14.95), (true 441, predicted [629])
attack: step 19/30, xent loss = 51.9548, l2 loss = 19.9702 (max 14.95), (true 441, predicted [629])
attack: step 20/30, xent loss = 53.3255, l2 loss = 20.757 (max 14.95), (true 441, predicted [629])
attack: step 21/30, xent loss = 67.9691, l2 loss = 21.1501 (max 14.95), (true 441, predicted [629])
attack: step 22/30, xent loss = 56.9776, l2 loss = 21.9689 (max 14.95), (true 441, predicted [629])
attack: step 23/30, xent loss = 76.0311, l2 loss = 22.3736 (max 14.95), (true 441, predicted [629])
attack: step 24/30, xent loss = 75.7881, l2 loss = 22.8056 (max 14.95), (true 441, predicted [629])
attack: step 25/30, xent loss = 75.2664, l2 loss = 23.3565 (max 14.95), (true 441, predicted [629])
attack: step 26/30, xent loss = 69.9189, l2 loss = 24.0038 (max 14.95), (true 441, predicted [629])
attack: step 27/30, xent loss = 61.4965, l2 loss = 24.566 (max 14.95), (true 441, predicted [629])
attack: step 28/30, xent loss = 72.9527, l2 loss = 25.5369 (max 14.95), (true 441, predicted [629])
attack: step 29/30, xent loss = 87.6095, l2 loss = 25.8269 (max 14.95), (true 441, predicted [629])
attack: step 30/30, xent loss = 69.5313, l2 loss = 26.2787 (max 14.95), (true 441, predicted [629])
check failed
true = 441, adv = 470
evaluating 251 of [250, 260)
attack: step 1/30, xent loss = 0.0599972, l2 loss = 0 (max 14.95), (true 121, predicted [121])
attack: step 2/30, xent loss = 0.105543, l2 loss = 0.0618774 (max 14.95), (true 121, predicted [121])
attack: step 3/30, xent loss = 0.209719, l2 loss = 0.154089 (max 14.95), (true 121, predicted [121])
attack: step 4/30, xent loss = 0.454971, l2 loss = 0.28527 (max 14.95), (true 121, predicted [121])
attack: step 5/30, xent loss = 1.08573, l2 loss = 0.49137 (max 14.95), (true 121, predicted [121])
attack: step 6/30, xent loss = 2.24741, l2 loss = 0.801086 (max 14.95), (true 121, predicted [121])
attack: step 7/30, xent loss = 3.74177, l2 loss = 1.15833 (max 14.95), (true 121, predicted [124])
attack: step 8/30, xent loss = 4.96608, l2 loss = 1.67694 (max 14.95), (true 121, predicted [124])
attack: step 9/30, xent loss = 8.58594, l2 loss = 2.05336 (max 14.95), (true 121, predicted [124])
attack: step 10/30, xent loss = 14.2258, l2 loss = 2.67291 (max 14.95), (true 121, predicted [124])
attack: step 11/30, xent loss = 12.9859, l2 loss = 3.65869 (max 14.95), (true 121, predicted [124])
attack: step 12/30, xent loss = 19.3357, l2 loss = 4.48709 (max 14.95), (true 121, predicted [124])
attack: step 13/30, xent loss = 19.5977, l2 loss = 5.26287 (max 14.95), (true 121, predicted [124])
attack: step 14/30, xent loss = 24.6139, l2 loss = 5.99435 (max 14.95), (true 121, predicted [124])
attack: step 15/30, xent loss = 28.0349, l2 loss = 6.74922 (max 14.95), (true 121, predicted [124])
attack: step 16/30, xent loss = 31.0146, l2 loss = 7.29143 (max 14.95), (true 121, predicted [124])
attack: step 17/30, xent loss = 31.3594, l2 loss = 7.80053 (max 14.95), (true 121, predicted [124])
attack: step 18/30, xent loss = 35.5294, l2 loss = 8.45026 (max 14.95), (true 121, predicted [124])
attack: step 19/30, xent loss = 34.7142, l2 loss = 9.014 (max 14.95), (true 121, predicted [124])
attack: step 20/30, xent loss = 32.1635, l2 loss = 9.91598 (max 14.95), (true 121, predicted [124])
attack: step 21/30, xent loss = 37.088, l2 loss = 10.5427 (max 14.95), (true 121, predicted [124])
attack: step 22/30, xent loss = 45.3249, l2 loss = 11.0011 (max 14.95), (true 121, predicted [124])
attack: step 23/30, xent loss = 46.7322, l2 loss = 11.3653 (max 14.95), (true 121, predicted [124])
attack: step 24/30, xent loss = 40.1893, l2 loss = 11.8819 (max 14.95), (true 121, predicted [124])
attack: step 25/30, xent loss = 39.8035, l2 loss = 12.5974 (max 14.95), (true 121, predicted [124])
attack: step 26/30, xent loss = 51.0088, l2 loss = 12.9256 (max 14.95), (true 121, predicted [124])
attack: step 27/30, xent loss = 50.3146, l2 loss = 13.2688 (max 14.95), (true 121, predicted [124])
attack: step 28/30, xent loss = 48.5309, l2 loss = 13.714 (max 14.95), (true 121, predicted [124])
attack: step 29/30, xent loss = 48.6787, l2 loss = 14.202 (max 14.95), (true 121, predicted [124])
attack: step 30/30, xent loss = 53.3696, l2 loss = 14.659 (max 14.95), (true 121, predicted [124])
check failed
true = 121, adv = 121
evaluating 252 of [250, 260)
attack: step 1/30, xent loss = 0.0120904, l2 loss = 0 (max 14.95), (true 735, predicted [735])
attack: step 2/30, xent loss = 0.0156135, l2 loss = 0.0181208 (max 14.95), (true 735, predicted [735])
attack: step 3/30, xent loss = 0.0210974, l2 loss = 0.0404239 (max 14.95), (true 735, predicted [735])
attack: step 4/30, xent loss = 0.029587, l2 loss = 0.0678474 (max 14.95), (true 735, predicted [735])
attack: step 5/30, xent loss = 0.0428855, l2 loss = 0.100861 (max 14.95), (true 735, predicted [735])
attack: step 6/30, xent loss = 0.0646112, l2 loss = 0.141155 (max 14.95), (true 735, predicted [735])
attack: step 7/30, xent loss = 0.107742, l2 loss = 0.196517 (max 14.95), (true 735, predicted [735])
attack: step 8/30, xent loss = 0.202778, l2 loss = 0.27686 (max 14.95), (true 735, predicted [735])
attack: step 9/30, xent loss = 0.438936, l2 loss = 0.404502 (max 14.95), (true 735, predicted [735])
attack: step 10/30, xent loss = 0.911779, l2 loss = 0.613135 (max 14.95), (true 735, predicted [735])
attack: step 11/30, xent loss = 1.73955, l2 loss = 0.941757 (max 14.95), (true 735, predicted [735])
attack: step 12/30, xent loss = 2.99313, l2 loss = 1.50711 (max 14.95), (true 735, predicted [443])
attack: step 13/30, xent loss = 6.01412, l2 loss = 2.07506 (max 14.95), (true 735, predicted [443])
attack: step 14/30, xent loss = 9.85178, l2 loss = 2.8479 (max 14.95), (true 735, predicted [443])
attack: step 15/30, xent loss = 10.6746, l2 loss = 3.45967 (max 14.95), (true 735, predicted [591])
attack: step 16/30, xent loss = 14.8614, l2 loss = 4.19325 (max 14.95), (true 735, predicted [591])
attack: step 17/30, xent loss = 14.436, l2 loss = 5.12781 (max 14.95), (true 735, predicted [591])
attack: step 18/30, xent loss = 19.2743, l2 loss = 5.76832 (max 14.95), (true 735, predicted [591])
attack: step 19/30, xent loss = 23.325, l2 loss = 6.32959 (max 14.95), (true 735, predicted [591])
attack: step 20/30, xent loss = 23.9418, l2 loss = 6.87244 (max 14.95), (true 735, predicted [591])
attack: step 21/30, xent loss = 24.84, l2 loss = 7.70433 (max 14.95), (true 735, predicted [591])
attack: step 22/30, xent loss = 22.0964, l2 loss = 8.3665 (max 14.95), (true 735, predicted [591])
attack: step 23/30, xent loss = 29.327, l2 loss = 8.73175 (max 14.95), (true 735, predicted [591])
attack: step 24/30, xent loss = 34.2885, l2 loss = 9.01901 (max 14.95), (true 735, predicted [591])
attack: step 25/30, xent loss = 34.4558, l2 loss = 9.35284 (max 14.95), (true 735, predicted [591])
attack: step 26/30, xent loss = 30.4724, l2 loss = 9.89222 (max 14.95), (true 735, predicted [591])
attack: step 27/30, xent loss = 34.8725, l2 loss = 10.2144 (max 14.95), (true 735, predicted [591])
attack: step 28/30, xent loss = 35.5439, l2 loss = 10.5571 (max 14.95), (true 735, predicted [591])
attack: step 29/30, xent loss = 34.3812, l2 loss = 10.8433 (max 14.95), (true 735, predicted [591])
attack: step 30/30, xent loss = 39.9101, l2 loss = 11.1339 (max 14.95), (true 735, predicted [591])
true = 735, adv = 735
evaluating 253 of [250, 260)
attack: step 1/30, xent loss = 5.77275, l2 loss = 0 (max 14.95), (true 737, predicted [509])
attack: step 2/30, xent loss = 11.9037, l2 loss = 2.7857 (max 14.95), (true 737, predicted [509])
attack: step 3/30, xent loss = 17.3857, l2 loss = 3.22203 (max 14.95), (true 737, predicted [509])
attack: step 4/30, xent loss = 22.2587, l2 loss = 3.6111 (max 14.95), (true 737, predicted [509])
attack: step 5/30, xent loss = 27.1322, l2 loss = 4.18133 (max 14.95), (true 737, predicted [509])
attack: step 6/30, xent loss = 31.2107, l2 loss = 4.62461 (max 14.95), (true 737, predicted [509])
attack: step 7/30, xent loss = 32.1179, l2 loss = 5.26971 (max 14.95), (true 737, predicted [509])
attack: step 8/30, xent loss = 32.3673, l2 loss = 6.31556 (max 14.95), (true 737, predicted [509])
attack: step 9/30, xent loss = 38.163, l2 loss = 7.01595 (max 14.95), (true 737, predicted [509])
attack: step 10/30, xent loss = 40.3564, l2 loss = 7.55253 (max 14.95), (true 737, predicted [509])
attack: step 11/30, xent loss = 44.2493, l2 loss = 8.00858 (max 14.95), (true 737, predicted [509])
attack: step 12/30, xent loss = 44.0943, l2 loss = 8.50683 (max 14.95), (true 737, predicted [509])
attack: step 13/30, xent loss = 46.8099, l2 loss = 8.98905 (max 14.95), (true 737, predicted [509])
attack: step 14/30, xent loss = 45.2469, l2 loss = 9.60628 (max 14.95), (true 737, predicted [509])
attack: step 15/30, xent loss = 57.5392, l2 loss = 9.95131 (max 14.95), (true 737, predicted [509])
attack: step 16/30, xent loss = 57.0546, l2 loss = 10.4017 (max 14.95), (true 737, predicted [509])
attack: step 17/30, xent loss = 60.7886, l2 loss = 10.8608 (max 14.95), (true 737, predicted [509])
attack: step 18/30, xent loss = 50.1612, l2 loss = 11.3928 (max 14.95), (true 737, predicted [509])
attack: step 19/30, xent loss = 55.1265, l2 loss = 12.0414 (max 14.95), (true 737, predicted [509])
attack: step 20/30, xent loss = 63.8923, l2 loss = 12.4585 (max 14.95), (true 737, predicted [509])
attack: step 21/30, xent loss = 68.7382, l2 loss = 12.8044 (max 14.95), (true 737, predicted [509])
attack: step 22/30, xent loss = 66.2755, l2 loss = 13.2286 (max 14.95), (true 737, predicted [509])
attack: step 23/30, xent loss = 71.4749, l2 loss = 13.6359 (max 14.95), (true 737, predicted [509])
attack: step 24/30, xent loss = 76.9484, l2 loss = 13.9424 (max 14.95), (true 737, predicted [509])
attack: step 25/30, xent loss = 78.041, l2 loss = 14.3174 (max 14.95), (true 737, predicted [509])
attack: step 26/30, xent loss = 79.8761, l2 loss = 14.7391 (max 14.95), (true 737, predicted [509])
attack: step 27/30, xent loss = 80.6477, l2 loss = 15.099 (max 14.95), (true 737, predicted [509])
attack: step 28/30, xent loss = 80.8368, l2 loss = 15.3892 (max 14.95), (true 737, predicted [509])
attack: step 29/30, xent loss = 74.6931, l2 loss = 15.8555 (max 14.95), (true 737, predicted [509])
attack: step 30/30, xent loss = 86.8928, l2 loss = 16.1379 (max 14.95), (true 737, predicted [509])
check failed
true = 737, adv = 509
evaluating 254 of [250, 260)
attack: step 1/30, xent loss = 3.85211, l2 loss = 0 (max 14.95), (true 158, predicted [151])
attack: step 2/30, xent loss = 9.02702, l2 loss = 2.8229 (max 14.95), (true 158, predicted [151])
attack: step 3/30, xent loss = 12.4979, l2 loss = 3.10706 (max 14.95), (true 158, predicted [151])
attack: step 4/30, xent loss = 13.2912, l2 loss = 3.41454 (max 14.95), (true 158, predicted [151])
attack: step 5/30, xent loss = 13.5763, l2 loss = 3.91413 (max 14.95), (true 158, predicted [151])
attack: step 6/30, xent loss = 14.687, l2 loss = 4.15891 (max 14.95), (true 158, predicted [151])
attack: step 7/30, xent loss = 11.2497, l2 loss = 5.35878 (max 14.95), (true 158, predicted [151])
attack: step 8/30, xent loss = 14.6067, l2 loss = 5.64817 (max 14.95), (true 158, predicted [151])
attack: step 9/30, xent loss = 19.3872, l2 loss = 5.82468 (max 14.95), (true 158, predicted [151])
attack: step 10/30, xent loss = 21.1043, l2 loss = 6.07203 (max 14.95), (true 158, predicted [151])
attack: step 11/30, xent loss = 16.4881, l2 loss = 6.73782 (max 14.95), (true 158, predicted [151])
attack: step 12/30, xent loss = 21.5727, l2 loss = 6.94897 (max 14.95), (true 158, predicted [151])
