2019-05-30 17:47:42.672405: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 17:47:42.679279: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599975000 Hz
2019-05-30 17:47:42.679412: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6abfed0 executing computations on platform Host. Devices:
2019-05-30 17:47:42.679430: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 17:47:42.679614: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 450 of [450, 460)
attack: step 1/30, xent loss = 0.159572, l2 loss = 0 (max 14.95), (true 530, predicted [530])
attack: step 2/30, xent loss = 2.34237, l2 loss = 0.3567 (max 14.95), (true 530, predicted [530])
attack: step 3/30, xent loss = 6.90093, l2 loss = 2.00397 (max 14.95), (true 530, predicted [681])
attack: step 4/30, xent loss = 12.0711, l2 loss = 3.7277 (max 14.95), (true 530, predicted [681])
attack: step 5/30, xent loss = 13.5527, l2 loss = 4.19282 (max 14.95), (true 530, predicted [681])
attack: step 6/30, xent loss = 14.0516, l2 loss = 5.08354 (max 14.95), (true 530, predicted [620])
attack: step 7/30, xent loss = 15.0431, l2 loss = 5.82761 (max 14.95), (true 530, predicted [620])
attack: step 8/30, xent loss = 12.6548, l2 loss = 7.37665 (max 14.95), (true 530, predicted [620])
attack: step 9/30, xent loss = 16.7031, l2 loss = 7.6468 (max 14.95), (true 530, predicted [620])
attack: step 10/30, xent loss = 17.3416, l2 loss = 8.38721 (max 14.95), (true 530, predicted [620])
attack: step 11/30, xent loss = 11.2437, l2 loss = 8.86491 (max 14.95), (true 530, predicted [620])
attack: step 12/30, xent loss = 17.8456, l2 loss = 10.3033 (max 14.95), (true 530, predicted [620])
attack: step 13/30, xent loss = 18.5587, l2 loss = 10.77 (max 14.95), (true 530, predicted [620])
attack: step 14/30, xent loss = 20.9487, l2 loss = 11.5982 (max 14.95), (true 530, predicted [620])
attack: step 15/30, xent loss = 17.7516, l2 loss = 12.2843 (max 14.95), (true 530, predicted [620])
attack: step 16/30, xent loss = 24.9501, l2 loss = 12.7858 (max 14.95), (true 530, predicted [620])
attack: step 17/30, xent loss = 21.8548, l2 loss = 13.1574 (max 14.95), (true 530, predicted [620])
attack: step 18/30, xent loss = 25.4509, l2 loss = 13.7819 (max 14.95), (true 530, predicted [620])
attack: step 19/30, xent loss = 31.9719, l2 loss = 14.0192 (max 14.95), (true 530, predicted [620])
attack: step 20/30, xent loss = 34.7539, l2 loss = 14.3753 (max 14.95), (true 530, predicted [620])
attack: step 21/30, xent loss = 30.9454, l2 loss = 14.8823 (max 14.95), (true 530, predicted [620])
attack: step 22/30, xent loss = 30.5085, l2 loss = 15.5495 (max 14.95), (true 530, predicted [620])
attack: step 23/30, xent loss = 33.534, l2 loss = 15.8416 (max 14.95), (true 530, predicted [620])
attack: step 24/30, xent loss = 31.3756, l2 loss = 16.371 (max 14.95), (true 530, predicted [620])
attack: step 25/30, xent loss = 33.4265, l2 loss = 16.6529 (max 14.95), (true 530, predicted [620])
attack: step 26/30, xent loss = 31.9433, l2 loss = 17.4459 (max 14.95), (true 530, predicted [620])
attack: step 27/30, xent loss = 44.7763, l2 loss = 17.6812 (max 14.95), (true 530, predicted [620])
attack: step 28/30, xent loss = 40.8559, l2 loss = 17.9468 (max 14.95), (true 530, predicted [620])
attack: step 29/30, xent loss = 47.9361, l2 loss = 18.3462 (max 14.95), (true 530, predicted [620])
attack: step 30/30, xent loss = 48.8553, l2 loss = 18.5716 (max 14.95), (true 530, predicted [620])
check failed
true = 530, adv = 530
evaluating 451 of [450, 460)
attack: step 1/30, xent loss = 0.867164, l2 loss = 0 (max 14.95), (true 990, predicted [328])
attack: step 2/30, xent loss = 6.70413, l2 loss = 1.17306 (max 14.95), (true 990, predicted [328])
attack: step 3/30, xent loss = 8.89789, l2 loss = 1.6173 (max 14.95), (true 990, predicted [328])
attack: step 4/30, xent loss = 11.4387, l2 loss = 1.86867 (max 14.95), (true 990, predicted [328])
attack: step 5/30, xent loss = 12.7418, l2 loss = 2.13373 (max 14.95), (true 990, predicted [328])
attack: step 6/30, xent loss = 12.1482, l2 loss = 2.82913 (max 14.95), (true 990, predicted [328])
attack: step 7/30, xent loss = 15.1692, l2 loss = 3.00727 (max 14.95), (true 990, predicted [328])
attack: step 8/30, xent loss = 17.8358, l2 loss = 3.372 (max 14.95), (true 990, predicted [328])
attack: step 9/30, xent loss = 17.0178, l2 loss = 3.93717 (max 14.95), (true 990, predicted [328])
attack: step 10/30, xent loss = 12.6193, l2 loss = 5.39059 (max 14.95), (true 990, predicted [328])
attack: step 11/30, xent loss = 18.6211, l2 loss = 5.53062 (max 14.95), (true 990, predicted [328])
attack: step 12/30, xent loss = 22.6196, l2 loss = 5.99607 (max 14.95), (true 990, predicted [328])
attack: step 13/30, xent loss = 16.3713, l2 loss = 7.06801 (max 14.95), (true 990, predicted [328])
attack: step 14/30, xent loss = 23.7857, l2 loss = 7.463 (max 14.95), (true 990, predicted [328])
attack: step 15/30, xent loss = 18.0965, l2 loss = 8.55101 (max 14.95), (true 990, predicted [328])
attack: step 16/30, xent loss = 25.2059, l2 loss = 8.92805 (max 14.95), (true 990, predicted [328])
attack: step 17/30, xent loss = 22.2013, l2 loss = 9.47313 (max 14.95), (true 990, predicted [328])
attack: step 18/30, xent loss = 30.612, l2 loss = 9.8162 (max 14.95), (true 990, predicted [328])
attack: step 19/30, xent loss = 27.0923, l2 loss = 10.2696 (max 14.95), (true 990, predicted [328])
attack: step 20/30, xent loss = 33.8172, l2 loss = 10.6578 (max 14.95), (true 990, predicted [328])
attack: step 21/30, xent loss = 31.6557, l2 loss = 11.4153 (max 14.95), (true 990, predicted [328])
attack: step 22/30, xent loss = 28.001, l2 loss = 11.9541 (max 14.95), (true 990, predicted [328])
attack: step 23/30, xent loss = 35.712, l2 loss = 12.2775 (max 14.95), (true 990, predicted [328])
attack: step 24/30, xent loss = 31.8438, l2 loss = 12.8354 (max 14.95), (true 990, predicted [328])
attack: step 25/30, xent loss = 43.4646, l2 loss = 13.1715 (max 14.95), (true 990, predicted [328])
